Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:27:59.868000,RIC,3,,1.0,1.0,0 days 00:26:07.591000,,,0 days 00:00:38.917000,0 days 00:00:32.405000,,0 days 00:27:27.518000,0 days 00:28:00.059000,228.0,264.0,278.0,237.0,False,MEDIUM,1.0,True,McLaren,0 days 00:26:07.591000,2021-05-08 10:11:07.602,1,,False,,False,False
0 days 00:29:20.451000,RIC,3,0 days 00:01:20.583000,2.0,1.0,,,0 days 00:00:22.539000,0 days 00:00:30.237000,0 days 00:00:27.807000,0 days 00:28:22.407000,0 days 00:28:52.644000,0 days 00:29:20.451000,281.0,301.0,280.0,309.0,True,MEDIUM,2.0,True,McLaren,0 days 00:27:59.868000,2021-05-08 10:12:59.879,1,,False,,False,True
0 days 00:31:08.042000,RIC,3,0 days 00:01:47.591000,3.0,1.0,,,0 days 00:00:31.401000,0 days 00:00:43.360000,0 days 00:00:32.830000,0 days 00:29:51.852000,0 days 00:30:35.212000,0 days 00:31:08.042000,202.0,240.0,280.0,283.0,False,MEDIUM,3.0,True,McLaren,0 days 00:29:20.451000,2021-05-08 10:14:20.462,1,,False,,False,True
0 days 00:32:28.696000,RIC,3,0 days 00:01:20.654000,4.0,1.0,,,0 days 00:00:22.505000,0 days 00:00:30.219000,0 days 00:00:27.930000,0 days 00:31:30.547000,0 days 00:32:00.766000,0 days 00:32:28.696000,282.0,301.0,280.0,309.0,False,MEDIUM,4.0,True,McLaren,0 days 00:31:08.042000,2021-05-08 10:16:08.053,1,,False,,False,True
0 days 00:34:08.458000,RIC,3,0 days 00:01:39.762000,5.0,1.0,,0 days 00:34:05.728000,0 days 00:00:27.084000,0 days 00:00:40.036000,0 days 00:00:32.642000,0 days 00:32:55.780000,0 days 00:33:35.816000,0 days 00:34:08.458000,230.0,139.0,,294.0,False,MEDIUM,5.0,True,McLaren,0 days 00:32:28.696000,2021-05-08 10:17:28.707,1,,False,,False,False
0 days 00:36:11.494000,RIC,3,0 days 00:02:03.036000,6.0,2.0,0 days 00:34:34.519000,,0 days 00:00:52.943000,0 days 00:00:38.325000,0 days 00:00:31.768000,0 days 00:35:01.401000,0 days 00:35:39.726000,0 days 00:36:11.494000,238.0,263.0,280.0,225.0,False,MEDIUM,6.0,False,McLaren,0 days 00:34:08.458000,2021-05-08 10:19:08.469,1,,False,,False,False
0 days 00:37:31.720000,RIC,3,0 days 00:01:20.226000,7.0,2.0,,,0 days 00:00:22.487000,0 days 00:00:29.960000,0 days 00:00:27.779000,0 days 00:36:33.981000,0 days 00:37:03.941000,0 days 00:37:31.720000,284.0,303.0,281.0,315.0,True,MEDIUM,7.0,False,McLaren,0 days 00:36:11.494000,2021-05-08 10:21:11.505,1,,False,,False,True
0 days 00:39:06.840000,RIC,3,0 days 00:01:35.120000,8.0,2.0,,0 days 00:39:04.691000,0 days 00:00:26.102000,0 days 00:00:37.390000,0 days 00:00:31.628000,0 days 00:37:57.822000,0 days 00:38:35.212000,0 days 00:39:06.840000,237.0,239.0,,296.0,False,MEDIUM,8.0,False,McLaren,0 days 00:37:31.720000,2021-05-08 10:22:31.731,1,,False,,False,False
0 days 00:41:20.977000,RIC,3,0 days 00:02:14.137000,9.0,3.0,0 days 00:39:38.409000,,0 days 00:00:58.826000,0 days 00:00:35.624000,0 days 00:00:39.687000,0 days 00:40:05.666000,0 days 00:40:41.290000,0 days 00:41:20.977000,227.0,244.0,281.0,220.0,False,MEDIUM,9.0,False,McLaren,0 days 00:39:06.840000,2021-05-08 10:24:06.851,1,,False,,False,False
0 days 00:42:40.869000,RIC,3,0 days 00:01:19.892000,10.0,3.0,,,0 days 00:00:22.274000,0 days 00:00:30.027000,0 days 00:00:27.591000,0 days 00:41:43.251000,0 days 00:42:13.278000,0 days 00:42:40.869000,287.0,303.0,282.0,316.0,True,MEDIUM,10.0,False,McLaren,0 days 00:41:20.977000,2021-05-08 10:26:20.988,1,,False,,False,True
