Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:46.930000,VER,33,,1.0,1.0,0 days 00:16:28.528000,,,0 days 00:00:47.520000,0 days 00:01:09.261000,,0 days 00:17:37.698000,0 days 00:18:46.930000,259.0,228.0,218.0,229.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:16:28.528000,2021-12-10 13:01:30.520,1,,False,,False,False
0 days 00:20:12.559000,VER,33,0 days 00:01:25.629000,2.0,1.0,,,0 days 00:00:17.731000,0 days 00:00:36.919000,0 days 00:00:30.979000,0 days 00:19:04.661000,0 days 00:19:41.580000,0 days 00:20:12.559000,282.0,311.0,218.0,316.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:18:46.930000,2021-12-10 13:03:48.922,1,,False,,False,True
0 days 00:22:54.305000,VER,33,,3.0,1.0,,,0 days 00:00:31.978000,0 days 00:01:13.214000,0 days 00:00:56.592000,0 days 00:20:44.600000,0 days 00:21:57.808000,0 days 00:22:54.433000,96.0,142.0,220.0,141.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:20:12.559000,2021-12-10 13:05:14.551,1,,False,,False,False
0 days 00:24:19.294000,VER,33,0 days 00:01:24.989000,4.0,1.0,,,0 days 00:00:17.641000,0 days 00:00:36.554000,0 days 00:00:30.794000,0 days 00:23:11.946000,0 days 00:23:48.500000,0 days 00:24:19.294000,281.0,311.0,214.0,316.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:22:54.305000,2021-12-10 13:07:56.297,1,,True,TRACK LIMITS AT TURN 16,False,True
0 days 00:26:40.801000,VER,33,0 days 00:02:21.507000,5.0,1.0,,,0 days 00:00:30.902000,0 days 00:00:59.230000,0 days 00:00:51.375000,0 days 00:24:50.196000,0 days 00:25:49.426000,0 days 00:26:40.801000,181.0,199.0,221.0,129.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:24:19.294000,2021-12-10 13:09:21.286,1,,True,TRACK LIMITS AT TURN 16,False,True
0 days 00:28:05.866000,VER,33,0 days 00:01:25.065000,6.0,1.0,,,0 days 00:00:17.533000,0 days 00:00:36.787000,0 days 00:00:30.745000,0 days 00:26:58.334000,0 days 00:27:35.121000,0 days 00:28:05.866000,281.0,309.0,207.0,317.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:26:40.801000,2021-12-10 13:11:42.793,12,,False,,False,True
0 days 00:29:44.629000,VER,33,0 days 00:01:38.763000,7.0,1.0,,0 days 00:29:43.596000,0 days 00:00:20.744000,0 days 00:00:41.428000,0 days 00:00:36.591000,0 days 00:28:26.610000,0 days 00:29:08.038000,0 days 00:29:44.629000,259.0,257.0,,260.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:28:05.866000,2021-12-10 13:13:07.858,1,,False,,False,False
0 days 00:41:28.722000,VER,33,,8.0,2.0,0 days 00:39:29.333000,,,0 days 00:00:48.876000,0 days 00:00:48.178000,,0 days 00:40:40.544000,0 days 00:41:28.818000,147.0,228.0,224.0,221.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:29:44.629000,2021-12-10 13:14:46.621,1,,False,,False,False
0 days 00:42:53.054000,VER,33,0 days 00:01:24.332000,9.0,2.0,,,0 days 00:00:17.381000,0 days 00:00:36.391000,0 days 00:00:30.560000,0 days 00:41:46.103000,0 days 00:42:22.494000,0 days 00:42:53.054000,285.0,316.0,217.0,318.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:41:28.722000,2021-12-10 13:26:30.714,1,,False,,False,True
0 days 00:45:47.405000,VER,33,,10.0,2.0,,,0 days 00:00:34.917000,0 days 00:01:19.311000,0 days 00:01:00.136000,0 days 00:43:27.958000,0 days 00:44:47.312000,0 days 00:45:47.498000,122.0,102.0,157.0,113.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:42:53.054000,2021-12-10 13:27:55.046,1,,False,,False,False
