Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:21.219000,RIC,3,,1.0,1.0,0 days 00:16:09.592000,,,0 days 00:00:51.031000,0 days 00:00:27.640000,,0 days 00:17:53.662000,0 days 00:18:21.374000,144.0,84.0,324.0,302.0,False,MEDIUM,1.0,True,McLaren,0 days 00:16:09.592000,2021-06-04 08:31:11.378,1,,False,,False,False
0 days 00:20:10.989000,RIC,3,0 days 00:01:49.770000,2.0,1.0,,,0 days 00:00:38.725000,0 days 00:00:44.763000,0 days 00:00:26.282000,0 days 00:18:59.944000,0 days 00:19:44.707000,0 days 00:20:10.989000,196.0,220.0,311.0,306.0,True,MEDIUM,2.0,True,McLaren,0 days 00:18:21.219000,2021-06-04 08:33:23.005,1,,False,,False,True
0 days 00:21:59.293000,RIC,3,0 days 00:01:48.304000,3.0,1.0,,,0 days 00:00:38.220000,0 days 00:00:43.895000,0 days 00:00:26.189000,0 days 00:20:49.209000,0 days 00:21:33.104000,0 days 00:21:59.293000,201.0,200.0,309.0,304.0,True,MEDIUM,3.0,True,McLaren,0 days 00:20:10.989000,2021-06-04 08:35:12.775,1,,False,,False,True
0 days 00:24:05.420000,RIC,3,0 days 00:02:06.127000,4.0,1.0,,,0 days 00:00:44.568000,0 days 00:00:54.364000,0 days 00:00:27.195000,0 days 00:22:43.861000,0 days 00:23:38.225000,0 days 00:24:05.420000,188.0,152.0,325.0,294.0,False,MEDIUM,4.0,True,McLaren,0 days 00:21:59.293000,2021-06-04 08:37:01.079,1,,False,,False,True
0 days 00:25:59.866000,RIC,3,0 days 00:01:54.446000,5.0,1.0,,,0 days 00:00:37.707000,0 days 00:00:48.831000,0 days 00:00:27.908000,0 days 00:24:43.127000,0 days 00:25:31.958000,0 days 00:25:59.866000,198.0,147.0,323.0,291.0,False,MEDIUM,5.0,True,McLaren,0 days 00:24:05.420000,2021-06-04 08:39:07.206,1,,False,,False,True
0 days 00:28:05.222000,RIC,3,0 days 00:02:05.356000,6.0,1.0,,,0 days 00:00:37.231000,0 days 00:01:00.734000,0 days 00:00:27.391000,0 days 00:26:37.097000,0 days 00:27:37.831000,0 days 00:28:05.222000,212.0,187.0,322.0,292.0,False,MEDIUM,6.0,True,McLaren,0 days 00:25:59.866000,2021-06-04 08:41:01.652,167,,False,,False,False
0 days 00:29:50.969000,RIC,3,0 days 00:01:45.747000,7.0,1.0,,,0 days 00:00:37.143000,0 days 00:00:42.828000,0 days 00:00:25.776000,0 days 00:28:42.365000,0 days 00:29:25.193000,0 days 00:29:50.969000,209.0,221.0,320.0,306.0,True,MEDIUM,7.0,True,McLaren,0 days 00:28:05.222000,2021-06-04 08:43:07.008,1,,False,,False,True
0 days 00:31:55.232000,RIC,3,0 days 00:02:04.263000,8.0,1.0,,,0 days 00:00:44.585000,0 days 00:00:52.877000,0 days 00:00:26.801000,0 days 00:30:35.554000,0 days 00:31:28.431000,0 days 00:31:55.232000,165.0,205.0,321.0,294.0,False,MEDIUM,8.0,True,McLaren,0 days 00:29:50.969000,2021-06-04 08:44:52.755,12,,False,,False,True
0 days 00:33:48.957000,RIC,3,0 days 00:01:53.725000,9.0,1.0,,,0 days 00:00:37.378000,0 days 00:00:49.386000,0 days 00:00:26.961000,0 days 00:32:32.610000,0 days 00:33:21.996000,0 days 00:33:48.957000,206.0,201.0,321.0,294.0,False,MEDIUM,9.0,True,McLaren,0 days 00:31:55.232000,2021-06-04 08:46:57.018,1,,False,,False,True
0 days 00:35:44.382000,RIC,3,0 days 00:01:55.425000,10.0,1.0,,0 days 00:35:43.149000,0 days 00:00:37.292000,0 days 00:00:43.461000,0 days 00:00:34.672000,0 days 00:34:26.249000,0 days 00:35:09.710000,0 days 00:35:44.382000,202.0,177.0,,286.0,False,MEDIUM,10.0,True,McLaren,0 days 00:33:48.957000,2021-06-04 08:48:50.743,1,,False,,False,False
0 days 00:44:56.415000,RIC,3,,11.0,2.0,0 days 00:43:09.316000,,,0 days 00:00:47.064000,0 days 00:00:27.036000,,0 days 00:44:29.436000,0 days 00:44:56.865000,142.0,191.0,304.0,289.0,False,SOFT,1.0,True,McLaren,0 days 00:35:44.382000,2021-06-04 08:50:46.168,12,,False,,False,False
0 days 00:46:57.679000,RIC,3,0 days 00:02:01.264000,12.0,2.0,,,0 days 00:00:45.896000,0 days 00:00:48.475000,0 days 00:00:26.893000,0 days 00:45:42.311000,0 days 00:46:30.786000,0 days 00:46:57.679000,88.0,183.0,324.0,295.0,False,SOFT,2.0,True,McLaren,0 days 00:44:56.415000,2021-06-04 08:59:58.201,21,,False,,False,True
0 days 00:48:54.804000,RIC,3,0 days 00:01:57.125000,13.0,2.0,,,0 days 00:00:39.761000,0 days 00:00:49.998000,0 days 00:00:27.366000,0 days 00:47:37.440000,0 days 00:48:27.438000,0 days 00:48:54.804000,181.0,134.0,326.0,296.0,False,SOFT,3.0,True,McLaren,0 days 00:46:57.679000,2021-06-04 09:01:59.465,1,,False,,False,True
0 days 00:50:38.536000,RIC,3,0 days 00:01:43.732000,14.0,2.0,,,0 days 00:00:36.426000,0 days 00:00:42.217000,0 days 00:00:25.089000,0 days 00:49:31.230000,0 days 00:50:13.447000,0 days 00:50:38.536000,212.0,223.0,325.0,313.0,True,SOFT,4.0,True,McLaren,0 days 00:48:54.804000,2021-06-04 09:03:56.590,1,,False,,False,True
0 days 00:52:51.207000,RIC,3,0 days 00:02:12.671000,15.0,2.0,,,0 days 00:00:44.145000,0 days 00:00:57.740000,0 days 00:00:30.786000,0 days 00:51:22.681000,0 days 00:52:20.421000,0 days 00:52:51.207000,175.0,168.0,320.0,291.0,False,SOFT,5.0,True,McLaren,0 days 00:50:38.536000,2021-06-04 09:05:40.322,12,,False,,False,True
0 days 00:54:41.796000,RIC,3,0 days 00:01:50.589000,16.0,2.0,,0 days 00:54:40.604000,0 days 00:00:36.845000,0 days 00:00:42.044000,0 days 00:00:31.700000,0 days 00:53:28.052000,0 days 00:54:10.096000,0 days 00:54:41.796000,210.0,231.0,,285.0,False,SOFT,6.0,True,McLaren,0 days 00:52:51.207000,2021-06-04 09:07:52.993,12,,False,,False,False
0 days 01:03:11.188000,RIC,3,,17.0,3.0,0 days 01:01:12.337000,,,0 days 00:00:44.826000,0 days 00:00:26.516000,,0 days 01:02:44.696000,0 days 01:03:11.330000,185.0,207.0,306.0,302.0,False,SOFT,7.0,False,McLaren,0 days 00:54:41.796000,2021-06-04 09:09:43.582,12,,False,,False,False
0 days 01:05:00.767000,RIC,3,0 days 00:01:49.579000,18.0,3.0,,,0 days 00:00:39.027000,0 days 00:00:44.082000,0 days 00:00:26.470000,0 days 01:03:50.215000,0 days 01:04:34.297000,0 days 01:05:00.767000,204.0,215.0,296.0,306.0,False,SOFT,8.0,False,McLaren,0 days 01:03:11.188000,2021-06-04 09:18:12.974,1,,False,,False,True
0 days 01:06:50.345000,RIC,3,0 days 00:01:49.578000,19.0,3.0,,,0 days 00:00:38.836000,0 days 00:00:44.227000,0 days 00:00:26.515000,0 days 01:05:39.603000,0 days 01:06:23.830000,0 days 01:06:50.345000,197.0,204.0,293.0,304.0,False,SOFT,9.0,False,McLaren,0 days 01:05:00.767000,2021-06-04 09:20:02.553,1,,False,,False,True
0 days 01:08:39.379000,RIC,3,0 days 00:01:49.034000,20.0,3.0,,,0 days 00:00:38.777000,0 days 00:00:43.950000,0 days 00:00:26.307000,0 days 01:07:29.122000,0 days 01:08:13.072000,0 days 01:08:39.379000,,211.0,302.0,306.0,False,SOFT,10.0,False,McLaren,0 days 01:06:50.345000,2021-06-04 09:21:52.131,1,,False,,False,True
0 days 01:10:29.570000,RIC,3,0 days 00:01:50.191000,21.0,3.0,,,0 days 00:00:39.098000,0 days 00:00:44.628000,0 days 00:00:26.465000,0 days 01:09:18.477000,0 days 01:10:03.105000,0 days 01:10:29.570000,195.0,196.0,304.0,305.0,False,SOFT,11.0,False,McLaren,0 days 01:08:39.379000,2021-06-04 09:23:41.165,1,,False,,False,True
