Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:12.247000,LEC,16,,1.0,1.0,0 days 00:15:02.310000,,,0 days 00:00:58.618000,0 days 00:00:27.844000,,0 days 00:16:44.403000,0 days 00:17:12.494000,168.0,103.0,321.0,295.0,False,SOFT,1.0,True,Ferrari,0 days 00:15:02.310000,2021-06-05 12:00:02.320,1,,False,,False,False
0 days 00:18:54.779000,LEC,16,0 days 00:01:42.532000,2.0,1.0,,,0 days 00:00:36.152000,0 days 00:00:40.903000,0 days 00:00:25.477000,0 days 00:17:48.399000,0 days 00:18:29.302000,0 days 00:18:54.779000,228.0,240.0,323.0,308.0,True,SOFT,2.0,True,Ferrari,0 days 00:17:12.247000,2021-06-05 12:02:12.257,12,,False,,False,True
0 days 00:30:16.463000,LEC,16,,3.0,1.0,,0 days 00:21:25.585000,,,,,,,,,,,False,SOFT,3.0,True,Ferrari,0 days 00:18:54.779000,2021-06-05 12:03:54.789,251,,False,,False,False
0 days 00:32:30.513000,LEC,16,,4.0,2.0,0 days 00:30:16.463000,,,0 days 00:01:03.094000,0 days 00:00:27.118000,,0 days 00:32:03.395000,0 days 00:32:31.063000,173.0,143.0,326.0,297.0,False,SOFT,4.0,False,Ferrari,0 days 00:30:16.463000,2021-06-05 12:15:16.473,1,,False,,False,False
0 days 00:34:12.754000,LEC,16,0 days 00:01:42.241000,5.0,2.0,,,0 days 00:00:36.011000,0 days 00:00:40.937000,0 days 00:00:25.293000,0 days 00:33:06.524000,0 days 00:33:47.461000,0 days 00:34:12.754000,237.0,232.0,329.0,311.0,True,SOFT,5.0,False,Ferrari,0 days 00:32:30.513000,2021-06-05 12:17:30.523,1,,False,,False,True
0 days 00:44:52.604000,LEC,16,,6.0,2.0,,0 days 00:36:43.383000,,,,,,,,,,,False,SOFT,6.0,False,Ferrari,0 days 00:34:12.754000,2021-06-05 12:19:12.764,125,,False,,False,False
0 days 00:47:07.968000,LEC,16,,7.0,3.0,0 days 00:44:52.604000,,,0 days 00:01:02.142000,0 days 00:00:27.701000,,0 days 00:46:40.396000,0 days 00:47:08.188000,165.0,106.0,327.0,297.0,False,SOFT,7.0,False,Ferrari,0 days 00:44:52.604000,2021-06-05 12:29:52.614,1,,False,,False,False
0 days 00:48:56.672000,LEC,16,0 days 00:01:48.704000,8.0,3.0,,,0 days 00:00:36.085000,0 days 00:00:42.451000,0 days 00:00:30.168000,0 days 00:47:44.053000,0 days 00:48:26.504000,0 days 00:48:56.672000,227.0,171.0,324.0,287.0,False,SOFT,8.0,False,Ferrari,0 days 00:47:07.968000,2021-06-05 12:32:07.978,1,,False,,False,True
0 days 00:51:08.244000,LEC,16,0 days 00:02:11.572000,9.0,3.0,,0 days 00:51:06.997000,0 days 00:00:47.026000,0 days 00:00:50.447000,0 days 00:00:34.099000,0 days 00:49:43.698000,0 days 00:50:34.145000,0 days 00:51:08.244000,170.0,114.0,,292.0,False,SOFT,9.0,False,Ferrari,0 days 00:48:56.672000,2021-06-05 12:33:56.682,12,,False,,False,False
0 days 01:03:39.127000,LEC,16,,10.0,4.0,0 days 01:01:26.659000,,,0 days 00:00:54.519000,0 days 00:00:26.685000,,0 days 01:03:12.453000,0 days 01:03:39.177000,153.0,184.0,322.0,297.0,False,SOFT,1.0,True,Ferrari,0 days 00:51:08.244000,2021-06-05 12:36:08.254,21,,False,,False,False
0 days 01:05:20.786000,LEC,16,0 days 00:01:41.659000,11.0,4.0,,,0 days 00:00:35.536000,0 days 00:00:40.757000,0 days 00:00:25.366000,0 days 01:04:14.663000,0 days 01:04:55.420000,0 days 01:05:20.786000,236.0,228.0,323.0,310.0,True,SOFT,2.0,True,Ferrari,0 days 01:03:39.127000,2021-06-05 12:48:39.137,1,,False,,False,True
0 days 01:07:42.894000,LEC,16,0 days 00:02:22.108000,12.0,4.0,,0 days 01:07:41.552000,0 days 00:00:48.350000,0 days 00:00:57.300000,0 days 00:00:36.458000,0 days 01:06:09.136000,0 days 01:07:06.436000,0 days 01:07:42.894000,178.0,186.0,,252.0,False,SOFT,3.0,True,Ferrari,0 days 01:05:20.786000,2021-06-05 12:50:20.796,1,,False,,False,False
