Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:17.017000,RIC,3,,1.0,1.0,0 days 00:15:48.178000,,,0 days 00:00:36.205000,0 days 00:00:31.934000,,0 days 00:16:45.184000,0 days 00:17:17.197000,284.0,211.0,277.0,295.0,False,HARD,1.0,True,McLaren,0 days 00:15:48.178000,2021-07-02 09:30:49.488,1,,False,,False,False
0 days 00:18:24.941000,RIC,3,0 days 00:01:07.924000,2.0,1.0,,,0 days 00:00:16.954000,0 days 00:00:30.379000,0 days 00:00:20.591000,0 days 00:17:33.971000,0 days 00:18:04.350000,0 days 00:18:24.941000,311.0,240.0,280.0,309.0,True,HARD,2.0,True,McLaren,0 days 00:17:17.017000,2021-07-02 09:32:18.327,1,,False,,False,True
0 days 00:20:07.938000,RIC,3,0 days 00:01:42.997000,3.0,1.0,,,0 days 00:00:23.578000,0 days 00:00:45.632000,0 days 00:00:33.787000,0 days 00:18:48.519000,0 days 00:19:34.151000,0 days 00:20:07.938000,273.0,204.0,279.0,248.0,False,HARD,3.0,True,McLaren,0 days 00:18:24.941000,2021-07-02 09:33:26.251,1,,False,,False,True
0 days 00:21:26.166000,RIC,3,0 days 00:01:18.228000,4.0,1.0,,,0 days 00:00:16.841000,0 days 00:00:37.494000,0 days 00:00:23.893000,0 days 00:20:24.779000,0 days 00:21:02.273000,0 days 00:21:26.166000,315.0,203.0,281.0,269.0,False,HARD,4.0,True,McLaren,0 days 00:20:07.938000,2021-07-02 09:35:09.248,1,,False,,False,True
0 days 00:22:33.245000,RIC,3,0 days 00:01:07.079000,5.0,1.0,,,0 days 00:00:16.723000,0 days 00:00:30.042000,0 days 00:00:20.314000,0 days 00:21:42.889000,0 days 00:22:12.931000,0 days 00:22:33.245000,312.0,242.0,282.0,309.0,True,HARD,5.0,True,McLaren,0 days 00:21:26.166000,2021-07-02 09:36:27.476,1,,False,,False,True
0 days 00:24:09.475000,RIC,3,0 days 00:01:36.230000,6.0,1.0,,,0 days 00:00:25.311000,0 days 00:00:43.487000,0 days 00:00:27.432000,0 days 00:22:58.556000,0 days 00:23:42.043000,0 days 00:24:09.475000,214.0,211.0,282.0,222.0,False,HARD,6.0,True,McLaren,0 days 00:22:33.245000,2021-07-02 09:37:34.555,1,,False,,False,True
0 days 00:25:16.400000,RIC,3,0 days 00:01:06.925000,7.0,1.0,,,0 days 00:00:16.774000,0 days 00:00:29.854000,0 days 00:00:20.297000,0 days 00:24:26.249000,0 days 00:24:56.103000,0 days 00:25:16.400000,311.0,242.0,281.0,310.0,True,HARD,7.0,True,McLaren,0 days 00:24:09.475000,2021-07-02 09:39:10.785,1,,False,,False,True
0 days 00:26:38.398000,RIC,3,0 days 00:01:21.998000,8.0,1.0,,0 days 00:26:35.057000,0 days 00:00:18.835000,0 days 00:00:34.967000,0 days 00:00:28.196000,0 days 00:25:35.235000,0 days 00:26:10.202000,0 days 00:26:38.398000,280.0,210.0,,290.0,False,HARD,8.0,True,McLaren,0 days 00:25:16.400000,2021-07-02 09:40:17.710,12,,False,,False,False
0 days 00:34:11.133000,RIC,3,,9.0,2.0,0 days 00:32:52.069000,,,0 days 00:00:35.476000,0 days 00:00:24.435000,,0 days 00:33:46.723000,0 days 00:34:11.308000,290.0,210.0,280.0,292.0,False,HARD,9.0,False,McLaren,0 days 00:26:38.398000,2021-07-02 09:41:39.708,1,,False,,False,False
0 days 00:35:18.577000,RIC,3,0 days 00:01:07.444000,10.0,2.0,,,0 days 00:00:17.001000,0 days 00:00:30.028000,0 days 00:00:20.415000,0 days 00:34:28.134000,0 days 00:34:58.162000,0 days 00:35:18.577000,308.0,240.0,279.0,305.0,False,HARD,10.0,False,McLaren,0 days 00:34:11.133000,2021-07-02 09:49:12.443,1,,False,,False,True
