Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:35.474000,RIC,3,,1.0,1.0,0 days 00:15:47.663000,,,0 days 00:00:43.776000,0 days 00:00:44.199000,,0 days 00:16:51.373000,0 days 00:17:35.594000,280.0,202.0,275.0,273.0,False,TEST_UNKNOWN,1.0,True,McLaren,0 days 00:15:47.663000,2021-07-02 13:00:47.932,1,,False,,False,False
0 days 00:18:42.544000,RIC,3,0 days 00:01:07.070000,2.0,1.0,,,0 days 00:00:17.169000,0 days 00:00:29.562000,0 days 00:00:20.339000,0 days 00:17:52.643000,0 days 00:18:22.205000,0 days 00:18:42.544000,307.0,244.0,279.0,312.0,True,TEST_UNKNOWN,2.0,True,McLaren,0 days 00:17:35.474000,2021-07-02 13:02:35.743,1,,False,,False,True
0 days 00:20:34.232000,RIC,3,0 days 00:01:51.688000,3.0,1.0,,,0 days 00:00:28.713000,0 days 00:00:46.457000,0 days 00:00:36.518000,0 days 00:19:11.257000,0 days 00:19:57.714000,0 days 00:20:34.232000,218.0,177.0,275.0,215.0,False,TEST_UNKNOWN,3.0,True,McLaren,0 days 00:18:42.544000,2021-07-02 13:03:42.813,1,,False,,False,True
0 days 00:21:40.952000,RIC,3,0 days 00:01:06.720000,4.0,1.0,,,0 days 00:00:16.906000,0 days 00:00:29.523000,0 days 00:00:20.291000,0 days 00:20:51.138000,0 days 00:21:20.661000,0 days 00:21:40.952000,309.0,244.0,278.0,314.0,True,TEST_UNKNOWN,4.0,True,McLaren,0 days 00:20:34.232000,2021-07-02 13:05:34.501,1,,False,,False,True
0 days 00:23:03.112000,RIC,3,0 days 00:01:22.160000,5.0,1.0,,0 days 00:22:59.875000,0 days 00:00:19.580000,0 days 00:00:36.399000,0 days 00:00:26.181000,0 days 00:22:00.532000,0 days 00:22:36.931000,0 days 00:23:03.112000,283.0,233.0,,131.0,False,TEST_UNKNOWN,5.0,True,McLaren,0 days 00:21:40.952000,2021-07-02 13:06:41.221,1,,False,,False,False
0 days 00:28:44.517000,RIC,3,,6.0,2.0,0 days 00:27:22.372000,,,0 days 00:00:38.082000,0 days 00:00:25.351000,,0 days 00:28:19.239000,0 days 00:28:44.703000,288.0,186.0,277.0,270.0,False,MEDIUM,1.0,True,McLaren,0 days 00:23:03.112000,2021-07-02 13:08:03.381,1,,False,,False,False
0 days 00:29:50.894000,RIC,3,0 days 00:01:06.377000,7.0,2.0,,,0 days 00:00:16.943000,0 days 00:00:29.145000,0 days 00:00:20.289000,0 days 00:29:01.460000,0 days 00:29:30.605000,0 days 00:29:50.894000,304.0,245.0,279.0,307.0,True,MEDIUM,2.0,True,McLaren,0 days 00:28:44.517000,2021-07-02 13:13:44.786,1,,False,,False,True
0 days 00:31:36.009000,RIC,3,0 days 00:01:45.115000,8.0,2.0,,,0 days 00:00:29.708000,0 days 00:00:51.491000,0 days 00:00:23.916000,0 days 00:30:20.602000,0 days 00:31:12.093000,0 days 00:31:36.009000,170.0,196.0,279.0,141.0,False,MEDIUM,3.0,True,McLaren,0 days 00:29:50.894000,2021-07-02 13:14:51.163,1,,False,,False,True
0 days 00:32:42.347000,RIC,3,0 days 00:01:06.338000,9.0,2.0,,,0 days 00:00:16.864000,0 days 00:00:29.330000,0 days 00:00:20.144000,0 days 00:31:52.873000,0 days 00:32:22.203000,0 days 00:32:42.347000,307.0,244.0,282.0,308.0,True,MEDIUM,4.0,True,McLaren,0 days 00:31:36.009000,2021-07-02 13:16:36.278,1,,False,,False,True
0 days 00:34:22.578000,RIC,3,0 days 00:01:40.231000,10.0,2.0,,,0 days 00:00:22.918000,0 days 00:00:50.884000,0 days 00:00:26.429000,0 days 00:33:05.265000,0 days 00:33:56.149000,0 days 00:34:22.578000,181.0,184.0,279.0,219.0,False,MEDIUM,5.0,True,McLaren,0 days 00:32:42.347000,2021-07-02 13:17:42.616,1,,False,,False,True
0 days 00:35:28.773000,RIC,3,0 days 00:01:06.195000,11.0,2.0,,,0 days 00:00:16.848000,0 days 00:00:29.342000,0 days 00:00:20.005000,0 days 00:34:39.426000,0 days 00:35:08.768000,0 days 00:35:28.773000,305.0,244.0,280.0,310.0,True,MEDIUM,6.0,True,McLaren,0 days 00:34:22.578000,2021-07-02 13:19:22.847,1,,False,,False,True
0 days 00:36:46.210000,RIC,3,0 days 00:01:17.437000,12.0,2.0,,0 days 00:36:42.950000,0 days 00:00:18.627000,0 days 00:00:32.263000,0 days 00:00:26.547000,0 days 00:35:47.400000,0 days 00:36:19.663000,0 days 00:36:46.210000,283.0,213.0,,289.0,False,MEDIUM,7.0,True,McLaren,0 days 00:35:28.773000,2021-07-02 13:20:29.042,1,,False,,False,False
0 days 00:43:16.462000,RIC,3,,13.0,3.0,0 days 00:41:43.237000,,,0 days 00:00:40.408000,0 days 00:00:24.659000,,0 days 00:42:51.885000,0 days 00:43:16.668000,118.0,194.0,279.0,277.0,False,SOFT,1.0,True,McLaren,0 days 00:36:46.210000,2021-07-02 13:21:46.479,1,,False,,False,False
0 days 00:44:34.965000,RIC,3,0 days 00:01:18.503000,14.0,3.0,,,0 days 00:00:16.769000,0 days 00:00:32.846000,0 days 00:00:28.888000,0 days 00:43:33.231000,0 days 00:44:06.077000,0 days 00:44:34.965000,307.0,88.0,278.0,311.0,False,SOFT,2.0,True,McLaren,0 days 00:43:16.462000,2021-07-02 13:28:16.731,1,,False,,False,True
0 days 00:45:40.663000,RIC,3,0 days 00:01:05.698000,15.0,3.0,,,0 days 00:00:16.698000,0 days 00:00:29.141000,0 days 00:00:19.859000,0 days 00:44:51.663000,0 days 00:45:20.804000,0 days 00:45:40.663000,308.0,246.0,278.0,310.0,True,SOFT,3.0,True,McLaren,0 days 00:44:34.965000,2021-07-02 13:29:35.234,1,,False,,False,True
0 days 00:47:34.837000,RIC,3,0 days 00:01:54.174000,16.0,3.0,,,0 days 00:00:30.583000,0 days 00:00:56.284000,0 days 00:00:27.307000,0 days 00:46:11.246000,0 days 00:47:07.530000,0 days 00:47:34.837000,125.0,199.0,277.0,128.0,False,SOFT,4.0,True,McLaren,0 days 00:45:40.663000,2021-07-02 13:30:40.932,1,,False,,False,True
0 days 00:48:50.835000,RIC,3,0 days 00:01:15.998000,17.0,3.0,,,0 days 00:00:16.796000,0 days 00:00:31.971000,0 days 00:00:27.231000,0 days 00:47:51.633000,0 days 00:48:23.604000,0 days 00:48:50.835000,304.0,202.0,277.0,309.0,False,SOFT,5.0,True,McLaren,0 days 00:47:34.837000,2021-07-02 13:32:35.106,1,,False,,False,True
0 days 00:50:04.476000,RIC,3,0 days 00:01:13.641000,18.0,3.0,,0 days 00:50:01.616000,0 days 00:00:16.746000,0 days 00:00:29.179000,0 days 00:00:27.716000,0 days 00:49:07.581000,0 days 00:49:36.760000,0 days 00:50:04.476000,306.0,246.0,,311.0,False,SOFT,6.0,True,McLaren,0 days 00:48:50.835000,2021-07-02 13:33:51.104,1,,False,,False,False
0 days 01:02:25.958000,RIC,3,,19.0,4.0,0 days 01:01:08.726000,,,0 days 00:00:33.677000,0 days 00:00:22.717000,,0 days 01:02:03.241000,0 days 01:02:27.720000,205.0,228.0,265.0,293.0,False,SOFT,7.0,False,McLaren,0 days 00:50:04.476000,2021-07-02 13:35:04.745,1,,False,,False,False
0 days 01:03:37.044000,RIC,3,0 days 00:01:11.086000,20.0,4.0,,,0 days 00:00:17.901000,0 days 00:00:31.244000,0 days 00:00:21.941000,0 days 01:02:43.859000,0 days 01:03:15.103000,0 days 01:03:37.044000,280.0,225.0,266.0,286.0,False,SOFT,8.0,False,McLaren,0 days 01:02:25.958000,2021-07-02 13:47:26.227,1,,False,,False,True
0 days 01:04:47.026000,RIC,3,0 days 00:01:09.982000,21.0,4.0,,,0 days 00:00:17.659000,0 days 00:00:30.917000,0 days 00:00:21.406000,0 days 01:03:54.703000,0 days 01:04:25.620000,0 days 01:04:47.026000,284.0,225.0,266.0,289.0,False,SOFT,9.0,False,McLaren,0 days 01:03:37.044000,2021-07-02 13:48:37.313,1,,False,,False,True
