Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:15:54.993000,RIC,3,0 days 00:02:29.123000,1.0,1.0,0 days 00:13:26.543000,,0 days 00:00:38.771000,0 days 00:00:43.251000,0 days 00:01:07.101000,0 days 00:14:04.643000,0 days 00:14:47.962000,0 days 00:15:55.108000,83.0,216.0,300.0,158.0,False,MEDIUM,1.0,True,McLaren,0 days 00:13:26.543000,2021-06-18 13:00:37.550,1,,False,,False,False
0 days 00:17:30.041000,RIC,3,0 days 00:01:35.048000,2.0,1.0,,,0 days 00:00:23.889000,0 days 00:00:28.891000,0 days 00:00:42.268000,0 days 00:16:18.882000,0 days 00:16:47.773000,0 days 00:17:30.041000,105.0,272.0,303.0,313.0,True,MEDIUM,2.0,True,McLaren,0 days 00:15:54.993000,2021-06-18 13:03:06.000,1,,False,,False,True
0 days 00:20:08.745000,RIC,3,,3.0,1.0,,,0 days 00:00:34.805000,0 days 00:00:45.909000,0 days 00:01:18.044000,0 days 00:18:04.809000,0 days 00:18:54.092000,0 days 00:20:08.924000,81.0,236.0,300.0,169.0,False,MEDIUM,3.0,True,McLaren,0 days 00:17:30.041000,2021-06-18 13:04:41.048,1,,False,,False,False
0 days 00:21:59.210000,RIC,3,0 days 00:01:50.465000,4.0,1.0,,,0 days 00:00:24.285000,0 days 00:00:34.201000,0 days 00:00:51.979000,0 days 00:20:33.030000,0 days 00:21:07.231000,0 days 00:21:59.210000,114.0,237.0,300.0,250.0,False,MEDIUM,4.0,True,McLaren,0 days 00:20:08.745000,2021-06-18 13:07:19.752,12,,False,,False,True
0 days 00:23:34.847000,RIC,3,0 days 00:01:35.637000,5.0,1.0,,,0 days 00:00:23.677000,0 days 00:00:29.033000,0 days 00:00:42.927000,0 days 00:22:22.887000,0 days 00:22:51.920000,0 days 00:23:34.847000,113.0,272.0,302.0,310.0,False,MEDIUM,5.0,True,McLaren,0 days 00:21:59.210000,2021-06-18 13:09:10.217,1,,False,,False,True
0 days 00:25:52.387000,RIC,3,0 days 00:02:17.540000,6.0,1.0,,,0 days 00:00:33.502000,0 days 00:00:46.955000,0 days 00:00:57.083000,0 days 00:24:08.349000,0 days 00:24:55.304000,0 days 00:25:52.387000,87.0,197.0,301.0,261.0,False,MEDIUM,6.0,True,McLaren,0 days 00:23:34.847000,2021-06-18 13:10:45.854,1,,False,,False,True
0 days 00:28:05.032000,RIC,3,0 days 00:02:12.645000,7.0,1.0,,,0 days 00:00:36.762000,0 days 00:00:37.816000,0 days 00:00:58.067000,0 days 00:26:29.149000,0 days 00:27:06.965000,0 days 00:28:05.032000,83.0,239.0,301.0,246.0,False,MEDIUM,7.0,True,McLaren,0 days 00:25:52.387000,2021-06-18 13:13:03.394,167,,False,,False,False
0 days 00:29:39.814000,RIC,3,0 days 00:01:34.782000,8.0,1.0,,,0 days 00:00:23.484000,0 days 00:00:28.624000,0 days 00:00:42.674000,0 days 00:28:28.516000,0 days 00:28:57.140000,0 days 00:29:39.814000,110.0,271.0,300.0,312.0,True,MEDIUM,8.0,True,McLaren,0 days 00:28:05.032000,2021-06-18 13:15:16.039,1,,False,,False,True
0 days 00:40:18.037000,RIC,3,,9.0,1.0,,0 days 00:31:30.509000,0 days 00:00:29.803000,0 days 00:00:38.928000,,0 days 00:30:10.089000,0 days 00:30:48.598000,,43.0,249.0,,251.0,False,MEDIUM,9.0,True,McLaren,0 days 00:29:39.814000,2021-06-18 13:16:50.821,1,,False,,False,False
0 days 00:43:26.599000,RIC,3,,10.0,2.0,0 days 00:40:18.037000,,0 days 00:01:01.946000,0 days 00:00:55.170000,0 days 00:01:12.466000,0 days 00:41:19.097000,0 days 00:42:14.234000,0 days 00:43:26.774000,34.0,212.0,301.0,174.0,False,SOFT,1.0,True,McLaren,0 days 00:40:18.037000,2021-06-18 13:27:29.044,1,,False,,False,False
0 days 00:45:00.844000,RIC,3,0 days 00:01:34.245000,11.0,2.0,,,0 days 00:00:23.390000,0 days 00:00:28.603000,0 days 00:00:42.252000,0 days 00:43:49.989000,0 days 00:44:18.592000,0 days 00:45:00.844000,114.0,273.0,307.0,314.0,True,SOFT,2.0,True,McLaren,0 days 00:43:26.599000,2021-06-18 13:30:37.606,1,,False,,False,True
0 days 00:47:39.037000,RIC,3,,12.0,2.0,,,0 days 00:00:37.861000,0 days 00:00:56.935000,0 days 00:01:03.384000,0 days 00:45:38.718000,0 days 00:46:36.563000,0 days 00:47:39.233000,77.0,177.0,299.0,103.0,False,SOFT,3.0,True,McLaren,0 days 00:45:00.844000,2021-06-18 13:32:11.851,1,,False,,False,False
0 days 00:49:13.116000,RIC,3,0 days 00:01:34.079000,13.0,2.0,,,0 days 00:00:23.252000,0 days 00:00:28.527000,0 days 00:00:42.300000,0 days 00:48:02.289000,0 days 00:48:30.816000,0 days 00:49:13.116000,112.0,272.0,304.0,312.0,True,SOFT,4.0,True,McLaren,0 days 00:47:39.037000,2021-06-18 13:34:50.044,1,,False,,False,True
0 days 00:57:26.517000,RIC,3,,14.0,2.0,,0 days 00:50:57.050000,0 days 00:00:27.410000,0 days 00:00:36.613000,,0 days 00:49:40.573000,0 days 00:50:17.124000,,99.0,245.0,,274.0,False,SOFT,5.0,True,McLaren,0 days 00:49:13.116000,2021-06-18 13:36:24.123,1,,False,,False,False
