Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:35.479000,GAS,10,,1.0,1.0,0 days 00:14:47.810000,,0 days 00:00:48.895000,0 days 00:00:46.957000,0 days 00:01:12.771000,0 days 00:15:35.751000,0 days 00:16:22.731000,0 days 00:17:35.758000,66.0,157.0,300.0,304.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:14:47.810000,2021-06-19 13:00:15.013,1,,False,,False,False
0 days 00:27:42.702000,GAS,10,,2.0,1.0,,0 days 00:19:40.614000,0 days 00:00:23.040000,,,0 days 00:17:58.597000,,,111.0,,,,False,SOFT,2.0,True,AlphaTauri,0 days 00:17:35.479000,2021-06-19 13:03:02.682,125,,False,,False,False
0 days 00:30:15.038000,GAS,10,,3.0,2.0,0 days 00:27:42.702000,,0 days 00:00:43.813000,0 days 00:00:40.047000,0 days 00:01:09.568000,0 days 00:28:25.453000,0 days 00:29:05.623000,0 days 00:30:15.343000,88.0,230.0,302.0,307.0,False,SOFT,3.0,False,AlphaTauri,0 days 00:27:42.702000,2021-06-19 13:13:09.905,1,,False,,False,False
0 days 00:31:46.936000,GAS,10,0 days 00:01:31.898000,4.0,2.0,,,0 days 00:00:22.843000,0 days 00:00:27.881000,0 days 00:00:41.174000,0 days 00:30:37.881000,0 days 00:31:05.762000,0 days 00:31:46.936000,118.0,282.0,303.0,322.0,True,SOFT,4.0,False,AlphaTauri,0 days 00:30:15.038000,2021-06-19 13:15:42.241,1,,False,,False,True
0 days 00:34:20.695000,GAS,10,,5.0,2.0,,,0 days 00:00:37.442000,0 days 00:00:47.382000,0 days 00:01:08.985000,0 days 00:32:24.382000,0 days 00:33:11.811000,0 days 00:34:21.019000,91.0,211.0,303.0,262.0,False,SOFT,5.0,False,AlphaTauri,0 days 00:31:46.936000,2021-06-19 13:17:14.139,1,,False,,False,False
0 days 00:35:52.615000,GAS,10,0 days 00:01:31.920000,6.0,2.0,,,0 days 00:00:22.917000,0 days 00:00:27.895000,0 days 00:00:41.108000,0 days 00:34:43.612000,0 days 00:35:11.507000,0 days 00:35:52.615000,117.0,283.0,302.0,323.0,False,SOFT,6.0,False,AlphaTauri,0 days 00:34:20.695000,2021-06-19 13:19:47.898,1,,False,,False,True
0 days 00:39:06.295000,GAS,10,,7.0,2.0,,0 days 00:37:26.096000,0 days 00:00:26.169000,0 days 00:00:31.503000,,0 days 00:36:18.838000,0 days 00:36:50.417000,,110.0,255.0,,277.0,False,SOFT,7.0,False,AlphaTauri,0 days 00:35:52.615000,2021-06-19 13:21:19.818,1,,False,,False,False
0 days 00:49:34.996000,GAS,10,,8.0,3.0,0 days 00:39:06.295000,0 days 00:44:07.680000,0 days 00:00:44.163000,0 days 00:00:42.778000,,0 days 00:39:49.569000,0 days 00:40:32.453000,,81.0,213.0,,294.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:39:06.295000,2021-06-19 13:24:33.498,125,,False,,False,False
0 days 00:51:58.980000,GAS,10,0 days 00:02:23.984000,9.0,4.0,0 days 00:49:36.775000,,0 days 00:00:43.274000,0 days 00:00:39.548000,0 days 00:01:01.162000,0 days 00:50:18.270000,0 days 00:50:57.818000,0 days 00:51:58.980000,92.0,184.0,300.0,307.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:49:36.775000,2021-06-19 13:35:03.978,1,,False,,False,False
0 days 00:53:30.333000,GAS,10,0 days 00:01:31.353000,10.0,4.0,,,0 days 00:00:22.783000,0 days 00:00:27.720000,0 days 00:00:40.850000,0 days 00:52:21.763000,0 days 00:52:49.483000,0 days 00:53:30.333000,113.0,281.0,301.0,323.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:51:58.980000,2021-06-19 13:37:26.183,1,,False,,False,True
