Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:19:03.840000,VER,33,,1.0,1.0,0 days 00:16:46.094000,,,0 days 00:00:50.965000,0 days 00:00:55.881000,,0 days 00:18:07.970000,0 days 00:19:04.025000,169.0,147.0,210.0,207.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:16:46.094000,2021-10-22 20:01:46.107,1,,False,,False,False
0 days 00:20:39.754000,VER,33,0 days 00:01:35.914000,2.0,1.0,,,0 days 00:00:25.854000,0 days 00:00:38.337000,0 days 00:00:31.723000,0 days 00:19:29.694000,0 days 00:20:08.031000,0 days 00:20:39.754000,233.0,187.0,207.0,318.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:19:03.840000,2021-10-22 20:04:03.853,1,,False,,False,True
0 days 00:23:01.008000,VER,33,0 days 00:02:21.254000,3.0,1.0,,,0 days 00:00:41.219000,0 days 00:00:57.139000,0 days 00:00:42.896000,0 days 00:21:20.973000,0 days 00:22:18.112000,0 days 00:23:01.008000,132.0,142.0,207.0,253.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:20:39.754000,2021-10-22 20:05:39.767,1,,False,,False,True
0 days 00:25:14.778000,VER,33,0 days 00:02:13.770000,4.0,1.0,,,0 days 00:00:36.119000,0 days 00:00:46.983000,0 days 00:00:50.668000,0 days 00:23:37.127000,0 days 00:24:24.110000,0 days 00:25:14.778000,152.0,160.0,209.0,268.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:23:01.008000,2021-10-22 20:08:01.021,1,,False,,False,True
0 days 00:27:07.020000,VER,33,0 days 00:01:52.242000,5.0,1.0,,,0 days 00:00:25.765000,0 days 00:00:41.301000,0 days 00:00:45.176000,0 days 00:25:40.543000,0 days 00:26:21.844000,0 days 00:27:07.020000,231.0,84.0,179.0,318.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:25:14.778000,2021-10-22 20:10:14.791,1,,False,,False,True
0 days 00:29:10.702000,VER,33,0 days 00:02:03.682000,6.0,1.0,,,0 days 00:00:35.451000,0 days 00:00:49.704000,0 days 00:00:38.527000,0 days 00:27:42.471000,0 days 00:28:32.175000,0 days 00:29:10.702000,157.0,133.0,212.0,267.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:27:07.020000,2021-10-22 20:12:07.033,1,,False,,False,True
0 days 00:30:46.526000,VER,33,0 days 00:01:35.824000,7.0,1.0,,,0 days 00:00:25.750000,0 days 00:00:38.477000,0 days 00:00:31.597000,0 days 00:29:36.452000,0 days 00:30:14.929000,0 days 00:30:46.526000,228.0,187.0,209.0,314.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 00:29:10.702000,2021-10-22 20:14:10.715,1,,False,,False,True
0 days 00:32:33.060000,VER,33,0 days 00:01:46.534000,8.0,1.0,,0 days 00:32:33.097000,0 days 00:00:28.132000,0 days 00:00:42.786000,0 days 00:00:35.616000,0 days 00:31:14.658000,0 days 00:31:57.444000,0 days 00:32:33.060000,205.0,164.0,,250.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:30:46.526000,2021-10-22 20:15:46.539,1,,False,,False,False
0 days 00:42:59.210000,VER,33,,9.0,2.0,0 days 00:40:23.406000,,,0 days 00:00:52.897000,0 days 00:01:09.977000,,0 days 00:41:49.233000,0 days 00:42:59.384000,144.0,146.0,106.0,268.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:32:33.060000,2021-10-22 20:17:33.073,12,,False,,False,False
0 days 00:45:17.532000,VER,33,0 days 00:02:18.322000,10.0,2.0,,,0 days 00:00:46.205000,0 days 00:00:55.938000,0 days 00:00:36.179000,0 days 00:43:45.415000,0 days 00:44:41.353000,0 days 00:45:17.532000,130.0,137.0,213.0,253.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:42:59.210000,2021-10-22 20:27:59.223,1,,False,,False,True
0 days 00:47:02.739000,VER,33,0 days 00:01:45.207000,11.0,2.0,,0 days 00:47:01.962000,0 days 00:00:25.404000,0 days 00:00:41.993000,0 days 00:00:37.810000,0 days 00:45:42.936000,0 days 00:46:24.929000,0 days 00:47:02.739000,231.0,76.0,,312.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:45:17.532000,2021-10-22 20:30:17.545,1,,False,,False,False
0 days 00:56:01.686000,VER,33,,12.0,3.0,0 days 00:54:13.285000,0 days 00:56:01.224000,,0 days 00:00:47.591000,0 days 00:00:35.651000,,0 days 00:55:26.099000,0 days 00:56:05.913000,207.0,167.0,,240.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:47:02.739000,2021-10-22 20:32:02.752,1,,False,,False,False
0 days 00:58:30.329000,VER,33,0 days 00:02:28.643000,13.0,4.0,0 days 00:56:41.999000,,0 days 00:01:04.308000,0 days 00:00:41.058000,0 days 00:00:43.277000,0 days 00:57:05.994000,0 days 00:57:47.052000,0 days 00:58:30.329000,213.0,175.0,202.0,289.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:56:01.686000,2021-10-22 20:41:01.699,1,,False,,False,False
0 days 01:00:17.745000,VER,33,0 days 00:01:47.416000,14.0,4.0,,,0 days 00:00:27.177000,0 days 00:00:40.802000,0 days 00:00:39.437000,0 days 00:58:57.506000,0 days 00:59:38.308000,0 days 01:00:17.745000,210.0,182.0,204.0,290.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:58:30.329000,2021-10-22 20:43:30.342,1,,False,,False,True
0 days 01:01:59.030000,VER,33,0 days 00:01:41.285000,15.0,4.0,,,0 days 00:00:27.126000,0 days 00:00:40.752000,0 days 00:00:33.407000,0 days 01:00:44.871000,0 days 01:01:25.623000,0 days 01:01:59.030000,211.0,183.0,200.0,289.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:00:17.745000,2021-10-22 20:45:17.758,1,,False,,False,True
0 days 01:03:40.482000,VER,33,0 days 00:01:41.452000,16.0,4.0,,,0 days 00:00:27.279000,0 days 00:00:40.898000,0 days 00:00:33.275000,0 days 01:02:26.309000,0 days 01:03:07.207000,0 days 01:03:40.482000,207.0,179.0,199.0,293.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:01:59.030000,2021-10-22 20:46:59.043,1,,False,,False,True
0 days 01:05:22.093000,VER,33,0 days 00:01:41.611000,17.0,4.0,,,0 days 00:00:27.228000,0 days 00:00:40.981000,0 days 00:00:33.402000,0 days 01:04:07.710000,0 days 01:04:48.691000,0 days 01:05:22.093000,,179.0,199.0,288.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:03:40.482000,2021-10-22 20:48:40.495,1,,False,,False,True
0 days 01:07:03.803000,VER,33,0 days 00:01:41.710000,18.0,4.0,,,0 days 00:00:27.315000,0 days 00:00:40.886000,0 days 00:00:33.509000,0 days 01:05:49.408000,0 days 01:06:30.294000,0 days 01:07:03.803000,,183.0,199.0,290.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:05:22.093000,2021-10-22 20:50:22.106,1,,False,,False,True
0 days 01:08:49.859000,VER,33,0 days 00:01:46.056000,19.0,4.0,,,0 days 00:00:27.363000,0 days 00:00:42.410000,0 days 00:00:36.283000,0 days 01:07:31.166000,0 days 01:08:13.576000,0 days 01:08:49.859000,203.0,136.0,201.0,285.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:07:03.803000,2021-10-22 20:52:03.816,1,,False,,False,True
0 days 01:10:31.169000,VER,33,0 days 00:01:41.310000,20.0,4.0,,,0 days 00:00:27.090000,0 days 00:00:40.778000,0 days 00:00:33.442000,0 days 01:09:16.949000,0 days 01:09:57.727000,0 days 01:10:31.169000,206.0,184.0,201.0,291.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:08:49.859000,2021-10-22 20:53:49.872,1,,False,,False,True
0 days 01:12:17.462000,VER,33,0 days 00:01:46.293000,21.0,4.0,,,0 days 00:00:27.201000,0 days 00:00:42.383000,0 days 00:00:36.709000,0 days 01:10:58.370000,0 days 01:11:40.753000,0 days 01:12:17.462000,207.0,154.0,200.0,274.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 01:10:31.169000,2021-10-22 20:55:31.182,12,,False,,False,True
0 days 01:14:01.148000,VER,33,0 days 00:01:43.686000,22.0,4.0,,,0 days 00:00:27.322000,0 days 00:00:41.094000,0 days 00:00:35.270000,0 days 01:12:44.784000,0 days 01:13:25.878000,0 days 01:14:01.148000,206.0,182.0,199.0,294.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:12:17.462000,2021-10-22 20:57:17.475,1,,False,,False,True
0 days 01:15:51.048000,VER,33,0 days 00:01:49.900000,23.0,4.0,,0 days 01:15:50.250000,0 days 00:00:27.404000,0 days 00:00:41.565000,0 days 00:00:40.931000,0 days 01:14:28.552000,0 days 01:15:10.117000,0 days 01:15:51.048000,207.0,180.0,,296.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:14:01.148000,2021-10-22 20:59:01.161,1,,False,,False,False
