Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:21.864000,VER,33,0 days 00:01:42.612000,1.0,1.0,,,,0 days 00:00:41.008000,0 days 00:00:33.498000,,0 days 01:03:48.439000,0 days 01:04:22.061000,207.0,181.0,204.0,289.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 01:02:39.103000,2021-10-24 19:03:40.852,12,2.0,False,,False,False
0 days 01:06:03.614000,VER,33,0 days 00:01:41.750000,2.0,1.0,,,0 days 00:00:27.412000,0 days 00:00:40.860000,0 days 00:00:33.478000,0 days 01:04:49.286000,0 days 01:05:30.146000,0 days 01:06:03.624000,203.0,182.0,202.0,295.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 01:04:21.864000,2021-10-24 19:05:23.613,1,2.0,False,,False,True
0 days 01:07:44.885000,VER,33,0 days 00:01:41.271000,3.0,1.0,,,0 days 00:00:27.350000,0 days 00:00:40.396000,0 days 00:00:33.525000,0 days 01:06:30.974000,0 days 01:07:11.370000,0 days 01:07:44.895000,206.0,181.0,202.0,316.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 01:06:03.614000,2021-10-24 19:07:05.363,1,2.0,False,,False,True
0 days 01:09:26.010000,VER,33,0 days 00:01:41.125000,4.0,1.0,,,0 days 00:00:27.164000,0 days 00:00:40.479000,0 days 00:00:33.482000,0 days 01:08:12.059000,0 days 01:08:52.538000,0 days 01:09:26.020000,204.0,180.0,202.0,312.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 01:07:44.885000,2021-10-24 19:08:46.634,1,2.0,True,TRACK LIMITS AT TURN 19,False,True
0 days 01:11:07.492000,VER,33,0 days 00:01:41.482000,5.0,1.0,,,0 days 00:00:27.155000,0 days 00:00:40.724000,0 days 00:00:33.603000,0 days 01:09:53.175000,0 days 01:10:33.899000,0 days 01:11:07.502000,202.0,183.0,199.0,316.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:09:26.010000,2021-10-24 19:10:27.759,1,2.0,False,,False,True
0 days 01:12:49.322000,VER,33,0 days 00:01:41.830000,6.0,1.0,,,0 days 00:00:27.445000,0 days 00:00:40.746000,0 days 00:00:33.639000,0 days 01:11:34.947000,0 days 01:12:15.693000,0 days 01:12:49.332000,197.0,179.0,203.0,316.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:11:07.492000,2021-10-24 19:12:09.241,1,2.0,False,,False,True
0 days 01:14:31.063000,VER,33,0 days 00:01:41.741000,7.0,1.0,,,0 days 00:00:27.349000,0 days 00:00:40.836000,0 days 00:00:33.556000,0 days 01:13:16.681000,0 days 01:13:57.517000,0 days 01:14:31.073000,200.0,180.0,202.0,317.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:12:49.322000,2021-10-24 19:13:51.071,1,2.0,False,,False,True
0 days 01:16:12.995000,VER,33,0 days 00:01:41.932000,8.0,1.0,,,0 days 00:00:27.254000,0 days 00:00:41.144000,0 days 00:00:33.534000,0 days 01:14:58.327000,0 days 01:15:39.471000,0 days 01:16:13.005000,202.0,182.0,202.0,316.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:14:31.063000,2021-10-24 19:15:32.812,1,2.0,False,,False,True
0 days 01:17:54.563000,VER,33,0 days 00:01:41.568000,9.0,1.0,,,0 days 00:00:27.074000,0 days 00:00:40.844000,0 days 00:00:33.650000,0 days 01:16:40.079000,0 days 01:17:20.923000,0 days 01:17:54.573000,203.0,182.0,201.0,324.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:16:12.995000,2021-10-24 19:17:14.744,1,2.0,False,,False,True
0 days 01:19:36.273000,VER,33,0 days 00:01:41.710000,10.0,1.0,,0 days 01:19:35.398000,0 days 00:00:27.293000,0 days 00:00:40.776000,0 days 00:00:33.641000,0 days 01:18:21.866000,0 days 01:19:02.642000,0 days 01:19:36.283000,196.0,183.0,,319.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:17:54.563000,2021-10-24 19:18:56.312,1,2.0,False,,False,False
0 days 01:21:35.124000,VER,33,0 days 00:01:58.851000,11.0,2.0,0 days 01:19:59.114000,,0 days 00:00:46.403000,0 days 00:00:40.073000,0 days 00:00:32.375000,0 days 01:20:22.686000,0 days 01:21:02.759000,0 days 01:21:35.134000,214.0,186.0,203.0,312.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:19:36.273000,2021-10-24 19:20:38.022,1,4.0,False,,False,False
0 days 01:23:15.550000,VER,33,0 days 00:01:40.426000,12.0,2.0,,,0 days 00:00:27.043000,0 days 00:00:40.355000,0 days 00:00:33.028000,0 days 01:22:02.177000,0 days 01:22:42.532000,0 days 01:23:15.560000,206.0,183.0,204.0,295.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:21:35.124000,2021-10-24 19:22:36.873,1,4.0,False,,False,True
0 days 01:24:55.652000,VER,33,0 days 00:01:40.102000,13.0,2.0,,,0 days 00:00:27.005000,0 days 00:00:40.311000,0 days 00:00:32.786000,0 days 01:23:42.565000,0 days 01:24:22.876000,0 days 01:24:55.662000,,184.0,203.0,292.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:23:15.550000,2021-10-24 19:24:17.299,1,2.0,False,,False,True
0 days 01:26:36.063000,VER,33,0 days 00:01:40.411000,14.0,2.0,,,0 days 00:00:27.216000,0 days 00:00:40.382000,0 days 00:00:32.813000,0 days 01:25:22.878000,0 days 01:26:03.260000,0 days 01:26:36.073000,208.0,183.0,203.0,294.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:24:55.652000,2021-10-24 19:25:57.401,1,1.0,False,,False,True
0 days 01:28:16.799000,VER,33,0 days 00:01:40.736000,15.0,2.0,,,0 days 00:00:27.327000,0 days 00:00:40.412000,0 days 00:00:32.997000,0 days 01:27:03.400000,0 days 01:27:43.812000,0 days 01:28:16.809000,205.0,184.0,202.0,292.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:26:36.063000,2021-10-24 19:27:37.812,1,1.0,False,,False,True
0 days 01:29:57.671000,VER,33,0 days 00:01:40.872000,16.0,2.0,,,0 days 00:00:27.341000,0 days 00:00:40.776000,0 days 00:00:32.755000,0 days 01:28:44.150000,0 days 01:29:24.926000,0 days 01:29:57.681000,202.0,185.0,203.0,291.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:28:16.799000,2021-10-24 19:29:18.548,1,1.0,False,,False,True
0 days 01:31:38.562000,VER,33,0 days 00:01:40.891000,17.0,2.0,,,0 days 00:00:27.256000,0 days 00:00:40.630000,0 days 00:00:33.005000,0 days 01:30:24.937000,0 days 01:31:05.567000,0 days 01:31:38.572000,204.0,183.0,203.0,293.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:29:57.671000,2021-10-24 19:30:59.420,1,1.0,False,,False,True
0 days 01:33:19.360000,VER,33,0 days 00:01:40.798000,18.0,2.0,,,0 days 00:00:27.321000,0 days 00:00:40.545000,0 days 00:00:32.932000,0 days 01:32:05.893000,0 days 01:32:46.438000,0 days 01:33:19.370000,206.0,184.0,203.0,294.0,False,HARD,8.0,True,Red Bull Racing,0 days 01:31:38.562000,2021-10-24 19:32:40.311,1,1.0,False,,False,True
0 days 01:35:00.019000,VER,33,0 days 00:01:40.659000,19.0,2.0,,,0 days 00:00:27.177000,0 days 00:00:40.443000,0 days 00:00:33.039000,0 days 01:33:46.547000,0 days 01:34:26.990000,0 days 01:35:00.029000,,183.0,203.0,296.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:33:19.360000,2021-10-24 19:34:21.109,1,1.0,False,,False,True
0 days 01:36:41.057000,VER,33,0 days 00:01:41.038000,20.0,2.0,,,0 days 00:00:27.173000,0 days 00:00:40.937000,0 days 00:00:32.928000,0 days 01:35:27.202000,0 days 01:36:08.139000,0 days 01:36:41.067000,207.0,184.0,202.0,295.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:35:00.019000,2021-10-24 19:36:01.768,1,1.0,False,,False,True
0 days 01:38:21.859000,VER,33,0 days 00:01:40.802000,21.0,2.0,,,0 days 00:00:27.113000,0 days 00:00:40.709000,0 days 00:00:32.980000,0 days 01:37:08.180000,0 days 01:37:48.889000,0 days 01:38:21.869000,206.0,184.0,203.0,296.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:36:41.057000,2021-10-24 19:37:42.806,1,1.0,False,,False,True
0 days 01:40:02.850000,VER,33,0 days 00:01:40.991000,22.0,2.0,,,0 days 00:00:27.177000,0 days 00:00:40.722000,0 days 00:00:33.092000,0 days 01:38:49.046000,0 days 01:39:29.768000,0 days 01:40:02.860000,203.0,185.0,203.0,294.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:38:21.859000,2021-10-24 19:39:23.608,1,1.0,False,,False,True
0 days 01:41:43.687000,VER,33,0 days 00:01:40.837000,23.0,2.0,,,0 days 00:00:27.177000,0 days 00:00:40.570000,0 days 00:00:33.090000,,0 days 01:41:10.607000,0 days 01:41:43.697000,204.0,185.0,202.0,297.0,False,HARD,13.0,True,Red Bull Racing,0 days 01:40:02.850000,2021-10-24 19:41:04.599,1,1.0,False,,False,True
0 days 01:43:24.525000,VER,33,0 days 00:01:40.838000,24.0,2.0,,,0 days 00:00:27.087000,0 days 00:00:40.599000,0 days 00:00:33.152000,0 days 01:42:10.784000,0 days 01:42:51.383000,0 days 01:43:24.535000,,184.0,202.0,299.0,False,HARD,14.0,True,Red Bull Racing,0 days 01:41:43.687000,2021-10-24 19:42:45.436,1,1.0,False,,False,True
0 days 01:45:05.740000,VER,33,0 days 00:01:41.215000,25.0,2.0,,,0 days 00:00:27.176000,0 days 00:00:40.717000,0 days 00:00:33.322000,0 days 01:43:51.711000,0 days 01:44:32.428000,0 days 01:45:05.750000,203.0,184.0,203.0,300.0,False,HARD,15.0,True,Red Bull Racing,0 days 01:43:24.525000,2021-10-24 19:44:26.274,1,1.0,False,,False,True
0 days 01:46:47.233000,VER,33,0 days 00:01:41.493000,26.0,2.0,,,0 days 00:00:27.201000,0 days 00:00:40.858000,0 days 00:00:33.434000,0 days 01:45:32.951000,0 days 01:46:13.809000,0 days 01:46:47.243000,201.0,183.0,205.0,301.0,False,HARD,16.0,True,Red Bull Racing,0 days 01:45:05.740000,2021-10-24 19:46:07.489,1,1.0,False,,False,True
0 days 01:48:27.886000,VER,33,0 days 00:01:40.653000,27.0,2.0,,,0 days 00:00:26.879000,0 days 00:00:40.701000,0 days 00:00:33.073000,0 days 01:47:14.122000,0 days 01:47:54.823000,0 days 01:48:27.896000,204.0,185.0,202.0,300.0,False,HARD,17.0,True,Red Bull Racing,0 days 01:46:47.233000,2021-10-24 19:47:48.982,1,1.0,False,,False,True
0 days 01:50:18.326000,VER,33,0 days 00:01:50.440000,28.0,2.0,,,0 days 00:00:35.946000,0 days 00:00:41.433000,0 days 00:00:33.061000,0 days 01:49:03.842000,0 days 01:49:45.275000,0 days 01:50:18.336000,135.0,184.0,202.0,297.0,False,HARD,18.0,True,Red Bull Racing,0 days 01:48:27.886000,2021-10-24 19:49:29.635,167,1.0,False,,False,False
0 days 01:51:59.491000,VER,33,0 days 00:01:41.165000,29.0,2.0,,0 days 01:51:58.670000,0 days 00:00:27.173000,0 days 00:00:40.588000,0 days 00:00:33.404000,0 days 01:50:45.509000,0 days 01:51:26.097000,0 days 01:51:59.501000,204.0,185.0,,298.0,False,HARD,19.0,True,Red Bull Racing,0 days 01:50:18.326000,2021-10-24 19:51:20.075,1,1.0,False,,False,False
0 days 01:53:59.203000,VER,33,0 days 00:01:59.712000,30.0,3.0,0 days 01:52:22.643000,,0 days 00:00:47.278000,0 days 00:00:39.684000,0 days 00:00:32.750000,0 days 01:52:46.779000,0 days 01:53:26.463000,0 days 01:53:59.213000,205.0,183.0,205.0,315.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:51:59.491000,2021-10-24 19:53:01.240,1,2.0,False,,False,False
0 days 01:55:39.558000,VER,33,0 days 00:01:40.355000,31.0,3.0,,,0 days 00:00:27.325000,0 days 00:00:40.312000,0 days 00:00:32.718000,0 days 01:54:26.538000,0 days 01:55:06.850000,0 days 01:55:39.568000,,182.0,206.0,298.0,False,HARD,2.0,True,Red Bull Racing,0 days 01:53:59.203000,2021-10-24 19:55:00.952,1,2.0,False,,False,True
0 days 01:57:20.010000,VER,33,0 days 00:01:40.452000,32.0,3.0,,,0 days 00:00:27.181000,0 days 00:00:40.467000,0 days 00:00:32.804000,0 days 01:56:06.749000,0 days 01:56:47.216000,0 days 01:57:20.020000,207.0,184.0,206.0,294.0,False,HARD,3.0,True,Red Bull Racing,0 days 01:55:39.558000,2021-10-24 19:56:41.307,1,2.0,False,,False,True
0 days 01:59:00.136000,VER,33,0 days 00:01:40.126000,33.0,3.0,,,0 days 00:00:27.032000,0 days 00:00:40.368000,0 days 00:00:32.726000,0 days 01:57:47.052000,0 days 01:58:27.420000,0 days 01:59:00.146000,,185.0,204.0,295.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:57:20.010000,2021-10-24 19:58:21.759,1,2.0,False,,False,True
0 days 02:00:40.286000,VER,33,0 days 00:01:40.150000,34.0,3.0,,,0 days 00:00:27.146000,0 days 00:00:40.431000,0 days 00:00:32.573000,0 days 01:59:27.292000,0 days 02:00:07.723000,0 days 02:00:40.296000,204.0,185.0,206.0,297.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:59:00.136000,2021-10-24 20:00:01.885,1,2.0,False,,False,True
0 days 02:02:20.776000,VER,33,0 days 00:01:40.490000,35.0,3.0,,,0 days 00:00:27.065000,0 days 00:00:40.698000,0 days 00:00:32.727000,0 days 02:01:07.361000,0 days 02:01:48.059000,0 days 02:02:20.786000,205.0,185.0,203.0,296.0,False,HARD,6.0,True,Red Bull Racing,0 days 02:00:40.286000,2021-10-24 20:01:42.035,1,2.0,False,,False,True
