Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:20:03.712000,VER,33,,1.0,1.0,0 days 00:18:22.437000,,,0 days 00:00:42.311000,0 days 00:00:28.270000,,0 days 00:19:35.466000,0 days 00:20:03.875000,169.0,251.0,246.0,293.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:18:22.437000,2021-11-05 17:33:23.205,1,,False,,False,False
0 days 00:21:26.392000,VER,33,0 days 00:01:22.680000,2.0,1.0,,,0 days 00:00:29.138000,0 days 00:00:32.204000,0 days 00:00:21.338000,0 days 00:20:32.850000,0 days 00:21:05.054000,0 days 00:21:26.392000,304.0,289.0,248.0,338.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:20:03.712000,2021-11-05 17:35:04.480,1,,False,,False,True
0 days 00:22:49.063000,VER,33,0 days 00:01:22.671000,3.0,1.0,,,0 days 00:00:28.857000,0 days 00:00:32.176000,0 days 00:00:21.638000,0 days 00:21:55.249000,0 days 00:22:27.425000,0 days 00:22:49.063000,307.0,289.0,248.0,337.0,True,HARD,3.0,True,Red Bull Racing,0 days 00:21:26.392000,2021-11-05 17:36:27.160,1,,False,,False,True
0 days 00:24:21.577000,VER,33,0 days 00:01:32.514000,4.0,1.0,,,0 days 00:00:32.132000,0 days 00:00:35.374000,0 days 00:00:25.008000,0 days 00:23:21.195000,0 days 00:23:56.569000,0 days 00:24:21.577000,245.0,264.0,249.0,295.0,False,HARD,4.0,True,Red Bull Racing,0 days 00:22:49.063000,2021-11-05 17:37:49.831,1,,False,,False,True
0 days 00:25:59.482000,VER,33,0 days 00:01:37.905000,5.0,1.0,,,0 days 00:00:33.817000,0 days 00:00:36.337000,0 days 00:00:27.751000,0 days 00:24:55.394000,0 days 00:25:31.731000,0 days 00:25:59.482000,263.0,269.0,248.0,283.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:24:21.577000,2021-11-05 17:39:22.345,12,,False,,False,True
0 days 00:27:52.483000,VER,33,0 days 00:01:53.001000,6.0,1.0,,,0 days 00:00:29.685000,0 days 00:00:49.399000,0 days 00:00:33.917000,0 days 00:26:29.167000,0 days 00:27:18.566000,0 days 00:27:52.483000,141.0,197.0,214.0,336.0,False,HARD,6.0,True,Red Bull Racing,0 days 00:25:59.482000,2021-11-05 17:41:00.250,16,,False,,False,False
0 days 00:29:22.532000,VER,33,0 days 00:01:30.049000,7.0,1.0,,,0 days 00:00:31.788000,0 days 00:00:35.429000,0 days 00:00:22.832000,0 days 00:28:24.271000,0 days 00:28:59.700000,0 days 00:29:22.532000,281.0,280.0,250.0,287.0,False,HARD,7.0,True,Red Bull Racing,0 days 00:27:52.483000,2021-11-05 17:42:53.251,671,,False,,False,False
0 days 00:30:43.401000,VER,33,0 days 00:01:20.869000,8.0,1.0,,,0 days 00:00:28.613000,0 days 00:00:31.224000,0 days 00:00:21.032000,0 days 00:29:51.145000,0 days 00:30:22.369000,0 days 00:30:43.401000,302.0,293.0,250.0,336.0,True,HARD,8.0,True,Red Bull Racing,0 days 00:29:22.532000,2021-11-05 17:44:23.300,1,,False,,False,True
0 days 00:32:18.085000,VER,33,0 days 00:01:34.684000,9.0,1.0,,,0 days 00:00:32.605000,0 days 00:00:37.779000,0 days 00:00:24.300000,0 days 00:31:16.006000,0 days 00:31:53.785000,0 days 00:32:18.085000,215.0,253.0,251.0,269.0,False,HARD,9.0,True,Red Bull Racing,0 days 00:30:43.401000,2021-11-05 17:45:44.169,1,,False,,False,True
0 days 00:33:38.299000,VER,33,0 days 00:01:20.214000,10.0,1.0,,,0 days 00:00:28.188000,0 days 00:00:31.107000,0 days 00:00:20.919000,0 days 00:32:46.273000,0 days 00:33:17.380000,0 days 00:33:38.299000,309.0,293.0,252.0,334.0,True,HARD,10.0,True,Red Bull Racing,0 days 00:32:18.085000,2021-11-05 17:47:18.853,1,,False,,False,True
0 days 00:35:15.130000,VER,33,0 days 00:01:36.831000,11.0,1.0,,0 days 00:35:12.543000,0 days 00:00:34.066000,0 days 00:00:36.267000,0 days 00:00:26.498000,0 days 00:34:12.365000,0 days 00:34:48.632000,0 days 00:35:15.130000,234.0,263.0,,273.0,False,HARD,11.0,True,Red Bull Racing,0 days 00:33:38.299000,2021-11-05 17:48:39.067,1,,False,,False,False
