Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:21:38.062000,VER,33,,1.0,1.0,0 days 00:20:04.800000,,,0 days 00:00:40.864000,0 days 00:00:22.345000,,0 days 00:21:15.717000,0 days 00:21:38.238000,272.0,267.0,256.0,292.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:20:04.800000,2021-11-06 20:05:04.808,1,,False,,False,False
0 days 00:49:10.633000,VER,33,,2.0,1.0,,0 days 00:23:21.548000,,,,,,,,,,338.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:21:38.062000,2021-11-06 20:06:38.070,125,,False,,False,False
0 days 00:50:57.670000,VER,33,,3.0,2.0,0 days 00:49:10.633000,,,0 days 00:00:41.946000,0 days 00:00:33.555000,,0 days 00:50:24.276000,0 days 00:50:57.989000,266.0,211.0,256.0,212.0,False,SOFT,3.0,False,Red Bull Racing,0 days 00:49:10.633000,2021-11-06 20:34:10.641,1,,False,,False,False
0 days 00:52:14.458000,VER,33,0 days 00:01:16.788000,4.0,2.0,,,0 days 00:00:27.362000,0 days 00:00:29.612000,0 days 00:00:19.814000,0 days 00:51:25.032000,0 days 00:51:54.644000,0 days 00:52:14.458000,315.0,297.0,256.0,340.0,True,SOFT,4.0,False,Red Bull Racing,0 days 00:50:57.670000,2021-11-06 20:35:57.678,1,,False,,False,True
0 days 00:53:50.616000,VER,33,0 days 00:01:36.158000,5.0,2.0,,0 days 00:53:48.038000,0 days 00:00:35.114000,0 days 00:00:36.309000,0 days 00:00:24.735000,0 days 00:52:49.572000,0 days 00:53:25.881000,0 days 00:53:50.616000,221.0,256.0,,250.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:52:14.458000,2021-11-06 20:37:14.466,1,,False,,False,False
0 days 01:08:28.467000,VER,33,,6.0,3.0,0 days 01:06:50.709000,,,0 days 00:00:40.265000,0 days 00:00:25.214000,,0 days 01:08:03.281000,0 days 01:08:28.502000,271.0,252.0,257.0,292.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:53:50.616000,2021-11-06 20:38:50.624,1,,False,,False,False
0 days 01:09:44.950000,VER,33,0 days 00:01:16.483000,7.0,3.0,,,0 days 00:00:27.433000,0 days 00:00:29.433000,0 days 00:00:19.617000,0 days 01:08:55.900000,0 days 01:09:25.333000,0 days 01:09:44.950000,315.0,299.0,256.0,340.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:08:28.467000,2021-11-06 20:53:28.475,1,,False,,False,True
0 days 01:11:28.252000,VER,33,0 days 00:01:43.302000,8.0,3.0,,0 days 01:11:25.546000,0 days 00:00:34.536000,0 days 00:00:37.128000,0 days 00:00:31.638000,0 days 01:10:19.486000,0 days 01:10:56.614000,0 days 01:11:28.252000,209.0,233.0,,257.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:09:44.950000,2021-11-06 20:54:44.958,1,,False,,False,False
0 days 01:18:35.501000,VER,33,,9.0,4.0,0 days 01:17:02.533000,,,0 days 00:00:40.710000,0 days 00:00:22.471000,,0 days 01:18:13.086000,0 days 01:18:35.569000,268.0,232.0,256.0,300.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:11:28.252000,2021-11-06 20:56:28.260,1,,False,,False,False
0 days 01:19:54.287000,VER,33,0 days 00:01:18.786000,10.0,4.0,,,0 days 00:00:27.308000,0 days 00:00:29.513000,0 days 00:00:21.965000,0 days 01:19:02.809000,0 days 01:19:32.322000,0 days 01:19:54.287000,317.0,298.0,167.0,339.0,False,SOFT,2.0,True,Red Bull Racing,0 days 01:18:35.501000,2021-11-06 21:03:35.509,1,,False,,False,True
