Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:45.158000,VER,33,0 days 00:01:35.355000,1.0,1.0,0 days 00:16:10.661000,,0 days 00:00:24.741000,0 days 00:00:38.207000,0 days 00:00:32.407000,0 days 00:16:34.590000,0 days 00:17:12.821000,0 days 00:17:45.451000,186.0,181.0,269.0,258.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:16:10.661000,2021-05-22 13:01:11.400,1,,False,,False,False
0 days 00:18:58.145000,VER,33,0 days 00:01:12.987000,2.0,1.0,,,0 days 00:00:19.352000,0 days 00:00:34.315000,0 days 00:00:19.320000,0 days 00:18:04.510000,0 days 00:18:38.825000,0 days 00:18:58.145000,215.0,197.0,268.0,280.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:17:45.158000,2021-05-22 13:02:45.897,1,,False,,False,True
0 days 00:20:30.703000,VER,33,0 days 00:01:32.558000,3.0,1.0,,,0 days 00:00:21.140000,0 days 00:00:43.926000,0 days 00:00:27.492000,0 days 00:19:19.285000,0 days 00:20:03.211000,0 days 00:20:30.703000,189.0,161.0,271.0,248.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:18:58.145000,2021-05-22 13:03:58.884,1,,False,,False,True
0 days 00:21:42.225000,VER,33,0 days 00:01:11.522000,4.0,1.0,,,0 days 00:00:18.859000,0 days 00:00:33.670000,0 days 00:00:18.993000,0 days 00:20:49.562000,0 days 00:21:23.232000,0 days 00:21:42.225000,222.0,202.0,269.0,282.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:20:30.703000,2021-05-22 13:05:31.442,1,,False,,False,True
0 days 00:23:19.703000,VER,33,0 days 00:01:37.478000,5.0,1.0,,,0 days 00:00:23.763000,0 days 00:00:45.123000,0 days 00:00:28.592000,0 days 00:22:05.988000,0 days 00:22:51.111000,0 days 00:23:19.703000,117.0,161.0,269.0,243.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:21:42.225000,2021-05-22 13:06:42.964,1,,False,,False,True
0 days 00:24:30.827000,VER,33,0 days 00:01:11.124000,6.0,1.0,,,0 days 00:00:18.687000,0 days 00:00:33.429000,0 days 00:00:19.008000,0 days 00:23:38.390000,0 days 00:24:11.819000,0 days 00:24:30.827000,222.0,205.0,268.0,280.0,True,SOFT,6.0,True,Red Bull Racing,0 days 00:23:19.703000,2021-05-22 13:08:20.442,1,,False,,False,True
0 days 00:41:07.955000,VER,33,,7.0,1.0,,0 days 00:25:45.184000,0 days 00:00:21.306000,0 days 00:00:37.100000,,0 days 00:24:52.177000,0 days 00:25:29.354000,,180.0,179.0,,254.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:24:30.827000,2021-05-22 13:09:31.566,12,,False,,False,False
0 days 00:42:44.029000,VER,33,0 days 00:01:36.074000,8.0,2.0,0 days 00:41:09.443000,,0 days 00:00:26.111000,0 days 00:00:39.179000,0 days 00:00:30.784000,0 days 00:41:34.066000,0 days 00:42:13.245000,0 days 00:42:44.029000,197.0,95.0,270.0,260.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:41:07.955000,2021-05-22 13:26:08.694,1,,False,,False,False
0 days 00:43:55.069000,VER,33,0 days 00:01:11.040000,9.0,2.0,,,0 days 00:00:18.637000,0 days 00:00:33.355000,0 days 00:00:19.048000,0 days 00:43:02.666000,0 days 00:43:36.021000,0 days 00:43:55.069000,224.0,205.0,269.0,283.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:44.029000,2021-05-22 13:27:44.768,1,,False,,False,True
0 days 00:45:34.575000,VER,33,0 days 00:01:39.506000,10.0,2.0,,,0 days 00:00:26.305000,0 days 00:00:43.873000,0 days 00:00:29.328000,0 days 00:44:21.374000,0 days 00:45:05.247000,0 days 00:45:34.575000,181.0,120.0,270.0,256.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:43:55.069000,2021-05-22 13:28:55.808,1,,False,,False,True
