Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:37:50.215000,RIC,3,,1.0,1.0,0 days 00:35:28.016000,,,0 days 00:01:05.830000,0 days 00:00:26.961000,,0 days 00:37:23.664000,0 days 00:37:50.350000,120.0,98.0,292.0,196.0,False,SOFT,1.0,True,McLaren,0 days 00:35:28.016000,2021-03-27 12:20:28.024,1,,False,,False,False
0 days 00:39:46.267000,RIC,3,0 days 00:01:56.052000,2.0,1.0,,,0 days 00:00:29.796000,0 days 00:00:53.870000,0 days 00:00:32.386000,0 days 00:38:20.011000,0 days 00:39:13.881000,0 days 00:39:46.267000,241.0,158.0,231.0,324.0,True,SOFT,2.0,True,McLaren,0 days 00:37:50.215000,2021-03-27 12:22:50.223,1,,False,,False,True
0 days 00:41:55.909000,RIC,3,0 days 00:02:09.642000,3.0,1.0,,,0 days 00:00:45.461000,0 days 00:00:56.951000,0 days 00:00:27.230000,0 days 00:40:31.728000,0 days 00:41:28.679000,0 days 00:41:55.909000,155.0,173.0,291.0,134.0,False,SOFT,3.0,True,McLaren,0 days 00:39:46.267000,2021-03-27 12:24:46.275,1,,False,,False,True
0 days 00:43:30.151000,RIC,3,0 days 00:01:34.242000,4.0,1.0,,,0 days 00:00:29.761000,0 days 00:00:41.001000,0 days 00:00:23.480000,0 days 00:42:25.670000,0 days 00:43:06.671000,0 days 00:43:30.151000,240.0,266.0,291.0,322.0,True,SOFT,4.0,True,McLaren,0 days 00:41:55.909000,2021-03-27 12:26:55.917,1,,False,,False,True
0 days 00:45:18.204000,RIC,3,0 days 00:01:48.053000,5.0,1.0,,0 days 00:45:16.517000,0 days 00:00:33.451000,0 days 00:00:45.650000,0 days 00:00:28.952000,0 days 00:44:03.602000,0 days 00:44:49.252000,0 days 00:45:18.204000,214.0,224.0,,294.0,False,SOFT,5.0,True,McLaren,0 days 00:43:30.151000,2021-03-27 12:28:30.159,1,,False,,False,False
0 days 00:58:22.882000,RIC,3,,6.0,2.0,0 days 00:56:02.490000,,,0 days 00:01:06.123000,0 days 00:00:33.624000,,0 days 00:57:50.432000,0 days 00:58:23.064000,141.0,148.0,291.0,165.0,False,SOFT,1.0,True,McLaren,0 days 00:45:18.204000,2021-03-27 12:30:18.212,12,,False,,False,False
0 days 00:59:55.359000,RIC,3,0 days 00:01:32.477000,7.0,2.0,,,0 days 00:00:29.147000,0 days 00:00:40.097000,0 days 00:00:23.233000,0 days 00:58:52.029000,0 days 00:59:32.126000,0 days 00:59:55.359000,241.0,267.0,290.0,324.0,True,SOFT,2.0,True,McLaren,0 days 00:58:22.882000,2021-03-27 12:43:22.890,1,,False,,False,True
0 days 01:01:54.900000,RIC,3,0 days 00:01:59.541000,8.0,2.0,,,0 days 00:00:37.735000,0 days 00:00:53.247000,0 days 00:00:28.559000,0 days 01:00:33.094000,0 days 01:01:26.341000,0 days 01:01:54.900000,172.0,181.0,293.0,295.0,False,SOFT,3.0,True,McLaren,0 days 00:59:55.359000,2021-03-27 12:44:55.367,1,,False,,False,True
0 days 01:03:41.996000,RIC,3,0 days 00:01:47.096000,9.0,2.0,,0 days 01:03:40.351000,0 days 00:00:32.430000,0 days 00:00:45.739000,0 days 00:00:28.927000,0 days 01:02:27.330000,0 days 01:03:13.069000,0 days 01:03:41.996000,206.0,219.0,,325.0,False,SOFT,4.0,True,McLaren,0 days 01:01:54.900000,2021-03-27 12:46:54.908,1,,False,,False,False
0 days 01:13:29.793000,RIC,3,,10.0,3.0,0 days 01:11:27.560000,0 days 01:13:28.975000,,0 days 00:00:47.570000,0 days 00:00:31.640000,,0 days 01:12:58.157000,0 days 01:13:31.739000,202.0,199.0,,165.0,False,SOFT,5.0,False,McLaren,0 days 01:03:41.996000,2021-03-27 12:48:42.004,1,,False,,False,False
