Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:31.509000,VER,33,,1.0,1.0,0 days 00:15:49.369000,,,0 days 00:00:32.664000,0 days 00:00:33.981000,,0 days 00:16:57.556000,0 days 00:17:32.781000,266.0,257.0,293.0,,False,HARD,1.0,True,Red Bull Racing,0 days 00:15:49.369000,2021-09-03 09:30:49.380,12,,False,,False,False
0 days 00:18:51.609000,VER,33,0 days 00:01:20.100000,2.0,1.0,,,0 days 00:00:26.268000,0 days 00:00:26.028000,0 days 00:00:27.804000,0 days 00:17:57.777000,0 days 00:18:23.805000,0 days 00:18:51.609000,274.0,261.0,295.0,302.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:17:31.509000,2021-09-03 09:32:31.520,1,,False,,False,True
0 days 00:20:13.262000,VER,33,0 days 00:01:21.653000,3.0,1.0,,,0 days 00:00:25.765000,0 days 00:00:25.135000,0 days 00:00:30.753000,0 days 00:19:17.374000,0 days 00:19:42.509000,0 days 00:20:13.262000,275.0,268.0,296.0,305.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:18:51.609000,2021-09-03 09:33:51.620,12,,False,,False,True
0 days 00:21:26.307000,VER,33,0 days 00:01:13.045000,4.0,1.0,,,0 days 00:00:25.498000,0 days 00:00:24.921000,0 days 00:00:22.626000,0 days 00:20:38.760000,0 days 00:21:03.681000,0 days 00:21:26.307000,,283.0,305.0,308.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:20:13.262000,2021-09-03 09:35:13.273,1,,False,,False,True
0 days 00:23:07.986000,VER,33,0 days 00:01:41.679000,5.0,1.0,,,0 days 00:00:35.314000,0 days 00:00:41.212000,0 days 00:00:25.153000,0 days 00:22:01.621000,0 days 00:22:42.833000,0 days 00:23:07.986000,195.0,192.0,299.0,263.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:21:26.307000,2021-09-03 09:36:26.318,1,,False,,False,True
0 days 00:24:31.478000,VER,33,0 days 00:01:23.492000,6.0,1.0,,,0 days 00:00:25.507000,0 days 00:00:32.374000,0 days 00:00:25.611000,0 days 00:23:33.493000,0 days 00:24:05.867000,0 days 00:24:31.478000,278.0,208.0,298.0,310.0,False,HARD,6.0,True,Red Bull Racing,0 days 00:23:07.986000,2021-09-03 09:38:07.997,1,,False,,False,True
0 days 00:25:44.328000,VER,33,0 days 00:01:12.850000,7.0,1.0,,,0 days 00:00:25.437000,0 days 00:00:24.929000,0 days 00:00:22.484000,0 days 00:24:56.915000,0 days 00:25:21.844000,0 days 00:25:44.328000,275.0,281.0,297.0,309.0,True,HARD,7.0,True,Red Bull Racing,0 days 00:24:31.478000,2021-09-03 09:39:31.489,1,,False,,False,True
0 days 00:27:32.563000,VER,33,0 days 00:01:48.235000,8.0,1.0,,,0 days 00:00:35.758000,0 days 00:00:40.257000,0 days 00:00:32.220000,0 days 00:26:20.086000,0 days 00:27:00.343000,0 days 00:27:32.563000,200.0,191.0,298.0,266.0,False,HARD,8.0,True,Red Bull Racing,0 days 00:25:44.328000,2021-09-03 09:40:44.339,1,,False,,False,True
0 days 00:28:45.318000,VER,33,0 days 00:01:12.755000,9.0,1.0,,,0 days 00:00:25.457000,0 days 00:00:24.795000,0 days 00:00:22.503000,0 days 00:27:58.020000,0 days 00:28:22.815000,0 days 00:28:45.318000,274.0,281.0,300.0,305.0,True,HARD,9.0,True,Red Bull Racing,0 days 00:27:32.563000,2021-09-03 09:42:32.574,1,,False,,False,True
0 days 00:30:30.775000,VER,33,0 days 00:01:45.457000,10.0,1.0,,,0 days 00:00:39.092000,0 days 00:00:37.800000,0 days 00:00:28.565000,0 days 00:29:24.410000,0 days 00:30:02.210000,0 days 00:30:30.775000,204.0,172.0,295.0,270.0,False,HARD,10.0,True,Red Bull Racing,0 days 00:28:45.318000,2021-09-03 09:43:45.329,1,,False,,False,True
