Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:23:09.391000,RIC,3,,1.0,1.0,0 days 00:20:53.776000,0 days 00:23:05.663000,,0 days 00:00:41.443000,0 days 00:00:45.476000,,0 days 00:22:23.952000,0 days 00:23:09.531000,130.0,196.0,,243.0,False,MEDIUM,6.0,False,McLaren,0 days 00:20:53.776000,2021-09-11 10:05:53.787,1,,False,,False,False
0 days 00:25:10.100000,RIC,3,0 days 00:02:00.709000,2.0,2.0,0 days 00:23:26.225000,0 days 00:25:06.408000,0 days 00:00:57.357000,0 days 00:00:29.675000,0 days 00:00:33.677000,0 days 00:24:06.748000,0 days 00:24:36.423000,0 days 00:25:10.100000,306.0,308.0,,271.0,False,MEDIUM,7.0,False,McLaren,0 days 00:23:09.391000,2021-09-11 10:08:09.402,1,,False,,False,False
0 days 00:27:26.764000,RIC,3,0 days 00:02:16.664000,3.0,3.0,0 days 00:25:30.319000,0 days 00:27:23.051000,0 days 00:00:58.333000,0 days 00:00:34.265000,0 days 00:00:44.066000,0 days 00:26:08.433000,0 days 00:26:42.698000,0 days 00:27:26.764000,236.0,178.0,,217.0,False,SOFT,4.0,False,McLaren,0 days 00:25:10.100000,2021-09-11 10:10:10.111,1,,False,,False,False
0 days 00:29:32.116000,RIC,3,0 days 00:02:05.352000,4.0,4.0,0 days 00:27:44.033000,,0 days 00:01:07.104000,0 days 00:00:29.424000,0 days 00:00:28.824000,0 days 00:28:33.868000,0 days 00:29:03.292000,0 days 00:29:32.116000,304.0,305.0,305.0,276.0,False,SOFT,5.0,False,McLaren,0 days 00:27:26.764000,2021-09-11 10:12:26.775,1,,False,,False,False
0 days 00:30:58.266000,RIC,3,0 days 00:01:26.150000,5.0,4.0,,,0 days 00:00:28.108000,0 days 00:00:29.490000,0 days 00:00:28.552000,0 days 00:30:00.224000,0 days 00:30:29.714000,0 days 00:30:58.266000,303.0,305.0,307.0,328.0,True,SOFT,6.0,False,McLaren,0 days 00:29:32.116000,2021-09-11 10:14:32.127,1,,False,,False,True
0 days 00:32:24.312000,RIC,3,0 days 00:01:26.046000,6.0,4.0,,,0 days 00:00:28.053000,0 days 00:00:29.354000,0 days 00:00:28.639000,0 days 00:31:26.319000,0 days 00:31:55.673000,0 days 00:32:24.312000,307.0,308.0,308.0,,True,SOFT,7.0,False,McLaren,0 days 00:30:58.266000,2021-09-11 10:15:58.277,1,,False,,False,True
0 days 00:33:50.190000,RIC,3,0 days 00:01:25.878000,7.0,4.0,,,0 days 00:00:28.029000,0 days 00:00:29.300000,0 days 00:00:28.549000,0 days 00:32:52.341000,0 days 00:33:21.641000,0 days 00:33:50.190000,308.0,312.0,307.0,335.0,True,SOFT,8.0,False,McLaren,0 days 00:32:24.312000,2021-09-11 10:17:24.323,1,,False,,False,True
0 days 00:35:16.256000,RIC,3,0 days 00:01:26.066000,8.0,4.0,,,0 days 00:00:28.169000,0 days 00:00:29.312000,0 days 00:00:28.585000,0 days 00:34:18.359000,0 days 00:34:47.671000,0 days 00:35:16.256000,313.0,312.0,307.0,320.0,False,SOFT,9.0,False,McLaren,0 days 00:33:50.190000,2021-09-11 10:18:50.201,1,,False,,False,True
0 days 00:36:42.213000,RIC,3,0 days 00:01:25.957000,9.0,4.0,,,0 days 00:00:28.118000,0 days 00:00:29.344000,0 days 00:00:28.495000,0 days 00:35:44.374000,0 days 00:36:13.718000,0 days 00:36:42.213000,309.0,311.0,308.0,323.0,False,SOFT,10.0,False,McLaren,0 days 00:35:16.256000,2021-09-11 10:20:16.267,1,,False,,False,True
0 days 00:38:08.482000,RIC,3,0 days 00:01:26.269000,10.0,4.0,,,0 days 00:00:28.201000,0 days 00:00:29.511000,0 days 00:00:28.557000,0 days 00:37:10.414000,0 days 00:37:39.925000,0 days 00:38:08.482000,,311.0,306.0,319.0,False,SOFT,11.0,False,McLaren,0 days 00:36:42.213000,2021-09-11 10:21:42.224,1,,False,,False,True
0 days 00:39:34.934000,RIC,3,0 days 00:01:26.452000,11.0,4.0,,,0 days 00:00:28.324000,0 days 00:00:29.341000,0 days 00:00:28.787000,0 days 00:38:36.806000,0 days 00:39:06.147000,0 days 00:39:34.934000,306.0,311.0,306.0,321.0,False,SOFT,12.0,False,McLaren,0 days 00:38:08.482000,2021-09-11 10:23:08.493,1,,False,,False,True
0 days 00:41:01.015000,RIC,3,0 days 00:01:26.081000,12.0,4.0,,,0 days 00:00:28.550000,0 days 00:00:29.179000,0 days 00:00:28.352000,0 days 00:40:03.484000,0 days 00:40:32.663000,0 days 00:41:01.015000,304.0,307.0,307.0,314.0,False,SOFT,13.0,False,McLaren,0 days 00:39:34.934000,2021-09-11 10:24:34.945,1,,False,,False,True
0 days 00:55:10.859000,RIC,3,,13.0,4.0,,0 days 00:42:48.975000,0 days 00:00:28.308000,,,0 days 00:41:29.358000,,,307.0,,,316.0,False,SOFT,14.0,False,McLaren,0 days 00:41:01.015000,2021-09-11 10:26:01.026,125,,False,,False,False
0 days 00:57:03.587000,RIC,3,,14.0,5.0,0 days 00:55:10.859000,0 days 00:56:59.782000,,0 days 00:00:32.712000,0 days 00:00:36.579000,,0 days 00:56:27.008000,0 days 00:57:03.719000,297.0,300.0,,260.0,False,MEDIUM,10.0,False,McLaren,0 days 00:55:10.859000,2021-09-11 10:40:10.870,1,,False,,False,False
0 days 00:58:59.633000,RIC,3,0 days 00:01:56.046000,15.0,6.0,0 days 00:57:20.115000,,0 days 00:00:58.042000,0 days 00:00:29.462000,0 days 00:00:28.542000,0 days 00:58:01.629000,0 days 00:58:31.091000,0 days 00:58:59.633000,313.0,320.0,317.0,274.0,False,MEDIUM,11.0,False,McLaren,0 days 00:57:03.587000,2021-09-11 10:42:03.598,1,,False,,False,False
0 days 01:00:24.407000,RIC,3,0 days 00:01:24.774000,16.0,6.0,,,0 days 00:00:27.877000,0 days 00:00:28.798000,0 days 00:00:28.099000,0 days 00:59:27.510000,0 days 00:59:56.308000,0 days 01:00:24.407000,307.0,309.0,311.0,329.0,True,MEDIUM,12.0,False,McLaren,0 days 00:58:59.633000,2021-09-11 10:43:59.644,1,,False,,False,True
0 days 01:01:49.298000,RIC,3,0 days 00:01:24.891000,17.0,6.0,,,0 days 00:00:28.013000,0 days 00:00:28.705000,0 days 00:00:28.173000,0 days 01:00:52.420000,0 days 01:01:21.125000,0 days 01:01:49.298000,315.0,311.0,309.0,320.0,False,MEDIUM,13.0,False,McLaren,0 days 01:00:24.407000,2021-09-11 10:45:24.418,1,,False,,False,True
0 days 01:03:14.117000,RIC,3,0 days 00:01:24.819000,18.0,6.0,,,0 days 00:00:28.052000,0 days 00:00:28.671000,0 days 00:00:28.096000,0 days 01:02:17.350000,0 days 01:02:46.021000,0 days 01:03:14.117000,312.0,311.0,309.0,319.0,False,MEDIUM,14.0,False,McLaren,0 days 01:01:49.298000,2021-09-11 10:46:49.309,1,,False,,False,True
0 days 01:04:39.031000,RIC,3,0 days 00:01:24.914000,19.0,6.0,,,0 days 00:00:27.976000,0 days 00:00:28.842000,0 days 00:00:28.096000,0 days 01:03:42.093000,0 days 01:04:10.935000,0 days 01:04:39.031000,,315.0,309.0,316.0,False,MEDIUM,15.0,False,McLaren,0 days 01:03:14.117000,2021-09-11 10:48:14.128,1,,False,,False,True
0 days 01:06:04.308000,RIC,3,0 days 00:01:25.277000,20.0,6.0,,,0 days 00:00:28.129000,0 days 00:00:28.825000,0 days 00:00:28.323000,0 days 01:05:07.160000,0 days 01:05:35.985000,0 days 01:06:04.308000,303.0,309.0,307.0,,False,MEDIUM,16.0,False,McLaren,0 days 01:04:39.031000,2021-09-11 10:49:39.042,1,,False,,False,True
0 days 01:07:29.460000,RIC,3,0 days 00:01:25.152000,21.0,6.0,,,0 days 00:00:28.210000,0 days 00:00:28.754000,0 days 00:00:28.188000,0 days 01:06:32.518000,0 days 01:07:01.272000,0 days 01:07:29.460000,312.0,311.0,307.0,314.0,False,MEDIUM,17.0,False,McLaren,0 days 01:06:04.308000,2021-09-11 10:51:04.319,1,,False,,False,True
0 days 01:08:54.393000,RIC,3,0 days 00:01:24.933000,22.0,6.0,,,0 days 00:00:28.146000,0 days 00:00:28.703000,0 days 00:00:28.084000,0 days 01:07:57.606000,0 days 01:08:26.309000,0 days 01:08:54.393000,308.0,310.0,307.0,315.0,False,MEDIUM,18.0,False,McLaren,0 days 01:07:29.460000,2021-09-11 10:52:29.471,1,,False,,False,True
0 days 01:10:24.412000,RIC,3,0 days 00:01:30.019000,23.0,6.0,,0 days 01:10:20.722000,0 days 00:00:28.160000,0 days 00:00:28.807000,0 days 00:00:33.052000,0 days 01:09:22.553000,0 days 01:09:51.360000,0 days 01:10:24.412000,309.0,316.0,,312.0,False,MEDIUM,19.0,False,McLaren,0 days 01:08:54.393000,2021-09-11 10:53:54.404,1,,False,,False,False
0 days 01:12:26.719000,RIC,3,0 days 00:02:02.307000,24.0,7.0,0 days 01:10:45.063000,0 days 01:12:24.874000,0 days 00:00:50.076000,0 days 00:00:34.598000,0 days 00:00:37.633000,0 days 01:11:14.488000,0 days 01:11:49.086000,0 days 01:12:26.719000,302.0,230.0,,259.0,False,SOFT,15.0,False,McLaren,0 days 01:10:24.412000,2021-09-11 10:55:24.423,1,,False,,False,False
0 days 00:18:32.358000,NOR,4,,1.0,1.0,0 days 00:16:30.182000,0 days 00:18:28.641000,,0 days 00:00:36.505000,0 days 00:00:36.735000,,0 days 00:17:55.714000,0 days 00:18:32.488000,295.0,166.0,,258.0,False,MEDIUM,9.0,False,McLaren,0 days 00:16:30.182000,2021-09-11 10:01:30.193,1,,False,,False,False
0 days 00:20:36.905000,NOR,4,0 days 00:02:04.547000,2.0,2.0,0 days 00:18:54.516000,,0 days 00:01:06.226000,0 days 00:00:29.545000,0 days 00:00:28.776000,0 days 00:19:38.584000,0 days 00:20:08.129000,0 days 00:20:36.905000,308.0,300.0,300.0,268.0,False,SOFT,4.0,False,McLaren,0 days 00:18:32.358000,2021-09-11 10:03:32.369,1,,False,,False,False
0 days 00:22:03.294000,NOR,4,0 days 00:01:26.389000,3.0,2.0,,,0 days 00:00:28.548000,0 days 00:00:29.263000,0 days 00:00:28.578000,0 days 00:21:05.453000,0 days 00:21:34.716000,0 days 00:22:03.294000,298.0,300.0,302.0,,True,SOFT,5.0,False,McLaren,0 days 00:20:36.905000,2021-09-11 10:05:36.916,1,,False,,False,True
0 days 00:23:29.282000,NOR,4,0 days 00:01:25.988000,4.0,2.0,,,0 days 00:00:28.432000,0 days 00:00:29.085000,0 days 00:00:28.471000,0 days 00:22:31.726000,0 days 00:23:00.811000,0 days 00:23:29.282000,301.0,303.0,302.0,310.0,True,SOFT,6.0,False,McLaren,0 days 00:22:03.294000,2021-09-11 10:07:03.305,1,,False,,False,True
0 days 00:24:55.328000,NOR,4,0 days 00:01:26.046000,5.0,2.0,,,0 days 00:00:28.452000,0 days 00:00:29.143000,0 days 00:00:28.451000,0 days 00:23:57.734000,0 days 00:24:26.877000,0 days 00:24:55.328000,,302.0,302.0,308.0,False,SOFT,7.0,False,McLaren,0 days 00:23:29.282000,2021-09-11 10:08:29.293,1,,False,,False,True
0 days 00:26:21.613000,NOR,4,0 days 00:01:26.285000,6.0,2.0,,,0 days 00:00:28.751000,0 days 00:00:29.122000,0 days 00:00:28.412000,0 days 00:25:24.079000,0 days 00:25:53.201000,0 days 00:26:21.613000,,302.0,304.0,307.0,False,SOFT,8.0,False,McLaren,0 days 00:24:55.328000,2021-09-11 10:09:55.339,1,,False,,False,True
0 days 00:27:48.631000,NOR,4,0 days 00:01:27.018000,7.0,2.0,,,0 days 00:00:28.355000,0 days 00:00:30.086000,0 days 00:00:28.577000,0 days 00:26:49.968000,0 days 00:27:20.054000,0 days 00:27:48.631000,308.0,301.0,306.0,325.0,False,SOFT,9.0,False,McLaren,0 days 00:26:21.613000,2021-09-11 10:11:21.624,1,,False,,False,True
0 days 00:29:16.361000,NOR,4,0 days 00:01:27.730000,8.0,2.0,,,0 days 00:00:28.593000,0 days 00:00:30.579000,0 days 00:00:28.558000,0 days 00:28:17.224000,0 days 00:28:47.803000,0 days 00:29:16.361000,329.0,308.0,307.0,,False,SOFT,10.0,False,McLaren,0 days 00:27:48.631000,2021-09-11 10:12:48.642,1,,False,,False,True
0 days 00:30:42.609000,NOR,4,0 days 00:01:26.248000,9.0,2.0,,,0 days 00:00:28.443000,0 days 00:00:29.327000,0 days 00:00:28.478000,0 days 00:29:44.804000,0 days 00:30:14.131000,0 days 00:30:42.609000,306.0,306.0,306.0,313.0,False,SOFT,11.0,False,McLaren,0 days 00:29:16.361000,2021-09-11 10:14:16.372,1,,False,,False,True
0 days 00:32:08.934000,NOR,4,0 days 00:01:26.325000,10.0,2.0,,,0 days 00:00:28.511000,0 days 00:00:29.337000,0 days 00:00:28.477000,0 days 00:31:11.120000,0 days 00:31:40.457000,0 days 00:32:08.934000,302.0,305.0,306.0,,False,SOFT,12.0,False,McLaren,0 days 00:30:42.609000,2021-09-11 10:15:42.620,1,,False,,False,True
0 days 00:33:35.336000,NOR,4,0 days 00:01:26.402000,11.0,2.0,,,0 days 00:00:28.643000,0 days 00:00:29.213000,0 days 00:00:28.546000,0 days 00:32:37.577000,0 days 00:33:06.790000,0 days 00:33:35.336000,300.0,304.0,304.0,311.0,False,SOFT,13.0,False,McLaren,0 days 00:32:08.934000,2021-09-11 10:17:08.945,1,,False,,False,True
0 days 00:35:01.739000,NOR,4,0 days 00:01:26.403000,12.0,2.0,,,0 days 00:00:28.665000,0 days 00:00:29.193000,0 days 00:00:28.545000,0 days 00:34:04.001000,0 days 00:34:33.194000,0 days 00:35:01.739000,302.0,306.0,302.0,308.0,False,SOFT,14.0,False,McLaren,0 days 00:33:35.336000,2021-09-11 10:18:35.347,1,,False,,False,True
0 days 00:36:35.377000,NOR,4,0 days 00:01:33.638000,13.0,2.0,,0 days 00:36:31.665000,0 days 00:00:28.648000,0 days 00:00:29.187000,0 days 00:00:35.803000,0 days 00:35:30.387000,0 days 00:35:59.574000,0 days 00:36:35.377000,301.0,305.0,,,False,SOFT,15.0,False,McLaren,0 days 00:35:01.739000,2021-09-11 10:20:01.750,1,,False,,False,False
0 days 00:58:25.181000,NOR,4,,14.0,3.0,0 days 00:56:25.493000,0 days 00:58:21.465000,,0 days 00:00:30.580000,0 days 00:00:36.318000,,0 days 00:57:49.461000,0 days 00:58:25.402000,298.0,236.0,,275.0,False,SOFT,16.0,False,McLaren,0 days 00:56:25.493000,2021-09-11 10:41:25.504,1,,False,,False,False
0 days 01:00:28.541000,NOR,4,0 days 00:02:03.360000,15.0,4.0,0 days 00:58:48.213000,,0 days 00:01:06.081000,0 days 00:00:29.211000,0 days 00:00:28.068000,0 days 00:59:31.262000,0 days 01:00:00.473000,0 days 01:00:28.541000,315.0,317.0,315.0,274.0,False,MEDIUM,10.0,False,McLaren,0 days 00:58:25.181000,2021-09-11 10:43:25.192,1,,False,,False,False
0 days 01:01:54.039000,NOR,4,0 days 00:01:25.498000,16.0,4.0,,,0 days 00:00:28.276000,0 days 00:00:29.188000,0 days 00:00:28.034000,0 days 01:00:56.817000,0 days 01:01:26.005000,0 days 01:01:54.039000,309.0,310.0,310.0,344.0,False,MEDIUM,11.0,False,McLaren,0 days 01:00:28.541000,2021-09-11 10:45:28.552,1,,True,TRACK LIMITS AT TURN 11,False,True
0 days 01:03:20.122000,NOR,4,0 days 00:01:26.083000,17.0,4.0,,,0 days 00:00:28.019000,0 days 00:00:30.208000,0 days 00:00:27.856000,0 days 01:02:22.058000,0 days 01:02:52.266000,0 days 01:03:20.122000,310.0,310.0,311.0,316.0,False,MEDIUM,12.0,False,McLaren,0 days 01:01:54.039000,2021-09-11 10:46:54.050,1,,True,TRACK LIMITS AT TURN 11,False,True
0 days 01:04:44.787000,NOR,4,0 days 00:01:24.665000,18.0,4.0,,,0 days 00:00:28.248000,0 days 00:00:28.601000,0 days 00:00:27.816000,0 days 01:03:48.370000,0 days 01:04:16.971000,0 days 01:04:44.787000,313.0,313.0,312.0,314.0,True,MEDIUM,13.0,False,McLaren,0 days 01:03:20.122000,2021-09-11 10:48:20.133,1,,False,,False,True
0 days 01:06:09.570000,NOR,4,0 days 00:01:24.783000,19.0,4.0,,,0 days 00:00:28.090000,0 days 00:00:28.833000,0 days 00:00:27.860000,0 days 01:05:12.877000,0 days 01:05:41.710000,0 days 01:06:09.570000,308.0,310.0,312.0,318.0,False,MEDIUM,14.0,False,McLaren,0 days 01:04:44.787000,2021-09-11 10:49:44.798,1,,False,,False,True
