Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:28:16.628000,RIC,3,,1.0,1.0,0 days 00:26:45.846000,,,0 days 00:00:35.941000,0 days 00:00:28.754000,,0 days 00:27:47.927000,0 days 00:28:16.789000,250.0,169.0,270.0,,False,SOFT,1.0,True,McLaren,0 days 00:26:45.846000,2021-05-01 11:13:05.526,1,,False,,False,False
0 days 00:29:42.653000,RIC,3,0 days 00:01:26.025000,2.0,1.0,,,0 days 00:00:25.516000,0 days 00:00:33.279000,0 days 00:00:27.230000,0 days 00:28:42.144000,0 days 00:29:15.423000,0 days 00:29:42.653000,271.0,178.0,287.0,296.0,True,SOFT,2.0,True,McLaren,0 days 00:28:16.628000,2021-05-01 11:14:36.308,1,,False,,False,True
0 days 00:31:03.181000,RIC,3,0 days 00:01:20.528000,3.0,1.0,,,0 days 00:00:23.224000,0 days 00:00:31.247000,0 days 00:00:26.057000,0 days 00:30:05.877000,0 days 00:30:37.124000,0 days 00:31:03.181000,284.0,192.0,287.0,310.0,True,SOFT,3.0,True,McLaren,0 days 00:29:42.653000,2021-05-01 11:16:02.333,1,,False,,False,True
0 days 00:32:46.652000,RIC,3,0 days 00:01:43.471000,4.0,1.0,,,0 days 00:00:31.514000,0 days 00:00:44.037000,0 days 00:00:27.920000,0 days 00:31:34.695000,0 days 00:32:18.732000,0 days 00:32:46.652000,175.0,153.0,286.0,291.0,False,SOFT,4.0,True,McLaren,0 days 00:31:03.181000,2021-05-01 11:17:22.861,1,,False,,False,True
0 days 00:34:07.159000,RIC,3,0 days 00:01:20.507000,5.0,1.0,,,0 days 00:00:23.322000,0 days 00:00:31.043000,0 days 00:00:26.142000,0 days 00:33:09.974000,0 days 00:33:41.017000,0 days 00:34:07.159000,285.0,192.0,288.0,310.0,True,SOFT,5.0,True,McLaren,0 days 00:32:46.652000,2021-05-01 11:19:06.332,1,,False,,False,True
0 days 00:35:43.072000,RIC,3,0 days 00:01:35.913000,6.0,1.0,,,0 days 00:00:28.057000,0 days 00:00:40.166000,0 days 00:00:27.690000,0 days 00:34:35.216000,0 days 00:35:15.382000,0 days 00:35:43.072000,246.0,159.0,288.0,293.0,False,SOFT,6.0,True,McLaren,0 days 00:34:07.159000,2021-05-01 11:20:26.839,1,,False,,False,True
0 days 00:37:03.001000,RIC,3,0 days 00:01:19.929000,7.0,1.0,,,0 days 00:00:23.119000,0 days 00:00:30.793000,0 days 00:00:26.017000,0 days 00:36:06.191000,0 days 00:36:36.984000,0 days 00:37:03.001000,284.0,194.0,291.0,312.0,True,SOFT,7.0,True,McLaren,0 days 00:35:43.072000,2021-05-01 11:22:02.752,1,,False,,False,True
0 days 00:38:38.820000,RIC,3,0 days 00:01:35.819000,8.0,1.0,,0 days 00:38:38.702000,0 days 00:00:27.701000,0 days 00:00:35.238000,0 days 00:00:32.880000,0 days 00:37:30.702000,0 days 00:38:05.940000,0 days 00:38:38.820000,266.0,165.0,,180.0,False,SOFT,8.0,True,McLaren,0 days 00:37:03.001000,2021-05-01 11:23:22.681,1,,False,,False,False
0 days 00:40:46.815000,RIC,3,0 days 00:02:07.995000,9.0,2.0,0 days 00:39:06.380000,0 days 00:40:43.871000,0 days 00:00:56.865000,0 days 00:00:37.925000,0 days 00:00:33.205000,0 days 00:39:35.685000,0 days 00:40:13.610000,0 days 00:40:46.815000,251.0,159.0,,,False,SOFT,9.0,False,McLaren,0 days 00:38:38.820000,2021-05-01 11:24:58.500,167,,False,,False,False
0 days 00:52:51.474000,RIC,3,,10.0,3.0,0 days 00:51:19.877000,,,0 days 00:00:38.678000,0 days 00:00:28.099000,,0 days 00:52:23.451000,0 days 00:52:52.806000,264.0,172.0,271.0,,False,SOFT,1.0,True,McLaren,0 days 00:40:46.815000,2021-05-01 11:27:06.495,12,,False,,False,False
0 days 00:54:17.282000,RIC,3,0 days 00:01:25.808000,11.0,3.0,,,0 days 00:00:26.065000,0 days 00:00:33.011000,0 days 00:00:26.732000,0 days 00:53:17.539000,0 days 00:53:50.550000,0 days 00:54:17.282000,267.0,184.0,288.0,273.0,False,SOFT,2.0,True,McLaren,0 days 00:52:51.474000,2021-05-01 11:39:11.154,1,,False,,False,True
0 days 00:55:36.864000,RIC,3,0 days 00:01:19.582000,12.0,3.0,,,0 days 00:00:22.987000,0 days 00:00:30.593000,0 days 00:00:26.002000,0 days 00:54:40.269000,0 days 00:55:10.862000,0 days 00:55:36.864000,285.0,189.0,290.0,310.0,True,SOFT,3.0,True,McLaren,0 days 00:54:17.282000,2021-05-01 11:40:36.962,1,,False,,False,True
