Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:20:14.748000,BOT,77,,1.0,1.0,0 days 00:18:47.514000,,,0 days 00:00:33.384000,0 days 00:00:29.446000,,0 days 00:19:45.324000,0 days 00:20:15.037000,261.0,178.0,294.0,,False,SOFT,1.0,True,Mercedes,0 days 00:18:47.514000,2021-05-01 14:03:48.377,1,,False,,False,False
0 days 00:21:34.236000,BOT,77,0 days 00:01:19.488000,2.0,1.0,,,0 days 00:00:22.795000,0 days 00:00:30.439000,0 days 00:00:26.254000,0 days 00:20:37.543000,0 days 00:21:07.982000,0 days 00:21:34.236000,288.0,174.0,296.0,310.0,True,SOFT,2.0,True,Mercedes,0 days 00:20:14.748000,2021-05-01 14:05:15.611,1,,False,,False,True
0 days 00:23:13.778000,BOT,77,0 days 00:01:39.542000,3.0,1.0,,,0 days 00:00:30.627000,0 days 00:00:41.947000,0 days 00:00:26.968000,0 days 00:22:04.863000,0 days 00:22:46.810000,0 days 00:23:13.778000,188.0,181.0,294.0,287.0,False,SOFT,3.0,True,Mercedes,0 days 00:21:34.236000,2021-05-01 14:06:35.099,1,,False,,False,True
0 days 00:24:32.983000,BOT,77,0 days 00:01:19.205000,4.0,1.0,,,0 days 00:00:22.870000,0 days 00:00:30.288000,0 days 00:00:26.047000,0 days 00:23:36.648000,0 days 00:24:06.936000,0 days 00:24:32.983000,288.0,185.0,295.0,311.0,True,SOFT,4.0,True,Mercedes,0 days 00:23:13.778000,2021-05-01 14:08:14.641,1,,False,,False,True
0 days 00:26:12.503000,BOT,77,0 days 00:01:39.520000,5.0,1.0,,0 days 00:26:09,0 days 00:00:26.258000,0 days 00:00:35.710000,0 days 00:00:37.552000,0 days 00:24:59.241000,0 days 00:25:34.951000,0 days 00:26:12.503000,255.0,170.0,,288.0,False,SOFT,5.0,True,Mercedes,0 days 00:24:32.983000,2021-05-01 14:09:33.846,12,,False,,False,False
0 days 00:31:46.667000,BOT,77,,6.0,2.0,0 days 00:30:11.721000,,,0 days 00:00:37.048000,0 days 00:00:29.900000,,0 days 00:31:16.867000,0 days 00:31:46.939000,78.0,165.0,294.0,,False,SOFT,6.0,False,Mercedes,0 days 00:26:12.503000,2021-05-01 14:11:13.366,12,,False,,False,False
0 days 00:33:05.389000,BOT,77,0 days 00:01:18.722000,7.0,2.0,,,0 days 00:00:22.719000,0 days 00:00:29.985000,0 days 00:00:26.018000,0 days 00:32:09.386000,0 days 00:32:39.371000,0 days 00:33:05.389000,286.0,194.0,299.0,308.0,True,SOFT,7.0,False,Mercedes,0 days 00:31:46.667000,2021-05-01 14:16:47.530,1,,False,,False,True
0 days 00:34:47.275000,BOT,77,0 days 00:01:41.886000,8.0,2.0,,0 days 00:34:44.291000,0 days 00:00:27.118000,0 days 00:00:38.152000,0 days 00:00:36.616000,0 days 00:33:32.507000,0 days 00:34:10.659000,0 days 00:34:47.275000,259.0,157.0,,248.0,False,SOFT,8.0,False,Mercedes,0 days 00:33:05.389000,2021-05-01 14:18:06.252,1,,False,,False,False
0 days 00:41:47.307000,BOT,77,,9.0,3.0,0 days 00:40:18.111000,,,0 days 00:00:35.205000,0 days 00:00:27.294000,,0 days 00:41:20.044000,0 days 00:41:47.365000,270.0,172.0,288.0,,False,MEDIUM,1.0,True,Mercedes,0 days 00:34:47.275000,2021-05-01 14:19:48.138,1,,False,,False,False
0 days 00:43:11.076000,BOT,77,0 days 00:01:23.769000,10.0,3.0,,,0 days 00:00:24.345000,0 days 00:00:32.608000,0 days 00:00:26.816000,0 days 00:42:11.652000,0 days 00:42:44.260000,0 days 00:43:11.076000,277.0,180.0,295.0,310.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:41:47.307000,2021-05-01 14:26:48.170,1,,False,,False,True
