Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:29:43.272000,VER,33,,1.0,1.0,0 days 00:27:17.006000,,,0 days 00:00:52.229000,0 days 00:01:03.948000,,0 days 00:28:39.539000,0 days 00:29:43.448000,137.0,147.0,205.0,238.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:27:17.006000,2021-10-22 16:42:17.016,1,,False,,False,False
0 days 00:31:20.609000,VER,33,0 days 00:01:37.337000,2.0,1.0,,,0 days 00:00:26.223000,0 days 00:00:39.036000,0 days 00:00:32.078000,0 days 00:30:09.495000,0 days 00:30:48.531000,0 days 00:31:20.609000,231.0,187.0,206.0,307.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:29:43.272000,2021-10-22 16:44:43.282,1,,False,,False,True
0 days 00:33:52.167000,VER,33,,3.0,1.0,,,0 days 00:00:38.784000,0 days 00:00:57.124000,0 days 00:00:55.619000,0 days 00:31:59.438000,0 days 00:32:56.686000,0 days 00:33:52.344000,135.0,71.0,211.0,232.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:31:20.609000,2021-10-22 16:46:20.619,12,,False,,False,False
0 days 00:35:29.199000,VER,33,0 days 00:01:37.032000,4.0,1.0,,,0 days 00:00:25.965000,0 days 00:00:38.978000,0 days 00:00:32.089000,0 days 00:34:18.132000,0 days 00:34:57.110000,0 days 00:35:29.199000,230.0,187.0,205.0,313.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:33:52.167000,2021-10-22 16:48:52.177,1,,False,,False,True
0 days 00:37:24.139000,VER,33,0 days 00:01:54.940000,5.0,1.0,,0 days 00:37:23.193000,0 days 00:00:33.819000,0 days 00:00:46.141000,0 days 00:00:34.980000,0 days 00:36:03.018000,0 days 00:36:49.159000,0 days 00:37:24.139000,168.0,169.0,,282.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:35:29.199000,2021-10-22 16:50:29.209,1,,False,,False,False
0 days 00:50:01.337000,VER,33,,6.0,2.0,0 days 00:47:53.856000,,,0 days 00:00:49.206000,0 days 00:00:39.605000,,0 days 00:49:21.732000,0 days 00:50:01.531000,135.0,153.0,210.0,250.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:37:24.139000,2021-10-22 16:52:24.149,1,,False,,False,False
0 days 00:51:37.386000,VER,33,0 days 00:01:36.049000,7.0,2.0,,,0 days 00:00:25.683000,0 days 00:00:38.406000,0 days 00:00:31.960000,0 days 00:50:27.020000,0 days 00:51:05.426000,0 days 00:51:37.386000,229.0,188.0,206.0,312.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:50:01.337000,2021-10-22 17:05:01.347,1,,False,,False,True
0 days 00:54:08.106000,VER,33,,8.0,2.0,,,0 days 00:00:39.974000,0 days 00:00:58.895000,0 days 00:00:51.771000,0 days 00:52:18.926000,0 days 00:53:16.335000,0 days 00:54:09.124000,127.0,120.0,124.0,185.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:51:37.386000,2021-10-22 17:06:37.396,1,,False,,False,False
0 days 00:56:48.190000,VER,33,,9.0,2.0,,,0 days 00:00:48.459000,0 days 00:01:00.074000,0 days 00:00:51.602000,0 days 00:54:56.563000,0 days 00:55:56.588000,0 days 00:56:48.841000,138.0,86.0,210.0,271.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:54:08.106000,2021-10-22 17:09:08.116,12,,False,,False,False
0 days 00:58:23.996000,VER,33,0 days 00:01:35.806000,10.0,2.0,,,0 days 00:00:25.753000,0 days 00:00:38.433000,0 days 00:00:31.620000,0 days 00:57:13.943000,0 days 00:57:52.376000,0 days 00:58:23.996000,230.0,189.0,207.0,312.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:56:48.190000,2021-10-22 17:11:48.200,1,,False,,False,True
