Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:22:01.433000,VER,33,,1.0,1.0,0 days 00:20:20.866000,,,0 days 00:00:37.924000,0 days 00:00:31.397000,,0 days 00:21:30.063000,0 days 00:22:02.082000,268.0,196.0,256.0,,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:20:20.866000,2021-07-30 13:05:20.874,1,,False,,False,False
0 days 00:23:20.014000,VER,33,0 days 00:01:18.581000,2.0,1.0,,,0 days 00:00:28.523000,0 days 00:00:27.805000,0 days 00:00:22.253000,0 days 00:22:29.956000,0 days 00:22:57.761000,0 days 00:23:20.014000,277.0,243.0,251.0,294.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:22:01.433000,2021-07-30 13:07:01.441,1,,False,,False,True
0 days 00:25:17.406000,VER,33,0 days 00:01:57.392000,3.0,1.0,,,0 days 00:00:43.661000,0 days 00:00:45.814000,0 days 00:00:27.917000,0 days 00:24:03.675000,0 days 00:24:49.489000,0 days 00:25:17.406000,185.0,125.0,257.0,251.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:23:20.014000,2021-07-30 13:08:20.022,1,,False,,False,True
0 days 00:26:35.828000,VER,33,0 days 00:01:18.422000,4.0,1.0,,,0 days 00:00:28.421000,0 days 00:00:27.775000,0 days 00:00:22.226000,0 days 00:25:45.827000,0 days 00:26:13.602000,0 days 00:26:35.828000,276.0,243.0,253.0,298.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:25:17.406000,2021-07-30 13:10:17.414,1,,False,,False,True
0 days 00:28:40.457000,VER,33,0 days 00:02:04.629000,5.0,1.0,,,0 days 00:00:40.598000,0 days 00:00:47.207000,0 days 00:00:36.824000,0 days 00:27:16.426000,0 days 00:28:03.633000,0 days 00:28:40.457000,155.0,199.0,253.0,282.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:26:35.828000,2021-07-30 13:11:35.836,1,,False,,False,True
0 days 00:30:28.773000,VER,33,0 days 00:01:48.316000,6.0,1.0,,,0 days 00:00:36.915000,0 days 00:00:40.525000,0 days 00:00:30.876000,0 days 00:29:17.372000,0 days 00:29:57.897000,0 days 00:30:28.773000,200.0,184.0,255.0,296.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:28:40.457000,2021-07-30 13:13:40.465,1,,False,,False,True
0 days 00:31:47.126000,VER,33,0 days 00:01:18.353000,7.0,1.0,,,0 days 00:00:28.431000,0 days 00:00:27.801000,0 days 00:00:22.121000,0 days 00:30:57.204000,0 days 00:31:25.005000,0 days 00:31:47.126000,276.0,243.0,251.0,295.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 00:30:28.773000,2021-07-30 13:15:28.781,1,,False,,False,True
0 days 00:33:16.689000,VER,33,0 days 00:01:29.563000,8.0,1.0,,0 days 00:33:15.030000,0 days 00:00:31.489000,0 days 00:00:31.530000,0 days 00:00:26.544000,0 days 00:32:18.615000,0 days 00:32:50.145000,0 days 00:33:16.689000,228.0,227.0,,279.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:31:47.126000,2021-07-30 13:16:47.134,1,,False,,False,False
0 days 00:44:37.678000,VER,33,,9.0,2.0,0 days 00:42:57.087000,,,0 days 00:00:39.757000,0 days 00:00:25.643000,,0 days 00:44:12.125000,0 days 00:44:41.630000,213.0,184.0,258.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:33:16.689000,2021-07-30 13:18:16.697,1,,False,,False,False
0 days 00:45:54.988000,VER,33,0 days 00:01:17.310000,10.0,2.0,,,0 days 00:00:28.164000,0 days 00:00:27.352000,0 days 00:00:21.794000,0 days 00:45:05.842000,0 days 00:45:33.194000,0 days 00:45:54.988000,275.0,247.0,253.0,294.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:44:37.678000,2021-07-30 13:29:37.686,1,,False,,False,True
