Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:21:25.686000,VER,33,,1.0,1.0,0 days 00:19:26.159000,,,0 days 00:00:54.614000,0 days 00:00:33.128000,,0 days 00:20:52.678000,0 days 00:21:25.968000,269.0,99.0,260.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:19:26.159000,2021-07-31 13:04:27.834,1,,False,,False,False
0 days 00:22:41.900000,VER,33,0 days 00:01:16.214000,2.0,1.0,,,0 days 00:00:27.600000,0 days 00:00:27.066000,0 days 00:00:21.548000,0 days 00:21:53.286000,0 days 00:22:20.352000,0 days 00:22:41.900000,281.0,251.0,258.0,299.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:21:25.686000,2021-07-31 13:06:27.361,1,,False,,False,True
0 days 00:24:31.781000,VER,33,0 days 00:01:49.881000,3.0,1.0,,0 days 00:24:29.322000,0 days 00:00:34.763000,0 days 00:00:36.606000,0 days 00:00:38.512000,0 days 00:23:16.663000,0 days 00:23:53.269000,0 days 00:24:31.781000,208.0,169.0,,212.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:22:41.900000,2021-07-31 13:07:43.575,1,,False,,False,False
0 days 00:43:12.248000,VER,33,,4.0,2.0,0 days 00:41:25.961000,,,0 days 00:00:43.072000,0 days 00:00:27.570000,,0 days 00:42:44.753000,0 days 00:43:12.308000,238.0,159.0,260.0,,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:24:31.781000,2021-07-31 13:09:33.456,1,,False,,False,False
0 days 00:44:29.017000,VER,33,0 days 00:01:16.769000,5.0,2.0,,,0 days 00:00:27.822000,0 days 00:00:27.320000,0 days 00:00:21.627000,0 days 00:43:40.070000,0 days 00:44:07.390000,0 days 00:44:29.017000,280.0,251.0,261.0,300.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:43:12.248000,2021-07-31 13:28:13.923,1,,False,,False,True
0 days 00:46:30.295000,VER,33,0 days 00:02:01.278000,6.0,2.0,,,0 days 00:00:44.777000,0 days 00:00:47.677000,0 days 00:00:28.824000,0 days 00:45:13.794000,0 days 00:46:01.471000,0 days 00:46:30.295000,147.0,179.0,261.0,245.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:44:29.017000,2021-07-31 13:29:30.692,1,,False,,False,True
0 days 00:47:47.174000,VER,33,0 days 00:01:16.879000,7.0,2.0,,,0 days 00:00:27.800000,0 days 00:00:27.467000,0 days 00:00:21.612000,0 days 00:46:58.095000,0 days 00:47:25.562000,0 days 00:47:47.174000,281.0,251.0,258.0,298.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:46:30.295000,2021-07-31 13:31:31.970,1,,False,,False,True
0 days 00:59:09.467000,VER,33,,8.0,2.0,,0 days 00:49:35.560000,,,,,,,,,,272.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:47:47.174000,2021-07-31 13:32:48.849,125,,False,,False,False
0 days 01:01:12.356000,VER,33,,9.0,3.0,0 days 00:59:09.387000,,,0 days 00:00:49.688000,0 days 00:00:35.677000,,0 days 01:00:36.735000,0 days 01:01:12.380000,212.0,128.0,262.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:59:09.387000,2021-07-31 13:44:11.062,1,,False,,False,False
0 days 01:02:28.006000,VER,33,0 days 00:01:15.650000,10.0,3.0,,,0 days 00:00:27.430000,0 days 00:00:26.825000,0 days 00:00:21.395000,0 days 01:01:39.786000,0 days 01:02:06.611000,0 days 01:02:28.006000,280.0,253.0,260.0,302.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:01:12.356000,2021-07-31 13:46:14.031,1,,False,,False,True
0 days 01:04:11.440000,VER,33,0 days 00:01:43.434000,11.0,3.0,,0 days 01:04:09.668000,0 days 00:00:37.812000,0 days 00:00:35.753000,0 days 00:00:29.869000,0 days 01:03:05.818000,0 days 01:03:41.571000,0 days 01:04:11.440000,197.0,199.0,,210.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:02:28.006000,2021-07-31 13:47:29.681,1,,False,,False,False
0 days 01:14:39.605000,VER,33,,12.0,4.0,0 days 01:12:36.959000,,,0 days 00:00:48.226000,0 days 00:00:34.237000,,0 days 01:14:05.368000,0 days 01:14:39.644000,202.0,104.0,262.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 01:04:11.440000,2021-07-31 13:49:13.115,1,,False,,False,False
0 days 01:15:55.589000,VER,33,0 days 00:01:15.984000,13.0,4.0,,,0 days 00:00:27.441000,0 days 00:00:27.057000,0 days 00:00:21.486000,0 days 01:15:07.046000,0 days 01:15:34.103000,0 days 01:15:55.589000,281.0,253.0,261.0,303.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:39.605000,2021-07-31 13:59:41.280,1,,False,,False,True
0 days 01:17:31.079000,VER,33,0 days 00:01:35.490000,14.0,4.0,,0 days 01:17:29.296000,0 days 00:00:32.582000,0 days 00:00:34.040000,0 days 00:00:28.868000,0 days 01:16:28.171000,0 days 01:17:02.211000,0 days 01:17:31.079000,224.0,212.0,,275.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:15:55.589000,2021-07-31 14:00:57.264,1,,False,,False,False
0 days 01:22:56.861000,VER,33,,15.0,5.0,0 days 01:20:45.416000,,,0 days 00:00:47.514000,0 days 00:00:41.658000,,0 days 01:22:15.238000,0 days 01:22:56.886000,231.0,132.0,260.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 01:17:31.079000,2021-07-31 14:02:32.754,1,,False,,False,False
0 days 01:24:12.701000,VER,33,0 days 00:01:15.840000,16.0,5.0,,,0 days 00:00:27.505000,0 days 00:00:26.953000,0 days 00:00:21.382000,0 days 01:23:24.366000,0 days 01:23:51.319000,0 days 01:24:12.701000,282.0,256.0,260.0,303.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:22:56.861000,2021-07-31 14:07:58.536,1,,False,,False,True
0 days 01:26:06.844000,VER,33,,17.0,5.0,,0 days 01:26:06.844000,0 days 00:00:35.841000,0 days 00:00:33.982000,,0 days 01:24:48.526000,0 days 01:25:22.561000,,234.0,183.0,,215.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:24:12.701000,2021-07-31 14:09:14.376,1,,False,,False,False
