Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:28:51.967000,VER,33,,1.0,1.0,0 days 00:26:46.326000,,,0 days 00:00:44.238000,0 days 00:00:34.959000,,0 days 00:28:17.099000,0 days 00:28:52.087000,227.0,235.0,160.0,268.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:26:46.326000,2021-09-24 08:41:46.425,1,,False,,False,False
0 days 00:30:29.334000,VER,33,0 days 00:01:37.367000,2.0,1.0,,,0 days 00:00:35.833000,0 days 00:00:33.321000,0 days 00:00:28.213000,0 days 00:29:27.800000,0 days 00:30:01.121000,0 days 00:30:29.334000,258.0,311.0,164.0,298.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:28:51.967000,2021-09-24 08:43:52.066,1,,False,,False,True
0 days 00:32:45.705000,VER,33,0 days 00:02:16.371000,3.0,1.0,,,0 days 00:00:50.710000,0 days 00:00:50.267000,0 days 00:00:35.394000,0 days 00:31:20.044000,0 days 00:32:10.311000,0 days 00:32:45.705000,154.0,253.0,169.0,178.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:30:29.334000,2021-09-24 08:45:29.433,1,,False,,False,True
0 days 00:34:21.760000,VER,33,0 days 00:01:36.055000,4.0,1.0,,,0 days 00:00:35.228000,0 days 00:00:32.840000,0 days 00:00:27.987000,0 days 00:33:20.933000,0 days 00:33:53.773000,0 days 00:34:21.760000,262.0,316.0,164.0,301.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:32:45.705000,2021-09-24 08:47:45.804,1,,False,,False,True
0 days 00:36:23.750000,VER,33,0 days 00:02:01.990000,5.0,1.0,,0 days 00:36:15.742000,0 days 00:00:43.282000,0 days 00:00:41.211000,0 days 00:00:37.497000,0 days 00:35:05.042000,0 days 00:35:46.253000,0 days 00:36:23.750000,186.0,240.0,,237.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:34:21.760000,2021-09-24 08:49:21.859,1,,False,,False,False
0 days 00:39:01.536000,VER,33,,6.0,2.0,0 days 00:37:05.230000,,0 days 00:01:24.413000,0 days 00:00:40.732000,0 days 00:00:32.653000,0 days 00:37:48.160000,0 days 00:38:28.903000,0 days 00:39:01.675000,233.0,274.0,170.0,239.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:36:23.750000,2021-09-24 08:51:23.849,1,,False,,False,False
0 days 00:40:37.152000,VER,33,0 days 00:01:35.616000,7.0,2.0,,,0 days 00:00:35.098000,0 days 00:00:32.681000,0 days 00:00:27.837000,0 days 00:39:36.634000,0 days 00:40:09.315000,0 days 00:40:37.152000,263.0,315.0,165.0,303.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:39:01.536000,2021-09-24 08:54:01.635,1,,False,,False,True
0 days 00:42:30.263000,VER,33,0 days 00:01:53.111000,8.0,2.0,,0 days 00:42:23.299000,0 days 00:00:39.118000,0 days 00:00:38.552000,0 days 00:00:35.441000,0 days 00:41:16.270000,0 days 00:41:54.822000,0 days 00:42:30.263000,213.0,274.0,,255.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:40:37.152000,2021-09-24 08:55:37.251,1,,False,,False,False
0 days 00:58:38.010000,VER,33,,9.0,3.0,0 days 00:56:27.787000,,,0 days 00:00:45.897000,0 days 00:00:39.275000,,0 days 00:57:58.785000,0 days 00:58:39.716000,213.0,260.0,172.0,233.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:42:30.263000,2021-09-24 08:57:30.362,167,,False,,False,False
0 days 01:00:12.664000,VER,33,0 days 00:01:34.654000,10.0,3.0,,,0 days 00:00:34.747000,0 days 00:00:32.439000,0 days 00:00:27.468000,0 days 00:59:12.757000,0 days 00:59:45.196000,0 days 01:00:12.664000,265.0,318.0,167.0,307.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:58:38.010000,2021-09-24 09:13:38.109,1,,False,,False,True
0 days 01:02:38.691000,VER,33,0 days 00:02:26.027000,11.0,3.0,,,0 days 00:00:52.948000,0 days 00:00:51.199000,0 days 00:00:41.880000,0 days 01:01:05.612000,0 days 01:01:56.811000,0 days 01:02:38.691000,86.0,145.0,122.0,194.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:00:12.664000,2021-09-24 09:15:12.763,1,,False,,False,True
0 days 01:04:48.347000,VER,33,0 days 00:02:09.656000,12.0,3.0,,,0 days 00:00:47.121000,0 days 00:00:48.926000,0 days 00:00:33.609000,0 days 01:03:25.812000,0 days 01:04:14.738000,0 days 01:04:48.347000,192.0,201.0,171.0,220.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:02:38.691000,2021-09-24 09:17:38.790,1,,False,,False,True
0 days 01:06:36.352000,VER,33,0 days 00:01:48.005000,13.0,3.0,,0 days 01:06:28.383000,0 days 00:00:34.931000,0 days 00:00:32.459000,0 days 00:00:40.615000,0 days 01:05:23.278000,0 days 01:05:55.737000,0 days 01:06:36.352000,264.0,318.0,,307.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:04:48.347000,2021-09-24 09:19:48.446,1,,False,,False,False
