Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:37.083000,VER,33,0 days 00:01:54.968000,1.0,1.0,,,,0 days 00:00:38.679000,0 days 00:00:32.889000,,0 days 01:04:04.272000,0 days 01:04:37.224000,216.0,309.0,161.0,212.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:02:41.933000,2021-09-26 12:03:43.826,1,17.0,False,,False,False
0 days 01:06:22.473000,VER,33,0 days 00:01:45.390000,2.0,1.0,,,0 days 00:00:37.347000,0 days 00:00:36.882000,0 days 00:00:31.161000,0 days 01:05:14.430000,0 days 01:05:51.312000,0 days 01:06:22.473000,217.0,314.0,157.0,285.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:04:37.083000,2021-09-26 12:05:38.976,12,16.0,False,,False,True
0 days 01:08:06.437000,VER,33,0 days 00:01:43.964000,3.0,1.0,,,0 days 00:00:36.596000,0 days 00:00:35.848000,0 days 00:00:31.520000,0 days 01:06:59.069000,0 days 01:07:34.917000,0 days 01:08:06.437000,238.0,320.0,155.0,304.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:06:22.473000,2021-09-26 12:07:24.366,1,16.0,False,,False,True
0 days 01:09:48.251000,VER,33,0 days 00:01:41.814000,4.0,1.0,,,0 days 00:00:36.152000,0 days 00:00:35.470000,0 days 00:00:30.192000,0 days 01:08:42.589000,0 days 01:09:18.059000,0 days 01:09:48.251000,240.0,314.0,158.0,300.0,True,HARD,4.0,True,Red Bull Racing,0 days 01:08:06.437000,2021-09-26 12:09:08.330,1,15.0,False,,False,True
0 days 01:11:30.331000,VER,33,0 days 00:01:42.080000,5.0,1.0,,,0 days 00:00:36.066000,0 days 00:00:35.193000,0 days 00:00:30.821000,0 days 01:10:24.317000,0 days 01:10:59.510000,0 days 01:11:30.331000,242.0,322.0,157.0,309.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:09:48.251000,2021-09-26 12:10:50.144,1,15.0,False,,False,True
0 days 01:13:12.852000,VER,33,0 days 00:01:42.521000,6.0,1.0,,,0 days 00:00:36.061000,0 days 00:00:35.512000,0 days 00:00:30.948000,0 days 01:12:06.392000,0 days 01:12:41.904000,0 days 01:13:12.852000,238.0,339.0,157.0,306.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:11:30.331000,2021-09-26 12:12:32.224,1,14.0,False,,False,True
0 days 01:14:55.236000,VER,33,0 days 00:01:42.384000,7.0,1.0,,,0 days 00:00:35.856000,0 days 00:00:35.459000,0 days 00:00:31.069000,0 days 01:13:48.708000,0 days 01:14:24.167000,0 days 01:14:55.236000,240.0,323.0,158.0,307.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:13:12.852000,2021-09-26 12:14:14.745,1,14.0,False,,False,True
0 days 01:16:36.939000,VER,33,0 days 00:01:41.703000,8.0,1.0,,,0 days 00:00:36.159000,0 days 00:00:35.329000,0 days 00:00:30.215000,0 days 01:15:31.395000,0 days 01:16:06.724000,0 days 01:16:36.939000,245.0,320.0,161.0,310.0,True,HARD,8.0,True,Red Bull Racing,0 days 01:14:55.236000,2021-09-26 12:15:57.129,1,13.0,False,,False,True
0 days 01:18:18.891000,VER,33,0 days 00:01:41.952000,9.0,1.0,,,0 days 00:00:35.985000,0 days 00:00:35.161000,0 days 00:00:30.806000,0 days 01:17:12.924000,0 days 01:17:48.085000,0 days 01:18:18.891000,246.0,323.0,153.0,298.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:16:36.939000,2021-09-26 12:17:38.832,1,13.0,False,,False,True
0 days 01:20:01.943000,VER,33,0 days 00:01:43.052000,10.0,1.0,,,0 days 00:00:36.103000,0 days 00:00:36.440000,0 days 00:00:30.509000,0 days 01:18:54.994000,0 days 01:19:31.434000,0 days 01:20:01.943000,233.0,313.0,156.0,316.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:18:18.891000,2021-09-26 12:19:20.784,1,12.0,False,,False,True
