Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:28:03.511000,VER,33,,1.0,1.0,0 days 00:26:21.331000,0 days 00:28:00.648000,,0 days 00:00:44.840000,0 days 00:00:21.690000,,0 days 00:27:41.861000,0 days 00:28:03.640000,267.0,237.0,,,False,SOFT,4.0,False,Red Bull Racing,0 days 00:26:21.331000,2021-11-13 15:11:21.351,1,,False,,False,False
0 days 00:29:58.853000,VER,33,0 days 00:01:55.342000,2.0,2.0,0 days 00:28:19.508000,,0 days 00:00:51.705000,0 days 00:00:46.507000,0 days 00:00:17.130000,0 days 00:28:55.216000,0 days 00:29:41.723000,0 days 00:29:58.853000,267.0,234.0,299.0,,False,SOFT,5.0,False,Red Bull Racing,0 days 00:28:03.511000,2021-11-13 15:13:03.531,1,,False,,False,False
0 days 00:31:10.955000,VER,33,0 days 00:01:12.102000,3.0,2.0,,,0 days 00:00:18.637000,0 days 00:00:36.554000,0 days 00:00:16.911000,0 days 00:30:17.490000,0 days 00:30:54.044000,0 days 00:31:10.955000,299.0,251.0,297.0,288.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:29:58.853000,2021-11-13 15:14:58.873,1,,False,,False,True
0 days 00:32:23.319000,VER,33,0 days 00:01:12.364000,4.0,2.0,,,0 days 00:00:18.757000,0 days 00:00:36.724000,0 days 00:00:16.883000,0 days 00:31:29.712000,0 days 00:32:06.436000,0 days 00:32:23.319000,301.0,256.0,300.0,285.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:31:10.955000,2021-11-13 15:16:10.975,1,,False,,False,True
0 days 00:33:36.266000,VER,33,0 days 00:01:12.947000,5.0,2.0,,,0 days 00:00:18.571000,0 days 00:00:37.285000,0 days 00:00:17.091000,0 days 00:32:41.890000,0 days 00:33:19.175000,0 days 00:33:36.266000,320.0,255.0,299.0,293.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:32:23.319000,2021-11-13 15:17:23.339,1,,False,,False,True
0 days 00:34:49.227000,VER,33,0 days 00:01:12.961000,6.0,2.0,,,0 days 00:00:18.834000,0 days 00:00:37.105000,0 days 00:00:17.022000,0 days 00:33:55.100000,0 days 00:34:32.205000,0 days 00:34:49.227000,304.0,253.0,301.0,289.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:33:36.266000,2021-11-13 15:18:36.286,1,,False,,False,True
0 days 00:36:08.189000,VER,33,0 days 00:01:18.962000,7.0,2.0,,0 days 00:36:06.772000,0 days 00:00:19.051000,0 days 00:00:38.738000,0 days 00:00:21.173000,0 days 00:35:08.278000,0 days 00:35:47.016000,0 days 00:36:08.189000,307.0,247.0,,285.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:34:49.227000,2021-11-13 15:19:49.247,1,,False,,False,False
0 days 00:47:13.789000,VER,33,,8.0,3.0,0 days 00:45:32.775000,0 days 00:47:11.893000,,0 days 00:00:41.217000,0 days 00:00:21.950000,,0 days 00:46:51.888000,0 days 00:47:14.411000,229.0,229.0,,,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:36:08.189000,2021-11-13 15:21:08.209,1,,False,,False,False
0 days 00:49:11.542000,VER,33,0 days 00:01:57.753000,9.0,4.0,0 days 00:47:28.612000,,0 days 00:00:57.012000,0 days 00:00:42.940000,0 days 00:00:17.801000,0 days 00:48:10.801000,0 days 00:48:53.741000,0 days 00:49:11.542000,268.0,140.0,292.0,,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:47:13.789000,2021-11-13 15:32:13.809,1,,False,,False,False
0 days 00:50:24.434000,VER,33,0 days 00:01:12.892000,10.0,4.0,,,0 days 00:00:18.883000,0 days 00:00:37.030000,0 days 00:00:16.979000,0 days 00:49:30.425000,0 days 00:50:07.455000,0 days 00:50:24.434000,300.0,256.0,293.0,281.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:49:11.542000,2021-11-13 15:34:11.562,1,,False,,False,True
0 days 00:51:37.513000,VER,33,0 days 00:01:13.079000,11.0,4.0,,,0 days 00:00:18.876000,0 days 00:00:37.149000,0 days 00:00:17.054000,0 days 00:50:43.310000,0 days 00:51:20.459000,0 days 00:51:37.513000,295.0,253.0,295.0,285.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:50:24.434000,2021-11-13 15:35:24.454,1,,False,,False,True
0 days 00:52:50.659000,VER,33,0 days 00:01:13.146000,12.0,4.0,,,0 days 00:00:18.913000,0 days 00:00:37.291000,0 days 00:00:16.942000,0 days 00:51:56.426000,0 days 00:52:33.717000,0 days 00:52:50.659000,296.0,251.0,297.0,283.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:51:37.513000,2021-11-13 15:36:37.533,1,,False,,False,True
0 days 00:54:03.823000,VER,33,0 days 00:01:13.164000,13.0,4.0,,,0 days 00:00:18.952000,0 days 00:00:37.322000,0 days 00:00:16.890000,0 days 00:53:09.611000,0 days 00:53:46.933000,0 days 00:54:03.823000,301.0,258.0,298.0,285.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 00:52:50.659000,2021-11-13 15:37:50.679,1,,False,,False,True
0 days 00:55:17.098000,VER,33,0 days 00:01:13.275000,14.0,4.0,,,0 days 00:00:18.896000,0 days 00:00:37.314000,0 days 00:00:17.065000,0 days 00:54:22.719000,0 days 00:55:00.033000,0 days 00:55:17.098000,302.0,258.0,298.0,291.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 00:54:03.823000,2021-11-13 15:39:03.843,1,,False,,False,True
0 days 00:56:30.441000,VER,33,0 days 00:01:13.343000,15.0,4.0,,,0 days 00:00:18.862000,0 days 00:00:37.342000,0 days 00:00:17.139000,0 days 00:55:35.960000,0 days 00:56:13.302000,0 days 00:56:30.441000,303.0,259.0,299.0,288.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 00:55:17.098000,2021-11-13 15:40:17.118,1,,False,,False,True
0 days 00:57:43.693000,VER,33,0 days 00:01:13.252000,16.0,4.0,,,0 days 00:00:18.888000,0 days 00:00:37.203000,0 days 00:00:17.161000,0 days 00:56:49.329000,0 days 00:57:26.532000,0 days 00:57:43.693000,301.0,256.0,297.0,290.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 00:56:30.441000,2021-11-13 15:41:30.461,1,,False,,False,True
0 days 00:58:56.910000,VER,33,0 days 00:01:13.217000,17.0,4.0,,,0 days 00:00:18.912000,0 days 00:00:37.230000,0 days 00:00:17.075000,0 days 00:58:02.605000,0 days 00:58:39.835000,0 days 00:58:56.910000,300.0,253.0,299.0,281.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 00:57:43.693000,2021-11-13 15:42:43.713,1,,False,,False,True
