Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:19:16.140000,VER,33,,1.0,1.0,0 days 00:17:47.486000,,,0 days 00:00:53.129000,0 days 00:00:17.202000,,0 days 00:18:59.057000,0 days 00:19:16.420000,286.0,227.0,309.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:17:47.486000,2021-11-12 19:02:47.495,1,,False,,False,False
0 days 00:20:25.469000,VER,33,0 days 00:01:09.329000,2.0,1.0,,,0 days 00:00:17.882000,0 days 00:00:35.159000,0 days 00:00:16.288000,0 days 00:19:34.022000,0 days 00:20:09.181000,0 days 00:20:25.469000,316.0,263.0,312.0,313.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:19:16.140000,2021-11-12 19:04:16.149,1,,False,,False,True
0 days 00:22:12.234000,VER,33,0 days 00:01:46.765000,3.0,1.0,,,0 days 00:00:29.137000,0 days 00:01:00.251000,0 days 00:00:17.377000,0 days 00:20:54.606000,0 days 00:21:54.857000,0 days 00:22:12.234000,179.0,222.0,311.0,272.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:20:25.469000,2021-11-12 19:05:25.478,1,,False,,False,True
0 days 00:23:21.772000,VER,33,0 days 00:01:09.538000,4.0,1.0,,,0 days 00:00:17.847000,0 days 00:00:35.295000,0 days 00:00:16.396000,0 days 00:22:30.081000,0 days 00:23:05.376000,0 days 00:23:21.772000,317.0,262.0,311.0,315.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:22:12.234000,2021-11-12 19:07:12.243,1,,False,,False,True
0 days 00:24:51.456000,VER,33,0 days 00:01:29.684000,5.0,1.0,,0 days 00:24:48.639000,0 days 00:00:21.765000,0 days 00:00:45.284000,0 days 00:00:22.635000,0 days 00:23:43.537000,0 days 00:24:28.821000,0 days 00:24:51.456000,261.0,217.0,,258.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:23:21.772000,2021-11-12 19:08:21.781,1,,False,,False,False
0 days 00:45:29.103000,VER,33,,6.0,2.0,0 days 00:43:39.323000,,,0 days 00:01:08.425000,0 days 00:00:17.196000,,0 days 00:45:11.907000,0 days 00:45:29.177000,291.0,198.0,312.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:24:51.456000,2021-11-12 19:09:51.465,1,,False,,False,False
0 days 00:46:37.670000,VER,33,0 days 00:01:08.567000,7.0,2.0,,,0 days 00:00:17.655000,0 days 00:00:34.753000,0 days 00:00:16.159000,0 days 00:45:46.758000,0 days 00:46:21.511000,0 days 00:46:37.670000,317.0,264.0,315.0,317.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:45:29.103000,2021-11-12 19:30:29.112,1,,False,,False,True
0 days 00:48:06.699000,VER,33,0 days 00:01:29.029000,8.0,2.0,,0 days 00:48:03.751000,0 days 00:00:20.681000,0 days 00:00:44.087000,0 days 00:00:24.261000,0 days 00:46:58.351000,0 days 00:47:42.438000,0 days 00:48:06.699000,271.0,194.0,,280.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:46:37.670000,2021-11-12 19:31:37.679,1,,False,,False,False
0 days 00:54:26.192000,VER,33,,9.0,3.0,0 days 00:52:33.086000,,,0 days 00:00:50.658000,0 days 00:00:20.904000,,0 days 00:54:05.288000,0 days 00:54:26.283000,259.0,121.0,312.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:48:06.699000,2021-11-12 19:33:06.708,1,,False,,False,False
0 days 00:55:34.691000,VER,33,0 days 00:01:08.499000,10.0,3.0,,,0 days 00:00:17.701000,0 days 00:00:34.666000,0 days 00:00:16.132000,0 days 00:54:43.893000,0 days 00:55:18.559000,0 days 00:55:34.691000,318.0,264.0,315.0,316.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:54:26.192000,2021-11-12 19:39:26.201,1,,False,,False,True
0 days 00:57:06.386000,VER,33,0 days 00:01:31.695000,11.0,3.0,,0 days 00:57:03.435000,0 days 00:00:21.735000,0 days 00:00:43.972000,0 days 00:00:25.988000,0 days 00:55:56.426000,0 days 00:56:40.398000,0 days 00:57:06.386000,215.0,177.0,,269.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:55:34.691000,2021-11-12 19:40:34.700,1,,False,,False,False
0 days 01:07:55.938000,VER,33,,12.0,4.0,0 days 01:06:13.888000,,,0 days 00:00:46.113000,0 days 00:00:16.872000,,0 days 01:07:39.066000,0 days 01:07:56.258000,259.0,234.0,314.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:57:06.386000,2021-11-12 19:42:06.395,1,,False,,False,False
