Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:10.344000,VER,33,0 days 00:01:18.399000,1.0,1.0,,,,0 days 00:00:38.016000,0 days 00:00:17.233000,,0 days 01:02:53.190000,0 days 01:03:10.529000,296.0,249.0,295.0,214.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:01:51.781000,2021-11-14 17:02:51.791,1,1.0,False,,False,False
0 days 01:04:25.024000,VER,33,0 days 00:01:14.680000,2.0,1.0,,,0 days 00:00:19.302000,0 days 00:00:38.122000,0 days 00:00:17.256000,0 days 01:03:29.672000,0 days 01:04:07.794000,0 days 01:04:25.050000,297.0,246.0,296.0,280.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:10.344000,2021-11-14 17:04:10.354,1,1.0,False,,False,True
0 days 01:05:39.495000,VER,33,0 days 00:01:14.471000,3.0,1.0,,,0 days 00:00:19.090000,0 days 00:00:38.134000,0 days 00:00:17.247000,0 days 01:04:44.140000,0 days 01:05:22.274000,0 days 01:05:39.521000,301.0,250.0,298.0,285.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:04:25.024000,2021-11-14 17:05:25.034,1,1.0,False,,False,True
0 days 01:06:54.208000,VER,33,0 days 00:01:14.713000,4.0,1.0,,,0 days 00:00:19.121000,0 days 00:00:38.283000,0 days 00:00:17.309000,0 days 01:05:58.642000,0 days 01:06:36.925000,0 days 01:06:54.234000,,241.0,298.0,284.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:05:39.495000,2021-11-14 17:06:39.505,1,1.0,False,,False,True
0 days 01:08:08.868000,VER,33,0 days 00:01:14.660000,5.0,1.0,,,0 days 00:00:19.185000,0 days 00:00:38.312000,0 days 00:00:17.163000,0 days 01:07:13.419000,0 days 01:07:51.731000,0 days 01:08:08.894000,303.0,244.0,299.0,287.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:06:54.208000,2021-11-14 17:07:54.218,1,1.0,False,,False,True
0 days 01:09:36.356000,VER,33,0 days 00:01:27.488000,6.0,1.0,,,0 days 00:00:19.080000,0 days 00:00:44.825000,0 days 00:00:23.583000,0 days 01:08:27.974000,0 days 01:09:12.799000,0 days 01:09:36.382000,304.0,190.0,230.0,292.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:08:08.868000,2021-11-14 17:09:08.878,14,1.0,False,,False,False
0 days 01:11:36.206000,VER,33,0 days 00:01:59.850000,7.0,1.0,,0 days 01:11:33.306000,0 days 00:00:25.480000,0 days 00:01:00.378000,0 days 00:00:33.992000,0 days 01:10:01.862000,0 days 01:11:02.240000,0 days 01:11:36.232000,234.0,148.0,,251.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:09:36.356000,2021-11-14 17:10:36.366,4,1.0,False,,False,False
0 days 01:13:49.816000,VER,33,0 days 00:02:13.610000,8.0,2.0,0 days 01:11:51.441000,0 days 01:13:46.989000,0 days 00:00:40.453000,0 days 00:00:59.910000,0 days 00:00:33.247000,0 days 01:12:16.685000,0 days 01:13:16.595000,0 days 01:13:49.842000,152.0,174.0,,,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:11:36.206000,2021-11-14 17:12:36.216,4,1.0,False,,False,False
0 days 01:16:19.449000,VER,33,0 days 00:02:29.633000,9.0,3.0,0 days 01:14:05.085000,,0 days 00:00:43.666000,0 days 00:01:05.357000,0 days 00:00:40.610000,0 days 01:14:33.508000,0 days 01:15:38.865000,0 days 01:16:19.475000,102.0,110.0,206.0,,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:13:49.816000,2021-11-14 17:14:49.826,41,1.0,False,,False,False
0 days 01:17:34.254000,VER,33,0 days 00:01:14.805000,10.0,3.0,,,0 days 00:00:19.825000,0 days 00:00:37.761000,0 days 00:00:17.219000,0 days 01:16:39.300000,0 days 01:17:17.061000,0 days 01:17:34.280000,300.0,250.0,295.0,264.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:16:19.449000,2021-11-14 17:17:19.459,1,1.0,False,,False,True
0 days 01:18:48.831000,VER,33,0 days 00:01:14.577000,11.0,3.0,,,0 days 00:00:19.251000,0 days 00:00:38.055000,0 days 00:00:17.271000,0 days 01:17:53.531000,0 days 01:18:31.586000,0 days 01:18:48.857000,296.0,247.0,297.0,281.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:17:34.254000,2021-11-14 17:18:34.264,1,1.0,False,,False,True
0 days 01:20:22.535000,VER,33,0 days 00:01:33.704000,12.0,3.0,,,0 days 00:00:19.137000,0 days 00:00:51.934000,0 days 00:00:22.633000,0 days 01:19:07.994000,0 days 01:19:59.928000,0 days 01:20:22.561000,300.0,208.0,205.0,285.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:18:48.831000,2021-11-14 17:19:48.841,16,1.0,False,,False,False
0 days 01:22:02.575000,VER,33,0 days 00:01:40.040000,13.0,3.0,,,0 days 00:00:26.398000,0 days 00:00:50.898000,0 days 00:00:22.744000,0 days 01:20:48.959000,0 days 01:21:39.857000,0 days 01:22:02.601000,233.0,215.0,198.0,171.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:20:22.535000,2021-11-14 17:21:22.545,6,1.0,False,,False,False
0 days 01:23:27.541000,VER,33,0 days 00:01:24.966000,14.0,3.0,,,0 days 00:00:25.939000,0 days 00:00:41.825000,0 days 00:00:17.202000,0 days 01:22:28.540000,0 days 01:23:10.365000,0 days 01:23:27.567000,261.0,245.0,297.0,211.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:22:02.575000,2021-11-14 17:23:02.585,671,1.0,False,,False,False
0 days 01:24:41.905000,VER,33,0 days 00:01:14.364000,15.0,3.0,,,0 days 00:00:19.183000,0 days 00:00:38.045000,0 days 00:00:17.136000,0 days 01:23:46.750000,0 days 01:24:24.795000,0 days 01:24:41.931000,296.0,248.0,298.0,288.0,True,MEDIUM,15.0,False,Red Bull Racing,0 days 01:23:27.541000,2021-11-14 17:24:27.551,1,1.0,False,,False,True
0 days 01:25:56.219000,VER,33,0 days 00:01:14.314000,16.0,3.0,,,0 days 00:00:19.099000,0 days 00:00:38.076000,0 days 00:00:17.139000,0 days 01:25:01.030000,0 days 01:25:39.106000,0 days 01:25:56.245000,298.0,251.0,298.0,285.0,True,MEDIUM,16.0,False,Red Bull Racing,0 days 01:24:41.905000,2021-11-14 17:25:41.915,1,1.0,False,,False,True
0 days 01:27:10.543000,VER,33,0 days 00:01:14.324000,17.0,3.0,,,0 days 00:00:19.105000,0 days 00:00:38.022000,0 days 00:00:17.197000,0 days 01:26:15.350000,0 days 01:26:53.372000,0 days 01:27:10.569000,296.0,254.0,300.0,286.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:25:56.219000,2021-11-14 17:26:56.229,1,1.0,False,,False,True
0 days 01:28:25.059000,VER,33,0 days 00:01:14.516000,18.0,3.0,,,0 days 00:00:19.168000,0 days 00:00:38.024000,0 days 00:00:17.324000,0 days 01:27:29.737000,0 days 01:28:07.761000,0 days 01:28:25.085000,301.0,254.0,299.0,285.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 01:27:10.543000,2021-11-14 17:28:10.553,1,1.0,False,,False,True
0 days 01:29:39.527000,VER,33,0 days 00:01:14.468000,19.0,3.0,,,0 days 00:00:19.040000,0 days 00:00:38.153000,0 days 00:00:17.275000,0 days 01:28:44.125000,0 days 01:29:22.278000,0 days 01:29:39.553000,304.0,252.0,300.0,296.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:28:25.059000,2021-11-14 17:29:25.069,1,1.0,False,,False,True
0 days 01:30:53.910000,VER,33,0 days 00:01:14.383000,20.0,3.0,,,0 days 00:00:19.002000,0 days 00:00:38.104000,0 days 00:00:17.277000,0 days 01:29:58.555000,0 days 01:30:36.659000,0 days 01:30:53.936000,,255.0,299.0,297.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:29:39.527000,2021-11-14 17:30:39.537,1,1.0,False,,False,True
0 days 01:32:08.654000,VER,33,0 days 00:01:14.744000,21.0,3.0,,,0 days 00:00:19.140000,0 days 00:00:38.309000,0 days 00:00:17.295000,0 days 01:31:13.076000,0 days 01:31:51.385000,0 days 01:32:08.680000,301.0,253.0,301.0,286.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 01:30:53.910000,2021-11-14 17:31:53.920,1,1.0,False,,False,True
0 days 01:33:23.234000,VER,33,0 days 00:01:14.580000,22.0,3.0,,,0 days 00:00:19.110000,0 days 00:00:38.174000,0 days 00:00:17.296000,0 days 01:32:27.790000,0 days 01:33:05.964000,0 days 01:33:23.260000,305.0,256.0,301.0,291.0,False,MEDIUM,22.0,False,Red Bull Racing,0 days 01:32:08.654000,2021-11-14 17:33:08.664,1,1.0,False,,False,True
0 days 01:34:38.008000,VER,33,0 days 00:01:14.774000,23.0,3.0,,,0 days 00:00:19.093000,0 days 00:00:38.284000,0 days 00:00:17.397000,0 days 01:33:42.353000,0 days 01:34:20.637000,0 days 01:34:38.034000,,253.0,303.0,292.0,False,MEDIUM,23.0,False,Red Bull Racing,0 days 01:33:23.234000,2021-11-14 17:34:23.244,1,1.0,False,,False,True
0 days 01:35:52.850000,VER,33,0 days 00:01:14.842000,24.0,3.0,,,0 days 00:00:19.057000,0 days 00:00:38.354000,0 days 00:00:17.431000,0 days 01:34:57.091000,0 days 01:35:35.445000,0 days 01:35:52.876000,302.0,252.0,298.0,295.0,False,MEDIUM,24.0,False,Red Bull Racing,0 days 01:34:38.008000,2021-11-14 17:35:38.018,1,1.0,False,,False,True
0 days 01:37:07.911000,VER,33,0 days 00:01:15.061000,25.0,3.0,,,0 days 00:00:19.181000,0 days 00:00:38.466000,0 days 00:00:17.414000,0 days 01:36:12.057000,0 days 01:36:50.523000,0 days 01:37:07.937000,,247.0,301.0,,False,MEDIUM,25.0,False,Red Bull Racing,0 days 01:35:52.850000,2021-11-14 17:36:52.860,1,1.0,False,,False,True
0 days 01:38:22.822000,VER,33,0 days 00:01:14.911000,26.0,3.0,,,0 days 00:00:19.120000,0 days 00:00:38.418000,0 days 00:00:17.373000,0 days 01:37:27.057000,0 days 01:38:05.475000,0 days 01:38:22.848000,304.0,250.0,300.0,294.0,False,MEDIUM,26.0,False,Red Bull Racing,0 days 01:37:07.911000,2021-11-14 17:38:07.921,1,1.0,False,,False,True
0 days 01:39:41.518000,VER,33,0 days 00:01:18.696000,27.0,3.0,,0 days 01:39:39.234000,0 days 00:00:19.195000,0 days 00:00:38.493000,0 days 00:00:21.008000,0 days 01:38:42.043000,0 days 01:39:20.536000,0 days 01:39:41.544000,,253.0,,,False,MEDIUM,27.0,False,Red Bull Racing,0 days 01:38:22.822000,2021-11-14 17:39:22.832,1,1.0,False,,False,False
