Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:29:55.969000,VER,33,,1.0,1.0,0 days 00:27:59.063000,,,0 days 00:00:28.930000,0 days 00:00:31.589000,,0 days 00:29:24.415000,0 days 00:29:56.125000,307.0,302.0,305.0,262.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:27:59.063000,2021-09-11 10:12:59.074,1,,False,,False,False
0 days 00:31:19.975000,VER,33,0 days 00:01:24.006000,2.0,1.0,,,0 days 00:00:27.946000,0 days 00:00:28.274000,0 days 00:00:27.786000,0 days 00:30:23.915000,0 days 00:30:52.189000,0 days 00:31:19.975000,,311.0,305.0,311.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:29:55.969000,2021-09-11 10:14:55.980,1,,False,,False,True
0 days 00:32:43.870000,VER,33,0 days 00:01:23.895000,3.0,1.0,,,0 days 00:00:28.008000,0 days 00:00:28.102000,0 days 00:00:27.785000,0 days 00:31:47.983000,0 days 00:32:16.085000,0 days 00:32:43.870000,303.0,309.0,307.0,312.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:31:19.975000,2021-09-11 10:16:19.986,1,,False,,False,True
0 days 00:34:07.624000,VER,33,0 days 00:01:23.754000,4.0,1.0,,,0 days 00:00:27.927000,0 days 00:00:28.176000,0 days 00:00:27.651000,0 days 00:33:11.797000,0 days 00:33:39.973000,0 days 00:34:07.624000,306.0,312.0,307.0,316.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:32:43.870000,2021-09-11 10:17:43.881,1,,False,,False,True
0 days 00:35:31.631000,VER,33,0 days 00:01:24.007000,5.0,1.0,,,0 days 00:00:28.091000,0 days 00:00:28.236000,0 days 00:00:27.680000,0 days 00:34:35.715000,0 days 00:35:03.951000,0 days 00:35:31.631000,307.0,311.0,306.0,314.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:34:07.624000,2021-09-11 10:19:07.635,1,,False,,False,True
0 days 00:36:55.514000,VER,33,0 days 00:01:23.883000,6.0,1.0,,,0 days 00:00:28.007000,0 days 00:00:28.205000,0 days 00:00:27.671000,0 days 00:35:59.638000,0 days 00:36:27.843000,0 days 00:36:55.514000,,314.0,308.0,315.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:35:31.631000,2021-09-11 10:20:31.642,1,,False,,False,True
0 days 00:38:19.603000,VER,33,0 days 00:01:24.089000,7.0,1.0,,,0 days 00:00:27.946000,0 days 00:00:28.354000,0 days 00:00:27.789000,0 days 00:37:23.460000,0 days 00:37:51.814000,0 days 00:38:19.603000,310.0,314.0,309.0,,False,SOFT,10.0,False,Red Bull Racing,0 days 00:36:55.514000,2021-09-11 10:21:55.525,1,,False,,False,True
0 days 00:39:44.474000,VER,33,0 days 00:01:24.871000,8.0,1.0,,,0 days 00:00:28.092000,0 days 00:00:28.524000,0 days 00:00:28.255000,0 days 00:38:47.695000,0 days 00:39:16.219000,0 days 00:39:44.474000,314.0,323.0,306.0,317.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:38:19.603000,2021-09-11 10:23:19.614,1,,False,,False,True
0 days 00:41:08.747000,VER,33,0 days 00:01:24.273000,9.0,1.0,,,0 days 00:00:28.228000,0 days 00:00:28.260000,0 days 00:00:27.785000,0 days 00:40:12.702000,0 days 00:40:40.962000,0 days 00:41:08.747000,309.0,315.0,307.0,322.0,False,SOFT,12.0,False,Red Bull Racing,0 days 00:39:44.474000,2021-09-11 10:24:44.485,1,,False,,False,True
0 days 00:55:54.307000,VER,33,,10.0,1.0,,0 days 00:42:59.370000,0 days 00:00:28.196000,,,0 days 00:41:36.951000,,,,,,315.0,False,SOFT,13.0,False,Red Bull Racing,0 days 00:41:08.747000,2021-09-11 10:26:08.758,125,,False,,False,False
0 days 00:57:52.020000,VER,33,,11.0,2.0,0 days 00:55:54.307000,,,0 days 00:00:34.224000,0 days 00:00:37.253000,,0 days 00:57:14.868000,0 days 00:57:53.528000,187.0,314.0,310.0,268.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:55:54.307000,2021-09-11 10:40:54.318,1,,False,,False,False
0 days 00:59:16.110000,VER,33,0 days 00:01:24.090000,12.0,2.0,,,0 days 00:00:28.087000,0 days 00:00:28.177000,0 days 00:00:27.826000,0 days 00:58:20.107000,0 days 00:58:48.284000,0 days 00:59:16.110000,310.0,312.0,307.0,309.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:57:52.020000,2021-09-11 10:42:52.031,1,,False,,False,True
0 days 01:00:40.083000,VER,33,0 days 00:01:23.973000,13.0,2.0,,,0 days 00:00:28.102000,0 days 00:00:28.173000,0 days 00:00:27.698000,0 days 00:59:44.212000,0 days 01:00:12.385000,0 days 01:00:40.083000,,312.0,307.0,313.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:59:16.110000,2021-09-11 10:44:16.121,1,,False,,False,True
