Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:54.306000,VER,33,0 days 00:01:39.532000,1.0,1.0,,,,0 days 00:00:30.226000,0 days 00:00:39.290000,,0 days 01:03:15.131000,0 days 01:03:54.490000,321.0,314.0,227.0,282.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:14.632000,2021-09-12 13:03:16.241,126,2.0,False,,False,False
0 days 01:05:24.431000,VER,33,0 days 00:01:30.125000,2.0,1.0,,,0 days 00:00:32.329000,0 days 00:00:29.197000,0 days 00:00:28.599000,0 days 01:04:26.653000,0 days 01:04:55.850000,0 days 01:05:24.449000,309.0,313.0,309.0,291.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:54.306000,2021-09-12 13:04:55.915,671,2.0,False,,False,False
0 days 01:06:50.239000,VER,33,0 days 00:01:25.808000,3.0,1.0,,,0 days 00:00:28.111000,0 days 00:00:29.137000,0 days 00:00:28.560000,0 days 01:05:52.560000,0 days 01:06:21.697000,0 days 01:06:50.257000,314.0,324.0,309.0,318.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:24.431000,2021-09-12 13:06:26.040,1,2.0,False,,False,True
0 days 01:08:16.634000,VER,33,0 days 00:01:26.395000,4.0,1.0,,,0 days 00:00:28.232000,0 days 00:00:29.404000,0 days 00:00:28.759000,0 days 01:07:18.489000,0 days 01:07:47.893000,0 days 01:08:16.652000,313.0,323.0,307.0,323.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:50.239000,2021-09-12 13:07:51.848,1,2.0,False,,False,True
0 days 01:09:43.011000,VER,33,0 days 00:01:26.377000,5.0,1.0,,,0 days 00:00:28.244000,0 days 00:00:29.412000,0 days 00:00:28.721000,0 days 01:08:44.896000,0 days 01:09:14.308000,0 days 01:09:43.029000,314.0,323.0,308.0,325.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:08:16.634000,2021-09-12 13:09:18.243,1,2.0,False,,False,True
0 days 01:11:09.352000,VER,33,0 days 00:01:26.341000,6.0,1.0,,,0 days 00:00:28.278000,0 days 00:00:29.398000,0 days 00:00:28.665000,0 days 01:10:11.307000,0 days 01:10:40.705000,0 days 01:11:09.370000,312.0,324.0,309.0,322.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:09:43.011000,2021-09-12 13:10:44.620,1,2.0,False,,False,True
0 days 01:12:36.511000,VER,33,0 days 00:01:27.159000,7.0,1.0,,,0 days 00:00:28.200000,0 days 00:00:29.471000,0 days 00:00:29.488000,0 days 01:11:37.570000,0 days 01:12:07.041000,0 days 01:12:36.529000,314.0,323.0,308.0,337.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:11:09.352000,2021-09-12 13:12:10.961,1,2.0,False,,False,True
0 days 01:14:02.844000,VER,33,0 days 00:01:26.333000,8.0,1.0,,,0 days 00:00:28.138000,0 days 00:00:29.444000,0 days 00:00:28.751000,0 days 01:13:04.667000,0 days 01:13:34.111000,0 days 01:14:02.862000,313.0,316.0,310.0,318.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:12:36.511000,2021-09-12 13:13:38.120,1,2.0,False,,False,True
0 days 01:15:29.375000,VER,33,0 days 00:01:26.531000,9.0,1.0,,,0 days 00:00:28.100000,0 days 00:00:29.530000,0 days 00:00:28.901000,0 days 01:14:30.962000,0 days 01:15:00.492000,0 days 01:15:29.393000,,321.0,307.0,324.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:14:02.844000,2021-09-12 13:15:04.453,1,2.0,False,,False,True
0 days 01:16:55.874000,VER,33,0 days 00:01:26.499000,10.0,1.0,,,0 days 00:00:28.044000,0 days 00:00:29.614000,0 days 00:00:28.841000,0 days 01:15:57.437000,0 days 01:16:27.051000,0 days 01:16:55.892000,314.0,323.0,308.0,326.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:15:29.375000,2021-09-12 13:16:30.984,1,2.0,False,,False,True
0 days 01:18:22.542000,VER,33,0 days 00:01:26.668000,11.0,1.0,,,0 days 00:00:28.192000,0 days 00:00:29.584000,0 days 00:00:28.892000,0 days 01:17:24.084000,0 days 01:17:53.668000,0 days 01:18:22.560000,312.0,322.0,310.0,,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:16:55.874000,2021-09-12 13:17:57.483,1,2.0,False,,False,True
0 days 01:19:49.283000,VER,33,0 days 00:01:26.741000,12.0,1.0,,,0 days 00:00:28.097000,0 days 00:00:29.664000,0 days 00:00:28.980000,0 days 01:18:50.657000,0 days 01:19:20.321000,0 days 01:19:49.301000,,324.0,311.0,330.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:18:22.542000,2021-09-12 13:19:24.151,1,2.0,False,,False,True
0 days 01:21:15.726000,VER,33,0 days 00:01:26.443000,13.0,1.0,,,0 days 00:00:28.115000,0 days 00:00:29.414000,0 days 00:00:28.914000,0 days 01:20:17.416000,0 days 01:20:46.830000,0 days 01:21:15.744000,314.0,324.0,312.0,326.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:19:49.283000,2021-09-12 13:20:50.892,1,2.0,False,,False,True
