Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:20:07.767000,VER,33,,1.0,1.0,0 days 00:18:30.637000,,,0 days 00:00:38.781000,0 days 00:00:31.495000,,0 days 00:19:36.341000,0 days 00:20:07.877000,261.0,234.0,276.0,222.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:18:30.637000,2021-05-07 13:03:30.672,1,,False,,False,False
0 days 00:21:26.808000,VER,33,0 days 00:01:19.041000,2.0,1.0,,,0 days 00:00:22.348000,0 days 00:00:29.537000,0 days 00:00:27.156000,0 days 00:20:30.115000,0 days 00:20:59.652000,0 days 00:21:26.808000,281.0,297.0,279.0,307.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:20:07.767000,2021-05-07 13:05:07.802,1,,False,,False,True
0 days 00:23:20.225000,VER,33,0 days 00:01:53.417000,3.0,1.0,,0 days 00:23:18.773000,0 days 00:00:30.268000,0 days 00:00:41.814000,0 days 00:00:41.335000,0 days 00:21:57.076000,0 days 00:22:38.890000,0 days 00:23:20.225000,194.0,187.0,,283.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:21:26.808000,2021-05-07 13:06:26.843,1,,False,,False,False
0 days 00:25:31.836000,VER,33,0 days 00:02:11.611000,4.0,2.0,0 days 00:23:36.426000,,0 days 00:00:54.967000,0 days 00:00:39.557000,0 days 00:00:37.087000,0 days 00:24:15.192000,0 days 00:24:54.749000,0 days 00:25:31.836000,206.0,224.0,280.0,238.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:23:20.225000,2021-05-07 13:08:20.260,1,,False,,False,False
0 days 00:27:21.755000,VER,33,0 days 00:01:49.919000,5.0,2.0,,,0 days 00:00:28.442000,0 days 00:00:44.009000,0 days 00:00:37.468000,0 days 00:26:00.278000,0 days 00:26:44.287000,0 days 00:27:21.755000,152.0,236.0,277.0,312.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 00:25:31.836000,2021-05-07 13:10:31.871,167,,False,,False,False
0 days 00:28:40.540000,VER,33,0 days 00:01:18.785000,6.0,2.0,,,0 days 00:00:22.388000,0 days 00:00:29.457000,0 days 00:00:26.940000,0 days 00:27:44.143000,0 days 00:28:13.600000,0 days 00:28:40.540000,281.0,299.0,278.0,308.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:27:21.755000,2021-05-07 13:12:21.790,1,,False,,False,True
0 days 00:30:11.941000,VER,33,0 days 00:01:31.401000,7.0,2.0,,0 days 00:30:09.236000,0 days 00:00:24.460000,0 days 00:00:33.670000,0 days 00:00:33.271000,0 days 00:29:05,0 days 00:29:38.670000,0 days 00:30:11.941000,236.0,231.0,,278.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:28:40.540000,2021-05-07 13:13:40.575,1,,False,,False,False
0 days 00:41:58.775000,VER,33,,8.0,3.0,0 days 00:40:04.718000,,,0 days 00:00:46.175000,0 days 00:00:39.388000,,0 days 00:41:19.471000,0 days 00:41:58.915000,262.0,205.0,277.0,226.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:30:11.941000,2021-05-07 13:15:11.976,1,,False,,False,False
0 days 00:43:31.508000,VER,33,0 days 00:01:32.733000,9.0,3.0,,,0 days 00:00:22.256000,0 days 00:00:29.318000,0 days 00:00:41.159000,0 days 00:42:21.031000,0 days 00:42:50.349000,0 days 00:43:31.508000,278.0,298.0,167.0,310.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:41:58.775000,2021-05-07 13:26:58.810,1,,False,,False,True
0 days 00:45:49.935000,VER,33,0 days 00:02:18.427000,10.0,3.0,,,0 days 00:00:47.363000,0 days 00:00:53.391000,0 days 00:00:37.673000,0 days 00:44:18.871000,0 days 00:45:12.262000,0 days 00:45:49.935000,125.0,83.0,276.0,128.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:43:31.508000,2021-05-07 13:28:31.543,1,,False,,False,True
0 days 00:47:08.773000,VER,33,0 days 00:01:18.838000,11.0,3.0,,,0 days 00:00:22.375000,0 days 00:00:29.614000,0 days 00:00:26.849000,0 days 00:46:12.310000,0 days 00:46:41.924000,0 days 00:47:08.773000,278.0,297.0,275.0,306.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:45:49.935000,2021-05-07 13:30:49.970,1,,False,,False,True
0 days 00:48:39.666000,VER,33,0 days 00:01:30.893000,12.0,3.0,,0 days 00:48:37.983000,0 days 00:00:25.029000,0 days 00:00:32.536000,0 days 00:00:33.328000,0 days 00:47:33.802000,0 days 00:48:06.338000,0 days 00:48:39.666000,210.0,221.0,,258.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:47:08.773000,2021-05-07 13:32:08.808,1,,False,,False,False
0 days 00:58:31.894000,VER,33,,13.0,4.0,0 days 00:56:54.156000,,,0 days 00:00:32.380000,0 days 00:00:30.446000,,0 days 00:58:02.519000,0 days 00:58:32.027000,242.0,208.0,264.0,233.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:48:39.666000,2021-05-07 13:33:39.701,1,,False,,False,False
0 days 00:59:57.064000,VER,33,0 days 00:01:25.170000,14.0,4.0,,,0 days 00:00:23.922000,0 days 00:00:32.694000,0 days 00:00:28.554000,0 days 00:58:55.816000,0 days 00:59:28.510000,0 days 00:59:57.064000,260.0,251.0,266.0,291.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:58:31.894000,2021-05-07 13:43:31.929,1,,False,,False,True
0 days 01:01:20.875000,VER,33,0 days 00:01:23.811000,15.0,4.0,,,0 days 00:00:23.827000,0 days 00:00:31.655000,0 days 00:00:28.329000,0 days 01:00:20.891000,0 days 01:00:52.546000,0 days 01:01:20.875000,254.0,252.0,267.0,294.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:59:57.064000,2021-05-07 13:44:57.099,1,,False,,False,True
0 days 01:02:45.044000,VER,33,0 days 00:01:24.169000,16.0,4.0,,,0 days 00:00:23.732000,0 days 00:00:31.618000,0 days 00:00:28.819000,0 days 01:01:44.607000,0 days 01:02:16.225000,0 days 01:02:45.044000,257.0,267.0,266.0,297.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:01:20.875000,2021-05-07 13:46:20.910,1,,False,,False,True
0 days 01:04:09.123000,VER,33,0 days 00:01:24.079000,17.0,4.0,,,0 days 00:00:23.733000,0 days 00:00:31.541000,0 days 00:00:28.805000,0 days 01:03:08.777000,0 days 01:03:40.318000,0 days 01:04:09.123000,258.0,266.0,267.0,295.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:02:45.044000,2021-05-07 13:47:45.079,1,,False,,False,True
0 days 01:05:39.055000,VER,33,0 days 00:01:29.932000,18.0,4.0,,,0 days 00:00:23.815000,0 days 00:00:31.710000,0 days 00:00:34.407000,0 days 01:04:32.938000,0 days 01:05:04.648000,0 days 01:05:39.055000,256.0,265.0,265.0,297.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:04:09.123000,2021-05-07 13:49:09.158,1,,False,,False,True
0 days 01:07:02.636000,VER,33,0 days 00:01:23.581000,19.0,4.0,,,0 days 00:00:23.884000,0 days 00:00:31.425000,0 days 00:00:28.272000,0 days 01:06:02.939000,0 days 01:06:34.364000,0 days 01:07:02.636000,257.0,264.0,265.0,290.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:05:39.055000,2021-05-07 13:50:39.090,1,,False,,False,True
0 days 01:08:26.147000,VER,33,0 days 00:01:23.511000,20.0,4.0,,,0 days 00:00:23.820000,0 days 00:00:31.339000,0 days 00:00:28.352000,0 days 01:07:26.456000,0 days 01:07:57.795000,0 days 01:08:26.147000,256.0,266.0,266.0,292.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:07:02.636000,2021-05-07 13:52:02.671,1,,False,,False,True
0 days 01:09:49.376000,VER,33,0 days 00:01:23.229000,21.0,4.0,,,0 days 00:00:23.721000,0 days 00:00:31.204000,0 days 00:00:28.304000,0 days 01:08:49.868000,0 days 01:09:21.072000,0 days 01:09:49.376000,,266.0,269.0,295.0,False,SOFT,14.0,False,Red Bull Racing,0 days 01:08:26.147000,2021-05-07 13:53:26.182,1,,False,,False,True
