Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:30:09.646000,VER,33,,1.0,1.0,0 days 00:28:08.581000,,,0 days 00:00:48.509000,0 days 00:00:45.328000,,0 days 00:29:24.334000,0 days 00:30:09.899000,234.0,234.0,283.0,235.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:28:08.581000,2021-05-08 13:13:08.590,1,,False,,False,False
0 days 00:31:27.736000,VER,33,0 days 00:01:18.090000,2.0,1.0,,,0 days 00:00:21.961000,0 days 00:00:29.097000,0 days 00:00:27.032000,0 days 00:30:31.607000,0 days 00:31:00.704000,0 days 00:31:27.736000,286.0,305.0,285.0,311.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:30:09.646000,2021-05-08 13:15:09.655,1,,False,,False,True
0 days 00:33:46.150000,VER,33,0 days 00:02:18.414000,3.0,1.0,,,0 days 00:00:35.986000,0 days 00:00:56.314000,0 days 00:00:46.114000,0 days 00:32:03.722000,0 days 00:33:00.036000,0 days 00:33:46.150000,124.0,141.0,182.0,186.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:31:27.736000,2021-05-08 13:16:27.745,1,,False,,False,True
0 days 00:35:49.040000,VER,33,0 days 00:02:02.890000,4.0,1.0,,,0 days 00:00:41.930000,0 days 00:00:46.759000,0 days 00:00:34.201000,0 days 00:34:28.080000,0 days 00:35:14.839000,0 days 00:35:49.040000,174.0,240.0,282.0,211.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:33:46.150000,2021-05-08 13:18:46.159,1,,False,,False,True
0 days 00:37:15.535000,VER,33,0 days 00:01:26.495000,5.0,1.0,,0 days 00:37:12.780000,0 days 00:00:22.096000,0 days 00:00:29.193000,0 days 00:00:35.206000,0 days 00:36:11.136000,0 days 00:36:40.329000,0 days 00:37:15.535000,287.0,305.0,,311.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:35:49.040000,2021-05-08 13:20:49.049,1,,False,,False,False
0 days 00:54:10.101000,VER,33,,6.0,2.0,0 days 00:52:17.782000,,,0 days 00:00:41.682000,0 days 00:00:41.069000,,0 days 00:53:29.052000,0 days 00:54:10.149000,205.0,230.0,284.0,226.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:37:15.535000,2021-05-08 13:22:15.544,1,,False,,False,False
0 days 00:55:27.023000,VER,33,0 days 00:01:16.922000,7.0,2.0,,,0 days 00:00:21.800000,0 days 00:00:28.761000,0 days 00:00:26.361000,0 days 00:54:31.901000,0 days 00:55:00.662000,0 days 00:55:27.023000,288.0,305.0,282.0,312.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:54:10.101000,2021-05-08 13:39:10.110,1,,False,,False,True
0 days 00:57:04.971000,VER,33,0 days 00:01:37.948000,8.0,2.0,,0 days 00:57:02.189000,0 days 00:00:26.014000,0 days 00:00:35.102000,0 days 00:00:36.832000,0 days 00:55:53.037000,0 days 00:56:28.139000,0 days 00:57:04.971000,217.0,197.0,,275.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:55:27.023000,2021-05-08 13:40:27.032,1,,False,,False,False
0 days 01:16:50.872000,VER,33,,9.0,3.0,0 days 01:14:57.847000,,,0 days 00:00:40.776000,0 days 00:00:39.451000,,0 days 01:16:11.437000,0 days 01:16:50.917000,229.0,238.0,285.0,204.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:57:04.971000,2021-05-08 13:42:04.980,1,,False,,False,False
0 days 01:18:07.649000,VER,33,0 days 00:01:16.777000,10.0,3.0,,,0 days 00:00:21.759000,0 days 00:00:28.723000,0 days 00:00:26.295000,0 days 01:17:12.631000,0 days 01:17:41.354000,0 days 01:18:07.649000,288.0,305.0,284.0,312.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:16:50.872000,2021-05-08 14:01:50.881,1,,False,,False,True
