Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:34:44.428000,VER,33,0 days 00:01:26.190000,1.0,1.0,,,,0 days 00:00:31.209000,0 days 00:00:28.133000,,0 days 00:34:16.343000,0 days 00:34:44.620000,264.0,266.0,270.0,274.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:33:18.087000,2021-05-09 13:03:18.095,1,1.0,False,,False,False
0 days 00:36:07.989000,VER,33,0 days 00:01:23.561000,2.0,1.0,,,0 days 00:00:23.693000,0 days 00:00:31.434000,0 days 00:00:28.434000,0 days 00:35:08.138000,0 days 00:35:39.572000,0 days 00:36:08.006000,262.0,259.0,270.0,295.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:34:44.428000,2021-05-09 13:04:44.436,1,1.0,False,,False,True
0 days 00:37:31.239000,VER,33,0 days 00:01:23.250000,3.0,1.0,,,0 days 00:00:23.720000,0 days 00:00:31.302000,0 days 00:00:28.228000,0 days 00:36:31.726000,0 days 00:37:03.028000,0 days 00:37:31.256000,263.0,262.0,271.0,296.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:36:07.989000,2021-05-09 13:06:07.997,1,1.0,False,,False,True
0 days 00:38:54.448000,VER,33,0 days 00:01:23.209000,4.0,1.0,,,0 days 00:00:23.751000,0 days 00:00:31.365000,0 days 00:00:28.093000,0 days 00:37:55.007000,0 days 00:38:26.372000,0 days 00:38:54.465000,,263.0,272.0,297.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:37:31.239000,2021-05-09 13:07:31.247,1,1.0,False,,False,True
0 days 00:40:17.654000,VER,33,0 days 00:01:23.206000,5.0,1.0,,,0 days 00:00:23.607000,0 days 00:00:31.470000,0 days 00:00:28.129000,0 days 00:39:18.072000,0 days 00:39:49.542000,0 days 00:40:17.671000,258.0,267.0,272.0,299.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:38:54.448000,2021-05-09 13:08:54.456,1,1.0,False,,False,True
0 days 00:41:40.881000,VER,33,0 days 00:01:23.227000,6.0,1.0,,,0 days 00:00:23.610000,0 days 00:00:31.467000,0 days 00:00:28.150000,0 days 00:40:41.281000,0 days 00:41:12.748000,0 days 00:41:40.898000,,266.0,273.0,300.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:40:17.654000,2021-05-09 13:10:17.662,1,1.0,False,,False,True
0 days 00:43:03.971000,VER,33,0 days 00:01:23.090000,7.0,1.0,,,0 days 00:00:23.657000,0 days 00:00:31.338000,0 days 00:00:28.095000,0 days 00:42:04.555000,0 days 00:42:35.893000,0 days 00:43:03.988000,259.0,262.0,273.0,,True,SOFT,10.0,False,Red Bull Racing,0 days 00:41:40.881000,2021-05-09 13:11:40.889,1,1.0,False,,False,True
0 days 00:44:29.454000,VER,33,0 days 00:01:25.483000,8.0,1.0,,,0 days 00:00:23.691000,0 days 00:00:31.535000,0 days 00:00:30.257000,0 days 00:43:27.679000,0 days 00:43:59.214000,0 days 00:44:29.471000,256.0,234.0,91.0,301.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:43:03.971000,2021-05-09 13:13:03.979,124,1.0,False,,False,False
0 days 00:46:44.334000,VER,33,0 days 00:02:14.880000,9.0,1.0,,,0 days 00:00:40.654000,0 days 00:00:50.246000,0 days 00:00:43.980000,0 days 00:45:10.125000,0 days 00:46:00.371000,0 days 00:46:44.351000,100.0,154.0,203.0,246.0,False,SOFT,12.0,False,Red Bull Racing,0 days 00:44:29.454000,2021-05-09 13:14:29.462,4,1.0,False,,False,False
0 days 00:49:04.230000,VER,33,0 days 00:02:19.896000,10.0,1.0,,,0 days 00:00:37.710000,0 days 00:00:52.852000,0 days 00:00:49.334000,0 days 00:47:22.061000,0 days 00:48:14.913000,0 days 00:49:04.247000,103.0,174.0,273.0,233.0,False,SOFT,13.0,False,Red Bull Racing,0 days 00:46:44.334000,2021-05-09 13:16:44.342,41,1.0,False,,False,False
