Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:26:42.091000,RIC,3,,1.0,1.0,0 days 00:25:05.801000,,,0 days 00:00:39.104000,0 days 00:00:26.331000,,0 days 00:26:15.785000,0 days 00:26:42.204000,284.0,251.0,240.0,297.0,False,SOFT,4.0,False,McLaren,0 days 00:25:05.801000,2021-07-17 11:10:05.810,1,,False,,False,False
0 days 00:28:15.713000,RIC,3,0 days 00:01:33.622000,2.0,1.0,,,0 days 00:00:29.472000,0 days 00:00:38.342000,0 days 00:00:25.808000,0 days 00:27:11.563000,0 days 00:27:49.905000,0 days 00:28:15.713000,,253.0,243.0,297.0,True,SOFT,5.0,False,McLaren,0 days 00:26:42.091000,2021-07-17 11:11:42.100,1,,False,,False,True
0 days 00:29:49.238000,RIC,3,0 days 00:01:33.525000,3.0,1.0,,,0 days 00:00:29.507000,0 days 00:00:38.384000,0 days 00:00:25.634000,0 days 00:28:45.220000,0 days 00:29:23.604000,0 days 00:29:49.238000,286.0,253.0,243.0,301.0,True,SOFT,6.0,False,McLaren,0 days 00:28:15.713000,2021-07-17 11:13:15.722,1,,False,,False,True
0 days 00:31:22.684000,RIC,3,0 days 00:01:33.446000,4.0,1.0,,,0 days 00:00:29.665000,0 days 00:00:38.156000,0 days 00:00:25.625000,0 days 00:30:18.903000,0 days 00:30:57.059000,0 days 00:31:22.684000,288.0,254.0,243.0,301.0,True,SOFT,7.0,False,McLaren,0 days 00:29:49.238000,2021-07-17 11:14:49.247,1,,False,,False,True
0 days 00:32:56.364000,RIC,3,0 days 00:01:33.680000,5.0,1.0,,,0 days 00:00:29.815000,0 days 00:00:38.110000,0 days 00:00:25.755000,0 days 00:31:52.499000,0 days 00:32:30.609000,0 days 00:32:56.364000,,251.0,240.0,300.0,False,SOFT,8.0,False,McLaren,0 days 00:31:22.684000,2021-07-17 11:16:22.693,1,,False,,False,True
0 days 00:34:32.660000,RIC,3,0 days 00:01:36.296000,6.0,1.0,,,0 days 00:00:29.679000,0 days 00:00:38.234000,0 days 00:00:28.383000,0 days 00:33:26.043000,0 days 00:34:04.277000,0 days 00:34:32.660000,283.0,249.0,240.0,296.0,False,SOFT,9.0,False,McLaren,0 days 00:32:56.364000,2021-07-17 11:17:56.373,12,,False,,False,True
0 days 00:36:06.867000,RIC,3,0 days 00:01:34.207000,7.0,1.0,,,0 days 00:00:30.014000,0 days 00:00:38.351000,0 days 00:00:25.842000,0 days 00:35:02.674000,0 days 00:35:41.025000,0 days 00:36:06.867000,281.0,252.0,242.0,294.0,False,SOFT,10.0,False,McLaren,0 days 00:34:32.660000,2021-07-17 11:19:32.669,1,,False,,False,True
0 days 00:37:41.790000,RIC,3,0 days 00:01:34.923000,8.0,1.0,,0 days 00:37:35.943000,0 days 00:00:30.265000,0 days 00:00:39.178000,0 days 00:00:25.480000,0 days 00:36:37.132000,0 days 00:37:16.310000,0 days 00:37:41.790000,293.0,251.0,,300.0,False,SOFT,11.0,False,McLaren,0 days 00:36:06.867000,2021-07-17 11:21:06.876,1,,False,,False,False
0 days 00:39:41.777000,RIC,3,0 days 00:01:59.987000,9.0,2.0,0 days 00:38:05.683000,0 days 00:39:36.307000,0 days 00:00:55.739000,0 days 00:00:38.657000,0 days 00:00:25.591000,0 days 00:38:37.529000,0 days 00:39:16.186000,0 days 00:39:41.777000,288.0,254.0,,294.0,False,SOFT,12.0,False,McLaren,0 days 00:37:41.790000,2021-07-17 11:22:41.799,1,,False,,False,False
0 days 00:49:04.889000,RIC,3,,10.0,3.0,0 days 00:47:32.121000,,,0 days 00:00:38.348000,0 days 00:00:25.963000,,0 days 00:48:38.949000,0 days 00:49:05.107000,283.0,258.0,246.0,290.0,False,MEDIUM,12.0,False,McLaren,0 days 00:39:41.777000,2021-07-17 11:24:41.786,1,,False,,False,False
