Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:20:47.262000,BOT,77,,1.0,1.0,0 days 00:19:02.300000,,,0 days 00:00:39.892000,0 days 00:00:32.591000,,0 days 00:20:14.695000,0 days 00:20:47.502000,290.0,306.0,309.0,256.0,False,SOFT,1.0,True,Mercedes,0 days 00:19:02.300000,2021-09-10 16:04:02.311,1,,False,,False,False
0 days 00:22:08.066000,BOT,77,0 days 00:01:20.804000,2.0,1.0,,,0 days 00:00:26.987000,0 days 00:00:27.093000,0 days 00:00:26.724000,0 days 00:21:14.249000,0 days 00:21:41.342000,0 days 00:22:08.066000,318.0,325.0,310.0,333.0,True,SOFT,2.0,True,Mercedes,0 days 00:20:47.262000,2021-09-10 16:05:47.273,1,,False,,False,True
0 days 00:23:56.231000,BOT,77,0 days 00:01:48.165000,3.0,1.0,,0 days 00:23:50.008000,0 days 00:00:32.720000,0 days 00:00:33.869000,0 days 00:00:41.576000,0 days 00:22:40.786000,0 days 00:23:14.655000,0 days 00:23:56.231000,288.0,298.0,,231.0,False,SOFT,3.0,True,Mercedes,0 days 00:22:08.066000,2021-09-10 16:07:08.077,1,,False,,False,False
0 days 00:30:03.506000,BOT,77,,4.0,2.0,0 days 00:28:20.973000,,,0 days 00:00:37.951000,0 days 00:00:31.740000,,0 days 00:29:31.766000,0 days 00:30:03.783000,291.0,301.0,309.0,261.0,False,SOFT,4.0,False,Mercedes,0 days 00:23:56.231000,2021-09-10 16:08:56.242,1,,False,,False,False
0 days 00:31:24.191000,BOT,77,0 days 00:01:20.685000,5.0,2.0,,,0 days 00:00:27.142000,0 days 00:00:26.915000,0 days 00:00:26.628000,0 days 00:30:30.648000,0 days 00:30:57.563000,0 days 00:31:24.191000,317.0,324.0,308.0,331.0,True,SOFT,5.0,False,Mercedes,0 days 00:30:03.506000,2021-09-10 16:15:03.517,1,,False,,False,True
0 days 00:33:06.089000,BOT,77,0 days 00:01:41.898000,6.0,2.0,,0 days 00:33:02.170000,0 days 00:00:31.480000,0 days 00:00:32.405000,0 days 00:00:38.013000,0 days 00:31:55.671000,0 days 00:32:28.076000,0 days 00:33:06.089000,291.0,299.0,,273.0,False,SOFT,6.0,False,Mercedes,0 days 00:31:24.191000,2021-09-10 16:16:24.202,1,,False,,False,False
0 days 00:43:08.708000,BOT,77,,7.0,3.0,0 days 00:41:26.129000,,,0 days 00:00:37.271000,0 days 00:00:33.254000,,0 days 00:42:35.531000,0 days 00:43:09.086000,296.0,304.0,312.0,257.0,False,SOFT,1.0,True,Mercedes,0 days 00:33:06.089000,2021-09-10 16:18:06.100,1,,False,,False,False
0 days 00:44:28.740000,BOT,77,0 days 00:01:20.032000,8.0,3.0,,,0 days 00:00:26.838000,0 days 00:00:26.578000,0 days 00:00:26.616000,0 days 00:43:35.546000,0 days 00:44:02.124000,0 days 00:44:28.740000,320.0,328.0,311.0,336.0,True,SOFT,2.0,True,Mercedes,0 days 00:43:08.708000,2021-09-10 16:28:08.719,1,,False,,False,True
0 days 00:46:12.862000,BOT,77,0 days 00:01:44.122000,9.0,3.0,,0 days 00:46:08.933000,0 days 00:00:31.188000,0 days 00:00:31.259000,0 days 00:00:41.675000,0 days 00:44:59.928000,0 days 00:45:31.187000,0 days 00:46:12.862000,294.0,304.0,,280.0,False,SOFT,3.0,True,Mercedes,0 days 00:44:28.740000,2021-09-10 16:29:28.751,1,,False,,False,False
0 days 00:53:43.799000,BOT,77,,10.0,4.0,0 days 00:51:56.402000,,,0 days 00:00:38.582000,0 days 00:00:31.878000,,0 days 00:53:11.961000,0 days 00:53:43.807000,266.0,302.0,310.0,164.0,False,SOFT,4.0,False,Mercedes,0 days 00:46:12.862000,2021-09-10 16:31:12.873,1,,False,,False,False
