Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:24.533000,VER,33,,1.0,1.0,0 days 00:15:27.228000,,,0 days 00:00:31.871000,0 days 00:00:35.921000,,0 days 00:16:48.748000,0 days 00:17:24.711000,278.0,295.0,309.0,262.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:15:27.228000,2021-09-10 12:30:56.975,1,,False,,False,False
0 days 00:18:49.195000,VER,33,0 days 00:01:24.662000,2.0,1.0,,,0 days 00:00:27.666000,0 days 00:00:28.508000,0 days 00:00:28.488000,0 days 00:17:52.199000,0 days 00:18:20.707000,0 days 00:18:49.195000,319.0,327.0,314.0,336.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:17:24.533000,2021-09-10 12:32:54.280,1,,False,,False,True
0 days 00:20:34.864000,VER,33,0 days 00:01:45.669000,3.0,1.0,,,0 days 00:00:33.867000,0 days 00:00:37.914000,0 days 00:00:33.888000,0 days 00:19:23.062000,0 days 00:20:00.976000,0 days 00:20:34.864000,287.0,179.0,308.0,233.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:18:49.195000,2021-09-10 12:34:18.942,1,,False,,False,True
0 days 00:22:12.335000,VER,33,0 days 00:01:37.471000,4.0,1.0,,,0 days 00:00:31.999000,0 days 00:00:30.009000,0 days 00:00:35.463000,0 days 00:21:06.863000,0 days 00:21:36.872000,0 days 00:22:12.335000,307.0,300.0,309.0,331.0,False,HARD,4.0,True,Red Bull Racing,0 days 00:20:34.864000,2021-09-10 12:36:04.611,1,,False,,False,True
0 days 00:23:36.334000,VER,33,0 days 00:01:23.999000,5.0,1.0,,,0 days 00:00:27.669000,0 days 00:00:28.437000,0 days 00:00:27.893000,0 days 00:22:40.004000,0 days 00:23:08.441000,0 days 00:23:36.334000,318.0,323.0,311.0,332.0,True,HARD,5.0,True,Red Bull Racing,0 days 00:22:12.335000,2021-09-10 12:37:42.082,1,,False,,False,True
0 days 00:25:21.681000,VER,33,0 days 00:01:45.347000,6.0,1.0,,,0 days 00:00:33.154000,0 days 00:00:40.898000,0 days 00:00:31.295000,0 days 00:24:09.488000,0 days 00:24:50.386000,0 days 00:25:21.681000,160.0,298.0,310.0,255.0,False,HARD,6.0,True,Red Bull Racing,0 days 00:23:36.334000,2021-09-10 12:39:06.081,12,,False,,False,True
0 days 00:26:45.030000,VER,33,0 days 00:01:23.349000,7.0,1.0,,,0 days 00:00:27.639000,0 days 00:00:28.080000,0 days 00:00:27.630000,0 days 00:25:49.320000,0 days 00:26:17.400000,0 days 00:26:45.030000,319.0,328.0,310.0,332.0,True,HARD,7.0,True,Red Bull Racing,0 days 00:25:21.681000,2021-09-10 12:40:51.428,1,,False,,False,True
0 days 00:28:23.381000,VER,33,0 days 00:01:38.351000,8.0,1.0,,0 days 00:28:19.240000,0 days 00:00:29.368000,0 days 00:00:34.274000,0 days 00:00:34.709000,0 days 00:27:14.398000,0 days 00:27:48.672000,0 days 00:28:23.381000,296.0,261.0,,302.0,False,HARD,8.0,True,Red Bull Racing,0 days 00:26:45.030000,2021-09-10 12:42:14.777,1,,False,,False,False
0 days 00:36:54.233000,VER,33,,9.0,2.0,0 days 00:35:12.786000,,,0 days 00:00:39.404000,0 days 00:00:32.580000,,0 days 00:36:21.735000,0 days 00:36:54.435000,294.0,245.0,309.0,257.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:28:23.381000,2021-09-10 12:43:53.128,1,,False,,False,False
0 days 00:38:16.804000,VER,33,0 days 00:01:22.571000,10.0,2.0,,,0 days 00:00:27.724000,0 days 00:00:27.715000,0 days 00:00:27.132000,0 days 00:37:21.957000,0 days 00:37:49.672000,0 days 00:38:16.804000,316.0,323.0,309.0,327.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:36:54.233000,2021-09-10 12:52:23.980,1,,False,,False,True
0 days 00:40:03.168000,VER,33,0 days 00:01:46.364000,11.0,2.0,,,0 days 00:00:36.956000,0 days 00:00:38.604000,0 days 00:00:30.804000,0 days 00:38:53.760000,0 days 00:39:32.364000,0 days 00:40:03.168000,257.0,294.0,307.0,172.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:38:16.804000,2021-09-10 12:53:46.551,1,,False,,False,True
0 days 00:41:25.937000,VER,33,0 days 00:01:22.769000,12.0,2.0,,,0 days 00:00:27.637000,0 days 00:00:27.827000,0 days 00:00:27.305000,0 days 00:40:30.805000,0 days 00:40:58.632000,0 days 00:41:25.937000,317.0,322.0,307.0,326.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:40:03.168000,2021-09-10 12:55:32.915,1,,False,,False,True
0 days 00:42:59.834000,VER,33,0 days 00:01:33.897000,13.0,2.0,,0 days 00:42:56.127000,0 days 00:00:29.776000,0 days 00:00:29.965000,0 days 00:00:34.156000,0 days 00:41:55.713000,0 days 00:42:25.678000,0 days 00:42:59.834000,295.0,301.0,,293.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:41:25.937000,2021-09-10 12:56:55.684,1,,False,,False,False
0 days 00:54:57.769000,VER,33,,14.0,3.0,0 days 00:53:21.399000,,,0 days 00:00:34.262000,0 days 00:00:30.058000,,0 days 00:54:28.493000,0 days 00:54:58.564000,279.0,301.0,312.0,165.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:42:59.834000,2021-09-10 12:58:29.581,1,,False,,False,False
0 days 00:56:19.147000,VER,33,0 days 00:01:21.378000,15.0,3.0,,,0 days 00:00:27.054000,0 days 00:00:27.301000,0 days 00:00:27.023000,0 days 00:55:24.823000,0 days 00:55:52.124000,0 days 00:56:19.147000,320.0,328.0,313.0,332.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:54:57.769000,2021-09-10 13:10:27.516,1,,False,,False,True
0 days 00:58:20.635000,VER,33,0 days 00:02:01.488000,16.0,3.0,,,0 days 00:00:37.547000,0 days 00:00:49.167000,0 days 00:00:34.774000,0 days 00:56:56.694000,0 days 00:57:45.861000,0 days 00:58:20.635000,156.0,134.0,314.0,244.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:56:19.147000,2021-09-10 13:11:48.894,1,,False,,False,True
0 days 00:59:56.230000,VER,33,0 days 00:01:35.595000,17.0,3.0,,0 days 00:59:55.309000,0 days 00:00:27.110000,0 days 00:00:31.465000,0 days 00:00:37.020000,0 days 00:58:47.745000,0 days 00:59:19.210000,0 days 00:59:56.230000,322.0,266.0,,332.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:58:20.635000,2021-09-10 13:13:50.382,1,,False,,False,False
0 days 01:11:28.274000,VER,33,,18.0,4.0,0 days 01:09:47.442000,,,0 days 00:00:29.572000,0 days 00:00:30.264000,,0 days 01:10:58.010000,0 days 01:11:31.303000,307.0,317.0,306.0,256.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:59:56.230000,2021-09-10 13:15:25.977,1,,False,,False,False
0 days 01:12:53.991000,VER,33,0 days 00:01:25.717000,19.0,4.0,,,0 days 00:00:27.947000,0 days 00:00:29.100000,0 days 00:00:28.670000,0 days 01:11:56.221000,0 days 01:12:25.321000,0 days 01:12:53.991000,309.0,313.0,305.0,317.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:11:28.274000,2021-09-10 13:26:58.021,1,,False,,False,True
0 days 01:14:19.826000,VER,33,0 days 00:01:25.835000,20.0,4.0,,,0 days 00:00:28.221000,0 days 00:00:29.111000,0 days 00:00:28.503000,0 days 01:13:22.212000,0 days 01:13:51.323000,0 days 01:14:19.826000,302.0,309.0,303.0,313.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:12:53.991000,2021-09-10 13:28:23.738,1,,False,,False,True
0 days 01:15:45.579000,VER,33,0 days 00:01:25.753000,21.0,4.0,,,0 days 00:00:28.182000,0 days 00:00:29.005000,0 days 00:00:28.566000,0 days 01:14:48.008000,0 days 01:15:17.013000,0 days 01:15:45.579000,306.0,314.0,304.0,316.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:14:19.826000,2021-09-10 13:29:49.573,1,,False,,False,True
0 days 01:17:32.639000,VER,33,0 days 00:01:47.060000,22.0,4.0,,0 days 01:17:28.939000,0 days 00:00:28.852000,0 days 00:00:31.722000,0 days 00:00:46.486000,0 days 01:16:14.431000,0 days 01:16:46.153000,0 days 01:17:32.639000,308.0,191.0,,281.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:15:45.579000,2021-09-10 13:31:15.326,1,,False,,False,False
