Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:44.432000,VER,33,,1.0,1.0,0 days 00:17:03.931000,,,0 days 00:00:36.671000,0 days 00:00:32.303000,,0 days 00:18:12.254000,0 days 00:18:44.710000,287.0,254.0,309.0,250.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:17:03.931000,2021-09-10 16:02:03.942,1,,False,,False,False
0 days 00:20:06.540000,VER,33,0 days 00:01:22.108000,2.0,1.0,,,0 days 00:00:27.406000,0 days 00:00:27.553000,0 days 00:00:27.149000,0 days 00:19:11.838000,0 days 00:19:39.391000,0 days 00:20:06.540000,316.0,325.0,309.0,326.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:18:44.432000,2021-09-10 16:03:44.443,1,,False,,False,True
0 days 00:22:25.350000,VER,33,0 days 00:02:18.810000,3.0,1.0,,,0 days 00:00:44.324000,0 days 00:00:56.417000,0 days 00:00:38.069000,0 days 00:20:50.864000,0 days 00:21:47.281000,0 days 00:22:25.350000,191.0,139.0,312.0,170.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:20:06.540000,2021-09-10 16:05:06.551,1,,False,,False,True
0 days 00:24:21.021000,VER,33,0 days 00:01:55.671000,4.0,1.0,,,0 days 00:00:27.278000,0 days 00:00:45.518000,0 days 00:00:42.875000,0 days 00:22:52.628000,0 days 00:23:38.146000,0 days 00:24:21.021000,321.0,156.0,216.0,330.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:22:25.350000,2021-09-10 16:07:25.361,1,,False,,False,True
0 days 00:26:27.756000,VER,33,0 days 00:02:06.735000,5.0,1.0,,,0 days 00:00:42.489000,0 days 00:00:43.957000,0 days 00:00:40.289000,0 days 00:25:03.510000,0 days 00:25:47.467000,0 days 00:26:27.756000,178.0,119.0,311.0,156.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:24:21.021000,2021-09-10 16:09:21.032,1,,False,,False,True
0 days 00:27:48.791000,VER,33,0 days 00:01:21.035000,6.0,1.0,,,0 days 00:00:27.166000,0 days 00:00:27.090000,0 days 00:00:26.779000,0 days 00:26:54.922000,0 days 00:27:22.012000,0 days 00:27:48.791000,322.0,337.0,312.0,330.0,True,SOFT,6.0,True,Red Bull Racing,0 days 00:26:27.756000,2021-09-10 16:11:27.767,1,,False,,False,True
0 days 00:29:25.574000,VER,33,0 days 00:01:36.783000,7.0,1.0,,0 days 00:29:21.800000,0 days 00:00:30.148000,0 days 00:00:31.318000,0 days 00:00:35.317000,0 days 00:28:18.939000,0 days 00:28:50.257000,0 days 00:29:25.574000,286.0,292.0,,275.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:27:48.791000,2021-09-10 16:12:48.802,1,,False,,False,False
0 days 00:42:59.006000,VER,33,,8.0,2.0,0 days 00:41:06.853000,,,0 days 00:00:41.487000,0 days 00:00:34.225000,,0 days 00:42:24.788000,0 days 00:42:59.027000,253.0,296.0,311.0,167.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:29:25.574000,2021-09-10 16:14:25.585,1,,False,,False,False
0 days 00:44:19.716000,VER,33,0 days 00:01:20.710000,9.0,2.0,,,0 days 00:00:27.053000,0 days 00:00:26.983000,0 days 00:00:26.674000,0 days 00:43:26.059000,0 days 00:43:53.042000,0 days 00:44:19.716000,319.0,330.0,313.0,331.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:59.006000,2021-09-10 16:27:59.017,1,,False,,False,True
0 days 00:46:11.148000,VER,33,0 days 00:01:51.432000,10.0,2.0,,0 days 00:46:07.069000,0 days 00:00:32.914000,0 days 00:00:35.998000,0 days 00:00:42.520000,0 days 00:44:52.630000,0 days 00:45:28.628000,0 days 00:46:11.148000,236.0,281.0,,209.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:44:19.716000,2021-09-10 16:29:19.727,1,,False,,False,False
0 days 00:53:53.329000,VER,33,,11.0,3.0,0 days 00:52:12.542000,,,0 days 00:00:32.822000,0 days 00:00:35.978000,,0 days 00:53:17.355000,0 days 00:53:53.407000,288.0,277.0,314.0,255.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:46:11.148000,2021-09-10 16:31:11.159,1,,False,,False,False
0 days 00:55:13.558000,VER,33,0 days 00:01:20.229000,12.0,3.0,,,0 days 00:00:26.871000,0 days 00:00:26.774000,0 days 00:00:26.584000,0 days 00:54:20.200000,0 days 00:54:46.974000,0 days 00:55:13.558000,321.0,331.0,315.0,334.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:53:53.329000,2021-09-10 16:38:53.340,1,,False,,False,True
