Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:18.386000,VER,33,,1.0,1.0,0 days 00:15:24.412000,,,0 days 00:00:36.435000,0 days 00:00:51.631000,,0 days 00:16:26.895000,0 days 00:17:18.558000,256.0,213.0,276.0,257.0,False,TEST_UNKNOWN,1.0,True,Red Bull Racing,0 days 00:15:24.412000,2021-07-02 13:00:24.681,1,,False,,False,False
0 days 00:18:24.159000,VER,33,0 days 00:01:05.773000,2.0,1.0,,,0 days 00:00:16.910000,0 days 00:00:28.991000,0 days 00:00:19.872000,0 days 00:17:35.296000,0 days 00:18:04.287000,0 days 00:18:24.159000,304.0,243.0,279.0,309.0,True,TEST_UNKNOWN,2.0,True,Red Bull Racing,0 days 00:17:18.386000,2021-07-02 13:02:18.655,1,,False,,False,True
0 days 00:20:15.826000,VER,33,0 days 00:01:51.667000,3.0,1.0,,,0 days 00:00:27.434000,0 days 00:00:49.648000,0 days 00:00:34.585000,0 days 00:18:51.593000,0 days 00:19:41.241000,0 days 00:20:15.826000,155.0,139.0,162.0,163.0,False,TEST_UNKNOWN,3.0,True,Red Bull Racing,0 days 00:18:24.159000,2021-07-02 13:03:24.428,1,,False,,False,True
0 days 00:21:47.738000,VER,33,0 days 00:01:31.912000,4.0,1.0,,,0 days 00:00:29.348000,0 days 00:00:39.122000,0 days 00:00:23.442000,0 days 00:20:45.174000,0 days 00:21:24.296000,0 days 00:21:47.738000,124.0,203.0,276.0,185.0,False,TEST_UNKNOWN,4.0,True,Red Bull Racing,0 days 00:20:15.826000,2021-07-02 13:05:16.095,1,,False,,False,True
0 days 00:22:53.447000,VER,33,0 days 00:01:05.709000,5.0,1.0,,,0 days 00:00:16.757000,0 days 00:00:29.059000,0 days 00:00:19.893000,0 days 00:22:04.495000,0 days 00:22:33.554000,0 days 00:22:53.447000,305.0,243.0,282.0,311.0,True,TEST_UNKNOWN,5.0,True,Red Bull Racing,0 days 00:21:47.738000,2021-07-02 13:06:48.007,1,,False,,False,True
0 days 00:24:23.262000,VER,33,0 days 00:01:29.815000,6.0,1.0,,,0 days 00:00:23.863000,0 days 00:00:42.768000,0 days 00:00:23.184000,0 days 00:23:17.310000,0 days 00:24:00.078000,0 days 00:24:23.262000,157.0,220.0,247.0,189.0,False,TEST_UNKNOWN,6.0,True,Red Bull Racing,0 days 00:22:53.447000,2021-07-02 13:07:53.716,1,,False,,False,True
0 days 00:25:42.661000,VER,33,0 days 00:01:19.399000,7.0,1.0,,0 days 00:25:39.363000,0 days 00:00:19.069000,0 days 00:00:35.095000,0 days 00:00:25.235000,0 days 00:24:42.331000,0 days 00:25:17.426000,0 days 00:25:42.661000,245.0,201.0,,245.0,False,TEST_UNKNOWN,7.0,True,Red Bull Racing,0 days 00:24:23.262000,2021-07-02 13:09:23.531,1,,False,,False,False
0 days 00:31:28.673000,VER,33,,8.0,2.0,0 days 00:29:58.218000,,,0 days 00:00:38.722000,0 days 00:00:33.572000,,0 days 00:30:55.132000,0 days 00:31:29.870000,229.0,187.0,278.0,239.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:25:42.661000,2021-07-02 13:10:42.930,1,,False,,False,False
0 days 00:32:58.785000,VER,33,0 days 00:01:30.112000,9.0,2.0,,,0 days 00:00:16.723000,0 days 00:00:45.105000,0 days 00:00:28.284000,0 days 00:31:45.396000,0 days 00:32:30.501000,0 days 00:32:58.785000,306.0,156.0,279.0,184.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 00:31:28.673000,2021-07-02 13:16:28.942,1,,False,,False,True
0 days 00:34:04.024000,VER,33,0 days 00:01:05.239000,10.0,2.0,,,0 days 00:00:16.582000,0 days 00:00:28.835000,0 days 00:00:19.822000,0 days 00:33:15.367000,0 days 00:33:44.202000,0 days 00:34:04.024000,,246.0,280.0,310.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:32:58.785000,2021-07-02 13:17:59.054,1,,False,,False,True
0 days 00:35:25.059000,VER,33,0 days 00:01:21.035000,11.0,2.0,,0 days 00:35:22.999000,0 days 00:00:18.929000,0 days 00:00:34.874000,0 days 00:00:27.232000,0 days 00:34:22.953000,0 days 00:34:57.827000,0 days 00:35:25.059000,258.0,207.0,,238.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:34:04.024000,2021-07-02 13:19:04.293,1,,False,,False,False
