Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:20:19.049000,VER,33,,1.0,1.0,0 days 00:18:48.377000,,,0 days 00:00:48.484000,0 days 00:00:23.304000,,0 days 00:19:55.926000,0 days 00:20:19.357000,245.0,196.0,284.0,266.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:18:48.377000,2021-07-03 13:04:14.792,1,,False,,False,False
0 days 00:21:23.298000,VER,33,0 days 00:01:04.249000,2.0,1.0,,,0 days 00:00:16.317000,0 days 00:00:28.521000,0 days 00:00:19.411000,0 days 00:20:35.366000,0 days 00:21:03.887000,0 days 00:21:23.298000,312.0,249.0,284.0,311.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:20:19.049000,2021-07-03 13:05:45.464,1,,False,,False,True
0 days 00:23:38.646000,VER,33,0 days 00:02:15.348000,3.0,1.0,,0 days 00:22:53.791000,0 days 00:00:20.794000,0 days 00:00:42.598000,0 days 00:01:11.956000,0 days 00:21:44.092000,0 days 00:22:26.690000,0 days 00:23:38.646000,216.0,167.0,,170.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:21:23.298000,2021-07-03 13:06:49.713,1,,False,,False,False
0 days 00:45:58.103000,VER,33,,4.0,2.0,0 days 00:44:28.309000,,,0 days 00:00:36.382000,0 days 00:00:27.941000,,0 days 00:45:30.162000,0 days 00:45:58.158000,285.0,169.0,286.0,276.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:23:38.646000,2021-07-03 13:09:05.061,1,,False,,False,False
0 days 00:47:02.311000,VER,33,0 days 00:01:04.208000,5.0,2.0,,,0 days 00:00:16.341000,0 days 00:00:28.441000,0 days 00:00:19.426000,0 days 00:46:14.444000,0 days 00:46:42.885000,0 days 00:47:02.311000,314.0,251.0,290.0,312.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:45:58.103000,2021-07-03 13:31:24.518,1,,False,,False,True
0 days 00:48:21.146000,VER,33,0 days 00:01:18.835000,6.0,2.0,,0 days 00:48:17.742000,0 days 00:00:18.389000,0 days 00:00:32.718000,0 days 00:00:27.728000,0 days 00:47:20.700000,0 days 00:47:53.418000,0 days 00:48:21.146000,250.0,226.0,,242.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:47:02.311000,2021-07-03 13:32:28.726,1,,False,,False,False
0 days 00:53:58.273000,VER,33,,7.0,3.0,0 days 00:52:01.453000,,,0 days 00:00:47.591000,0 days 00:00:33.490000,,0 days 00:53:24.817000,0 days 00:53:58.325000,287.0,154.0,286.0,270.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:48:21.146000,2021-07-03 13:33:47.561,1,,False,,False,False
0 days 00:55:02.200000,VER,33,0 days 00:01:03.927000,8.0,3.0,,,0 days 00:00:16.273000,0 days 00:00:28.250000,0 days 00:00:19.404000,0 days 00:54:14.546000,0 days 00:54:42.796000,0 days 00:55:02.200000,312.0,250.0,284.0,313.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:53:58.273000,2021-07-03 13:39:24.688,1,,False,,False,True
0 days 00:56:29.851000,VER,33,0 days 00:01:27.651000,9.0,3.0,,0 days 00:56:26.448000,0 days 00:00:20.695000,0 days 00:00:38.869000,0 days 00:00:28.087000,0 days 00:55:22.895000,0 days 00:56:01.764000,0 days 00:56:29.851000,222.0,188.0,,194.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:55:02.200000,2021-07-03 13:40:28.615,1,,False,,False,False
0 days 01:07:16.840000,VER,33,,10.0,4.0,0 days 01:05:50.985000,,,0 days 00:00:39.039000,0 days 00:00:24.195000,,0 days 01:06:52.733000,0 days 01:07:16.916000,235.0,167.0,289.0,279.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:56:29.851000,2021-07-03 13:41:56.266,1,,False,,False,False
0 days 01:08:20.560000,VER,33,0 days 00:01:03.720000,11.0,4.0,,,0 days 00:00:16.203000,0 days 00:00:28.279000,0 days 00:00:19.238000,0 days 01:07:33.043000,0 days 01:08:01.322000,0 days 01:08:20.560000,312.0,252.0,289.0,315.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:07:16.840000,2021-07-03 13:52:43.255,1,,False,,False,True
0 days 01:09:38.212000,VER,33,0 days 00:01:17.652000,12.0,4.0,,0 days 01:09:34.944000,0 days 00:00:18.632000,0 days 00:00:33.118000,0 days 00:00:25.902000,0 days 01:08:39.192000,0 days 01:09:12.310000,0 days 01:09:38.212000,228.0,221.0,,257.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:08:20.560000,2021-07-03 13:53:46.975,1,,False,,False,False
0 days 01:13:36.955000,VER,33,,13.0,5.0,0 days 01:12:07.971000,,,0 days 00:00:44.485000,0 days 00:00:25.456000,,0 days 01:13:11.602000,0 days 01:13:37.042000,262.0,156.0,287.0,198.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:09:38.212000,2021-07-03 13:55:04.627,1,,False,,False,False
0 days 01:14:40.721000,VER,33,0 days 00:01:03.766000,14.0,5.0,,,0 days 00:00:16.205000,0 days 00:00:28.324000,0 days 00:00:19.237000,0 days 01:13:53.160000,0 days 01:14:21.484000,0 days 01:14:40.721000,311.0,252.0,287.0,310.0,False,SOFT,2.0,True,Red Bull Racing,0 days 01:13:36.955000,2021-07-03 13:59:03.370,1,,False,,False,True
0 days 01:16:13.040000,VER,33,0 days 00:01:32.319000,15.0,5.0,,,0 days 00:00:25.016000,0 days 00:00:35.295000,0 days 00:00:32.008000,0 days 01:15:05.737000,0 days 01:15:41.032000,0 days 01:16:13.040000,214.0,220.0,78.0,234.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:14:40.721000,2021-07-03 14:00:07.136,1,,False,,False,True
