Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:26:39.870000,VER,33,,1.0,1.0,0 days 00:24:43.139000,,,0 days 00:00:48.850000,0 days 00:00:27.896000,,0 days 00:26:12.005000,0 days 00:26:40.024000,174.0,199.0,323.0,301.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:24:43.139000,2021-06-04 08:39:44.925,1,,False,,False,False
0 days 00:28:52.388000,VER,33,0 days 00:02:12.518000,2.0,1.0,,,0 days 00:00:50.231000,0 days 00:00:54.561000,0 days 00:00:27.726000,0 days 00:27:30.101000,0 days 00:28:24.662000,0 days 00:28:52.388000,170.0,142.0,322.0,299.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:26:39.870000,2021-06-04 08:41:41.656,167,,False,,False,False
0 days 00:30:38.608000,VER,33,0 days 00:01:46.220000,3.0,1.0,,,0 days 00:00:37.311000,0 days 00:00:42.537000,0 days 00:00:26.372000,0 days 00:29:29.699000,0 days 00:30:12.236000,0 days 00:30:38.608000,198.0,220.0,311.0,294.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:28:52.388000,2021-06-04 08:43:54.174,1,,False,,False,True
0 days 00:32:40.257000,VER,33,0 days 00:02:01.649000,4.0,1.0,,,0 days 00:00:45.431000,0 days 00:00:49.314000,0 days 00:00:26.904000,0 days 00:31:24.039000,0 days 00:32:13.353000,0 days 00:32:40.257000,172.0,193.0,323.0,294.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:30:38.608000,2021-06-04 08:45:40.394,12,,False,,False,True
0 days 00:34:25.118000,VER,33,0 days 00:01:44.861000,5.0,1.0,,,0 days 00:00:36.870000,0 days 00:00:42.265000,0 days 00:00:25.726000,0 days 00:33:17.127000,0 days 00:33:59.392000,0 days 00:34:25.118000,208.0,221.0,324.0,307.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:32:40.257000,2021-06-04 08:47:42.043,1,,False,,False,True
0 days 00:36:26.740000,VER,33,0 days 00:02:01.622000,6.0,1.0,,0 days 00:36:26.786000,0 days 00:00:41.409000,0 days 00:00:46.995000,0 days 00:00:33.218000,0 days 00:35:06.527000,0 days 00:35:53.522000,0 days 00:36:26.740000,174.0,193.0,,281.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:34:25.118000,2021-06-04 08:49:26.904,1,,False,,False,False
0 days 00:38:56.078000,VER,33,0 days 00:02:29.338000,7.0,2.0,0 days 00:37:05.625000,,0 days 00:01:16.155000,0 days 00:00:46.285000,0 days 00:00:26.898000,0 days 00:37:42.895000,0 days 00:38:29.180000,0 days 00:38:56.078000,190.0,197.0,322.0,292.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:36:26.740000,2021-06-04 08:51:28.526,1,,False,,False,False
0 days 00:40:40.176000,VER,33,0 days 00:01:44.098000,8.0,2.0,,,0 days 00:00:36.677000,0 days 00:00:41.834000,0 days 00:00:25.587000,0 days 00:39:32.755000,0 days 00:40:14.589000,0 days 00:40:40.176000,214.0,221.0,321.0,308.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 00:38:56.078000,2021-06-04 08:53:57.864,1,,False,,False,True
0 days 00:42:43.020000,VER,33,0 days 00:02:02.844000,9.0,2.0,,,0 days 00:00:45.016000,0 days 00:00:50.445000,0 days 00:00:27.383000,0 days 00:41:25.192000,0 days 00:42:15.637000,0 days 00:42:43.020000,181.0,193.0,322.0,291.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:40:40.176000,2021-06-04 08:55:41.962,1,,False,,False,True
0 days 00:44:42.417000,VER,33,0 days 00:01:59.397000,10.0,2.0,,,0 days 00:00:41.015000,0 days 00:00:51.106000,0 days 00:00:27.276000,0 days 00:43:24.035000,0 days 00:44:15.141000,0 days 00:44:42.417000,163.0,190.0,323.0,291.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:42:43.020000,2021-06-04 08:57:44.806,12,,False,,False,True
