Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:18.818000,VER,33,,1.0,1.0,0 days 00:15:46.692000,,,0 days 00:01:17.834000,0 days 00:00:26.828000,,0 days 00:17:51.990000,0 days 00:18:19.042000,176.0,144.0,324.0,297.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:15:46.692000,2021-06-05 12:00:46.702,1,,False,,False,False
0 days 00:30:22.350000,VER,33,,2.0,1.0,,0 days 00:20:35.051000,0 days 00:00:36.015000,,,0 days 00:18:55.037000,,,227.0,,,,False,SOFT,2.0,True,Red Bull Racing,0 days 00:18:18.818000,2021-06-05 12:03:18.828,125,,False,,False,False
0 days 00:32:39.521000,VER,33,,3.0,2.0,0 days 00:30:22.350000,,,0 days 00:01:11.857000,0 days 00:00:26.596000,,0 days 00:32:12.925000,0 days 00:32:39.802000,162.0,188.0,324.0,295.0,False,SOFT,3.0,False,Red Bull Racing,0 days 00:30:22.350000,2021-06-05 12:15:22.360,1,,False,,False,False
0 days 00:34:21.281000,VER,33,0 days 00:01:41.760000,4.0,2.0,,,0 days 00:00:35.570000,0 days 00:00:40.880000,0 days 00:00:25.310000,0 days 00:33:15.091000,0 days 00:33:55.971000,0 days 00:34:21.281000,230.0,234.0,327.0,313.0,True,SOFT,4.0,False,Red Bull Racing,0 days 00:32:39.521000,2021-06-05 12:17:39.531,1,,False,,False,True
0 days 00:45:17.039000,VER,33,,5.0,2.0,,0 days 00:36:50.741000,,,,,,,,,,,False,SOFT,5.0,False,Red Bull Racing,0 days 00:34:21.281000,2021-06-05 12:19:21.291,125,,False,,False,False
0 days 00:47:19.485000,VER,33,,6.0,3.0,0 days 00:45:17.039000,,,0 days 00:00:59.488000,0 days 00:00:26.535000,,0 days 00:46:53.076000,0 days 00:47:19.766000,203.0,193.0,325.0,297.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:45:17.039000,2021-06-05 12:30:17.049,1,,False,,False,False
0 days 00:49:01.604000,VER,33,0 days 00:01:42.119000,7.0,3.0,,,0 days 00:00:35.813000,0 days 00:00:40.848000,0 days 00:00:25.458000,0 days 00:47:55.298000,0 days 00:48:36.146000,0 days 00:49:01.604000,228.0,232.0,325.0,310.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:47:19.485000,2021-06-05 12:32:19.495,1,,False,,False,True
0 days 00:51:09.488000,VER,33,0 days 00:02:07.884000,8.0,3.0,,0 days 00:51:08.250000,0 days 00:00:45.205000,0 days 00:00:48.860000,0 days 00:00:33.819000,0 days 00:49:46.809000,0 days 00:50:35.669000,0 days 00:51:09.488000,171.0,143.0,,293.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:49:01.604000,2021-06-05 12:34:01.614,12,,False,,False,False
0 days 01:03:14.088000,VER,33,,9.0,4.0,0 days 01:01:09.121000,,,0 days 00:00:54.920000,0 days 00:00:26.333000,,0 days 01:02:47.881000,0 days 01:03:14.150000,188.0,203.0,325.0,297.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:51:09.488000,2021-06-05 12:36:09.498,21,,False,,False,False
0 days 01:04:55.844000,VER,33,0 days 00:01:41.756000,10.0,4.0,,,0 days 00:00:35.365000,0 days 00:00:40.930000,0 days 00:00:25.461000,0 days 01:03:49.453000,0 days 01:04:30.383000,0 days 01:04:55.844000,231.0,231.0,324.0,312.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:14.088000,2021-06-05 12:48:14.098,1,,False,,False,True
