Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:35:52.902000,VER,33,0 days 00:01:53.236000,1.0,1.0,,,,0 days 00:00:44.496000,0 days 00:00:25.909000,,0 days 00:35:27.072000,0 days 00:35:53.122000,185.0,199.0,313.0,316.0,False,SOFT,2.0,False,Red Bull Racing,0 days 00:33:59.522000,2021-06-06 12:03:59.531,1,3.0,False,,False,False
0 days 00:37:42.452000,VER,33,0 days 00:01:49.550000,2.0,1.0,,,0 days 00:00:39.138000,0 days 00:00:44.561000,0 days 00:00:25.851000,0 days 00:36:32.083000,0 days 00:37:16.644000,0 days 00:37:42.495000,194.0,201.0,312.0,316.0,True,SOFT,3.0,False,Red Bull Racing,0 days 00:35:52.902000,2021-06-06 12:05:52.911,1,3.0,False,,False,True
0 days 00:39:30.492000,VER,33,0 days 00:01:48.040000,3.0,1.0,,,0 days 00:00:38.910000,0 days 00:00:43.786000,0 days 00:00:25.344000,0 days 00:38:21.405000,0 days 00:39:05.191000,0 days 00:39:30.535000,193.0,205.0,338.0,318.0,True,SOFT,4.0,False,Red Bull Racing,0 days 00:37:42.452000,2021-06-06 12:07:42.461,1,3.0,False,,False,True
0 days 00:41:18.318000,VER,33,0 days 00:01:47.826000,4.0,1.0,,,0 days 00:00:38.770000,0 days 00:00:43.614000,0 days 00:00:25.442000,0 days 00:40:09.305000,0 days 00:40:52.919000,0 days 00:41:18.361000,194.0,202.0,332.0,319.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:39:30.492000,2021-06-06 12:09:30.501,12,3.0,False,,False,True
0 days 00:43:05.425000,VER,33,0 days 00:01:47.107000,5.0,1.0,,,0 days 00:00:38.344000,0 days 00:00:43.467000,0 days 00:00:25.296000,0 days 00:41:56.705000,0 days 00:42:40.172000,0 days 00:43:05.468000,198.0,209.0,344.0,320.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:41:18.318000,2021-06-06 12:11:18.327,1,3.0,False,,False,True
0 days 00:44:52.973000,VER,33,0 days 00:01:47.548000,6.0,1.0,,,0 days 00:00:38.583000,0 days 00:00:43.631000,0 days 00:00:25.334000,0 days 00:43:44.051000,0 days 00:44:27.682000,0 days 00:44:53.016000,194.0,201.0,336.0,321.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:43:05.425000,2021-06-06 12:13:05.434,1,2.0,False,,False,True
0 days 00:46:40.191000,VER,33,0 days 00:01:47.218000,7.0,1.0,,,0 days 00:00:38.270000,0 days 00:00:43.098000,0 days 00:00:25.850000,0 days 00:45:31.286000,0 days 00:46:14.384000,0 days 00:46:40.234000,202.0,204.0,308.0,313.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:44:52.973000,2021-06-06 12:14:52.982,1,2.0,False,,False,True
0 days 00:48:27.340000,VER,33,0 days 00:01:47.149000,8.0,1.0,,,0 days 00:00:38.049000,0 days 00:00:43.179000,0 days 00:00:25.921000,0 days 00:47:18.283000,0 days 00:48:01.462000,0 days 00:48:27.383000,205.0,204.0,308.0,313.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:46:40.191000,2021-06-06 12:16:40.200,1,2.0,False,,False,True
0 days 00:50:14.465000,VER,33,0 days 00:01:47.125000,9.0,1.0,,,0 days 00:00:38.131000,0 days 00:00:43.142000,0 days 00:00:25.852000,0 days 00:49:05.514000,0 days 00:49:48.656000,0 days 00:50:14.508000,204.0,206.0,309.0,314.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:48:27.340000,2021-06-06 12:18:27.349,1,2.0,False,,False,True
0 days 00:52:01.760000,VER,33,0 days 00:01:47.295000,10.0,1.0,,,0 days 00:00:38.147000,0 days 00:00:43.339000,0 days 00:00:25.809000,0 days 00:50:52.655000,0 days 00:51:35.994000,0 days 00:52:01.803000,200.0,206.0,310.0,313.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:50:14.465000,2021-06-06 12:20:14.474,1,2.0,False,,False,True
