Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:37:55.573000,VER,33,,1.0,1.0,0 days 00:35:37.381000,,,0 days 00:00:51.936000,0 days 00:00:49.170000,,0 days 00:37:06.403000,0 days 00:37:55.750000,127.0,119.0,215.0,232.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:35:37.381000,2021-10-23 18:20:38.284,1,,False,,False,False
0 days 00:39:30.780000,VER,33,0 days 00:01:35.207000,2.0,1.0,,,0 days 00:00:25.603000,0 days 00:00:38.280000,0 days 00:00:31.324000,0 days 00:38:21.176000,0 days 00:38:59.456000,0 days 00:39:30.780000,231.0,191.0,211.0,310.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:37:55.573000,2021-10-23 18:22:56.476,1,,False,,False,True
0 days 00:42:03.370000,VER,33,,3.0,1.0,,,0 days 00:00:39.972000,0 days 00:01:02.642000,0 days 00:00:50.007000,0 days 00:40:10.721000,0 days 00:41:13.408000,0 days 00:42:03.496000,123.0,125.0,145.0,180.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:39:30.780000,2021-10-23 18:24:31.683,12,,False,,False,False
0 days 00:44:34.042000,VER,33,,4.0,1.0,,,0 days 00:00:40.826000,0 days 00:01:00.937000,0 days 00:00:48.912000,0 days 00:42:45.347000,0 days 00:43:45.191000,0 days 00:44:35.512000,147.0,134.0,216.0,247.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:42:03.370000,2021-10-23 18:27:04.273,1,,False,,False,False
0 days 00:46:08.954000,VER,33,0 days 00:01:34.912000,5.0,1.0,,,0 days 00:00:25.416000,0 days 00:00:38.396000,0 days 00:00:31.100000,0 days 00:44:59.458000,0 days 00:45:37.854000,0 days 00:46:08.954000,231.0,192.0,210.0,311.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:44:34.042000,2021-10-23 18:29:34.945,12,,False,,False,True
0 days 00:47:54.176000,VER,33,0 days 00:01:45.222000,6.0,1.0,,0 days 00:47:53.202000,0 days 00:00:28.687000,0 days 00:00:42.253000,0 days 00:00:34.282000,0 days 00:46:37.641000,0 days 00:47:19.894000,0 days 00:47:54.176000,200.0,175.0,,265.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:46:08.954000,2021-10-23 18:31:09.857,1,,False,,False,False
0 days 00:50:07.775000,VER,33,0 days 00:02:13.599000,7.0,2.0,0 days 00:48:25.662000,0 days 00:50:07.170000,0 days 00:00:56.935000,0 days 00:00:42.007000,0 days 00:00:34.657000,0 days 00:48:51.111000,0 days 00:49:33.118000,0 days 00:50:07.775000,200.0,175.0,,262.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:47:54.176000,2021-10-23 18:32:55.079,1,,False,,False,False
0 days 01:05:09.637000,VER,33,,8.0,3.0,0 days 01:02:49.852000,,,0 days 00:00:57.053000,0 days 00:00:45.214000,,0 days 01:04:24.497000,0 days 01:05:12.362000,126.0,121.0,216.0,235.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:50:07.775000,2021-10-23 18:35:08.678,1,,False,,False,False
0 days 01:06:44.020000,VER,33,0 days 00:01:34.383000,9.0,3.0,,,0 days 00:00:25.323000,0 days 00:00:38.043000,0 days 00:00:31.017000,0 days 01:05:34.960000,0 days 01:06:13.003000,0 days 01:06:44.020000,231.0,192.0,211.0,314.0,False,SOFT,2.0,True,Red Bull Racing,0 days 01:05:09.637000,2021-10-23 18:50:10.540,1,,True,TRACK LIMITS AT TURN 19,False,True
0 days 01:09:37.959000,VER,33,,10.0,3.0,,,0 days 00:00:51.389000,0 days 00:01:08.462000,0 days 00:00:54.050000,0 days 01:07:35.447000,0 days 01:08:43.930000,0 days 01:09:38.002000,110.0,115.0,119.0,175.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:06:44.020000,2021-10-23 18:51:44.923,1,,False,,False,False
0 days 01:12:15.506000,VER,33,,11.0,3.0,,,0 days 00:00:45.500000,0 days 00:00:58.092000,0 days 00:00:53.981000,0 days 01:10:23.459000,0 days 01:11:21.762000,0 days 01:12:15.665000,121.0,127.0,217.0,219.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:09:37.959000,2021-10-23 18:54:38.862,1,,False,,False,False
0 days 01:14:07.254000,VER,33,0 days 00:01:51.748000,12.0,3.0,,0 days 01:14:07.311000,0 days 00:00:25.384000,0 days 00:00:51.351000,0 days 00:00:35.013000,0 days 01:12:40.890000,0 days 01:13:32.241000,0 days 01:14:07.254000,230.0,167.0,,251.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:12:15.506000,2021-10-23 18:57:16.409,1,,False,,False,False
0 days 01:16:26.824000,VER,33,0 days 00:02:19.570000,13.0,4.0,0 days 01:14:40.988000,0 days 01:16:25.859000,0 days 00:01:02.189000,0 days 00:00:43.755000,0 days 00:00:33.626000,0 days 01:15:09.443000,0 days 01:15:53.198000,0 days 01:16:26.824000,182.0,173.0,,264.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:14:07.254000,2021-10-23 18:59:08.157,1,,False,,False,False
