Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:21:44.456000,VER,33,0 days 00:02:07.094000,1.0,1.0,0 days 00:19:40.084000,,0 days 00:00:40.239000,0 days 00:00:38.517000,0 days 00:00:48.338000,0 days 00:20:17.631000,0 days 00:20:56.158000,0 days 00:21:44.655000,173.0,270.0,302.0,190.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:19:40.084000,2021-11-19 14:04:40.098,1,,False,,False,False
0 days 00:23:08.741000,VER,33,0 days 00:01:24.285000,2.0,1.0,,,0 days 00:00:27.762000,0 days 00:00:28.257000,0 days 00:00:28.266000,0 days 00:22:12.218000,0 days 00:22:40.475000,0 days 00:23:08.741000,243.0,278.0,309.0,310.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:21:44.456000,2021-11-19 14:06:44.470,1,,False,,False,True
0 days 00:25:21.291000,VER,33,0 days 00:02:12.550000,3.0,1.0,,,0 days 00:00:43.991000,0 days 00:00:50.665000,0 days 00:00:37.894000,0 days 00:23:52.732000,0 days 00:24:43.397000,0 days 00:25:21.291000,126.0,148.0,301.0,298.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:23:08.741000,2021-11-19 14:08:08.755,1,,False,,False,True
0 days 00:26:45.034000,VER,33,0 days 00:01:23.743000,4.0,1.0,,,0 days 00:00:27.556000,0 days 00:00:28.218000,0 days 00:00:27.969000,0 days 00:25:48.847000,0 days 00:26:17.065000,0 days 00:26:45.034000,241.0,279.0,304.0,308.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:25:21.291000,2021-11-19 14:10:21.305,1,,False,,False,True
0 days 00:29:04.819000,VER,33,0 days 00:02:19.785000,5.0,1.0,,,0 days 00:00:47.769000,0 days 00:00:50.594000,0 days 00:00:41.422000,0 days 00:27:32.803000,0 days 00:28:23.397000,0 days 00:29:04.819000,113.0,165.0,285.0,299.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:26:45.034000,2021-11-19 14:11:45.048,1,,False,,False,True
0 days 00:30:30.324000,VER,33,0 days 00:01:25.505000,6.0,1.0,,,0 days 00:00:27.754000,0 days 00:00:28.171000,0 days 00:00:29.580000,0 days 00:29:32.573000,0 days 00:30:00.744000,0 days 00:30:30.324000,246.0,279.0,272.0,287.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:29:04.819000,2021-11-19 14:14:04.833,1,,False,,False,True
0 days 00:47:32.234000,VER,33,,7.0,1.0,,0 days 00:32:02.011000,0 days 00:00:31.241000,0 days 00:00:30.405000,,0 days 00:31:01.605000,0 days 00:31:32.013000,,218.0,261.0,,270.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:30:30.324000,2021-11-19 14:15:30.338,1,,False,,False,False
0 days 00:49:42.735000,VER,33,0 days 00:02:10.501000,8.0,2.0,0 days 00:47:34.947000,,0 days 00:00:46.279000,0 days 00:00:43.049000,0 days 00:00:41.173000,0 days 00:48:18.513000,0 days 00:49:01.562000,0 days 00:49:42.735000,169.0,207.0,296.0,177.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:47:32.234000,2021-11-19 14:32:32.248,1,,False,,False,False
0 days 00:51:06.314000,VER,33,0 days 00:01:23.579000,9.0,2.0,,,0 days 00:00:27.387000,0 days 00:00:28.149000,0 days 00:00:28.043000,0 days 00:50:10.122000,0 days 00:50:38.271000,0 days 00:51:06.314000,247.0,275.0,305.0,302.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:49:42.735000,2021-11-19 14:34:42.749,1,,False,,False,True
0 days 00:53:44.858000,VER,33,,10.0,2.0,,0 days 00:53:21.207000,0 days 00:00:42.152000,0 days 00:00:46.693000,0 days 00:01:09.705000,0 days 00:51:48.815000,0 days 00:52:35.153000,0 days 00:53:47.461000,143.0,168.0,,293.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:51:06.314000,2021-11-19 14:36:06.328,1,,False,,False,False
0 days 00:55:59.219000,VER,33,0 days 00:02:14.361000,11.0,3.0,0 days 00:53:47.567000,,0 days 00:00:49.571000,0 days 00:00:44.107000,0 days 00:00:40.683000,0 days 00:54:34.429000,0 days 00:55:18.536000,0 days 00:55:59.219000,156.0,226.0,298.0,170.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:53:44.858000,2021-11-19 14:38:44.872,1,,False,,False,False
0 days 00:57:22.717000,VER,33,0 days 00:01:23.498000,12.0,3.0,,,0 days 00:00:27.351000,0 days 00:00:28.075000,0 days 00:00:28.072000,0 days 00:56:26.570000,0 days 00:56:54.645000,0 days 00:57:22.717000,245.0,277.0,302.0,304.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:55:59.219000,2021-11-19 14:40:59.233,12,,False,,False,True
0 days 01:06:12.472000,VER,33,,13.0,3.0,,0 days 00:58:52.157000,0 days 00:00:30.160000,0 days 00:00:30.443000,,0 days 00:57:52.990000,0 days 00:58:23.332000,,222.0,254.0,,298.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:57:22.717000,2021-11-19 14:42:22.731,1,,False,,False,False
0 days 01:08:03.947000,VER,33,0 days 00:01:51.475000,14.0,4.0,0 days 01:06:17.136000,,0 days 00:00:48.141000,0 days 00:00:29.971000,0 days 00:00:33.363000,0 days 01:07:00.613000,0 days 01:07:30.584000,0 days 01:08:03.947000,228.0,268.0,286.0,205.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:06:12.472000,2021-11-19 14:51:12.486,1,,False,,False,False
0 days 01:09:32.343000,VER,33,0 days 00:01:28.396000,15.0,4.0,,,0 days 00:00:29.200000,0 days 00:00:29.702000,0 days 00:00:29.494000,0 days 01:08:33.147000,0 days 01:09:02.849000,0 days 01:09:32.343000,229.0,270.0,289.0,291.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:08:03.947000,2021-11-19 14:53:03.961,1,,False,,False,True
0 days 01:11:00.606000,VER,33,0 days 00:01:28.263000,16.0,4.0,,,0 days 00:00:29.037000,0 days 00:00:29.822000,0 days 00:00:29.404000,0 days 01:10:01.380000,0 days 01:10:31.202000,0 days 01:11:00.606000,230.0,270.0,291.0,294.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:09:32.343000,2021-11-19 14:54:32.357,1,,False,,False,True
0 days 01:12:34.022000,VER,33,0 days 00:01:33.416000,17.0,4.0,,,0 days 00:00:29.348000,0 days 00:00:30.057000,0 days 00:00:34.011000,0 days 01:11:29.954000,0 days 01:12:00.011000,0 days 01:12:34.022000,228.0,267.0,292.0,,False,SOFT,10.0,False,Red Bull Racing,0 days 01:11:00.606000,2021-11-19 14:56:00.620,1,,False,,False,True
0 days 01:14:02.198000,VER,33,0 days 00:01:28.176000,18.0,4.0,,,0 days 00:00:28.978000,0 days 00:00:29.779000,0 days 00:00:29.419000,0 days 01:13:03,0 days 01:13:32.779000,0 days 01:14:02.198000,233.0,271.0,296.0,292.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:12:34.022000,2021-11-19 14:57:34.036,1,,False,,False,True
0 days 01:15:30.878000,VER,33,0 days 00:01:28.680000,19.0,4.0,,,0 days 00:00:29.181000,0 days 00:00:30.057000,0 days 00:00:29.442000,0 days 01:14:31.379000,0 days 01:15:01.436000,0 days 01:15:30.878000,227.0,269.0,295.0,298.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:14:02.198000,2021-11-19 14:59:02.212,1,,False,,False,True
0 days 01:17:11.052000,VER,33,,20.0,4.0,,0 days 01:17:11.052000,0 days 00:00:33.207000,0 days 00:00:35.880000,,0 days 01:16:04.127000,0 days 01:16:39.965000,,215.0,139.0,,292.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:15:30.878000,2021-11-19 15:00:30.892,1,,False,,False,False
