Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:20:47.443000,VER,33,0 days 00:02:14.284000,1.0,1.0,0 days 00:18:35.892000,,0 days 00:00:50.852000,0 days 00:00:41.668000,0 days 00:00:41.764000,0 days 00:19:24.200000,0 days 00:20:05.809000,0 days 00:20:47.724000,95.0,261.0,310.0,158.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:18:35.892000,2021-11-20 14:03:35.902,1,,False,,False,False
0 days 00:22:09.677000,VER,33,0 days 00:01:22.234000,2.0,1.0,,,0 days 00:00:26.910000,0 days 00:00:27.465000,0 days 00:00:27.859000,0 days 00:21:14.353000,0 days 00:21:41.818000,0 days 00:22:09.677000,249.0,278.0,313.0,319.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:20:47.443000,2021-11-20 14:05:47.453,1,,False,,False,True
0 days 00:24:34.240000,VER,33,0 days 00:02:24.563000,3.0,1.0,,,0 days 00:00:43.771000,0 days 00:00:48.378000,0 days 00:00:52.414000,0 days 00:22:53.448000,0 days 00:23:41.826000,0 days 00:24:34.240000,148.0,152.0,242.0,309.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:22:09.677000,2021-11-20 14:07:09.687,1,,False,,False,True
0 days 00:26:49.066000,VER,33,0 days 00:02:14.826000,4.0,1.0,,,0 days 00:00:47.909000,0 days 00:00:46.442000,0 days 00:00:40.475000,0 days 00:25:22.149000,0 days 00:26:08.591000,0 days 00:26:49.066000,132.0,213.0,307.0,212.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:24:34.240000,2021-11-20 14:09:34.250,1,,False,,False,True
0 days 00:28:11.062000,VER,33,0 days 00:01:21.996000,5.0,1.0,,,0 days 00:00:26.891000,0 days 00:00:27.276000,0 days 00:00:27.829000,0 days 00:27:15.957000,0 days 00:27:43.233000,0 days 00:28:11.062000,249.0,277.0,302.0,314.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:26:49.066000,2021-11-20 14:11:49.076,1,,False,,False,True
0 days 00:41:33.664000,VER,33,,6.0,1.0,,0 days 00:29:44.815000,0 days 00:00:33.116000,0 days 00:00:30.776000,,0 days 00:28:44.243000,0 days 00:29:14.986000,,216.0,246.0,,272.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:28:11.062000,2021-11-20 14:13:11.072,1,,False,,False,False
0 days 00:43:41.306000,VER,33,0 days 00:02:07.642000,7.0,2.0,0 days 00:41:40.424000,,0 days 00:00:56.634000,0 days 00:00:35.945000,0 days 00:00:35.063000,0 days 00:42:30.298000,0 days 00:43:06.243000,0 days 00:43:41.306000,191.0,256.0,311.0,77.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:41:33.664000,2021-11-20 14:26:33.674,1,,False,,False,False
0 days 00:45:03.290000,VER,33,0 days 00:01:21.984000,8.0,2.0,,,0 days 00:00:26.924000,0 days 00:00:27.349000,0 days 00:00:27.711000,0 days 00:44:08.230000,0 days 00:44:35.579000,0 days 00:45:03.290000,249.0,279.0,317.0,320.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:43:41.306000,2021-11-20 14:28:41.316,1,,False,,False,True
0 days 00:52:25.274000,VER,33,,9.0,2.0,,0 days 00:46:48.201000,0 days 00:00:36.020000,0 days 00:00:35.394000,,0 days 00:45:39.344000,0 days 00:46:14.710000,,189.0,239.0,,311.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:45:03.290000,2021-11-20 14:30:03.300,1,,False,,False,False
0 days 00:54:33.267000,VER,33,0 days 00:02:07.993000,10.0,3.0,0 days 00:52:27.858000,,0 days 00:00:46.734000,0 days 00:00:38.288000,0 days 00:00:42.971000,0 days 00:53:12.008000,0 days 00:53:50.296000,0 days 00:54:33.267000,158.0,230.0,311.0,180.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:52:25.274000,2021-11-20 14:37:25.284,1,,False,,False,False
0 days 00:55:56.900000,VER,33,0 days 00:01:23.633000,11.0,3.0,,,0 days 00:00:26.649000,0 days 00:00:27.221000,0 days 00:00:29.763000,0 days 00:54:59.916000,0 days 00:55:27.137000,0 days 00:55:56.900000,251.0,279.0,216.0,320.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:54:33.267000,2021-11-20 14:39:33.277,1,,False,,False,True
0 days 01:04:09.671000,VER,33,,12.0,3.0,,0 days 00:57:37.295000,0 days 00:00:35.042000,0 days 00:00:32.522000,,0 days 00:56:31.939000,0 days 00:57:04.448000,,199.0,246.0,,252.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:55:56.900000,2021-11-20 14:40:56.910,1,,False,,False,False
0 days 01:06:15.908000,VER,33,0 days 00:02:06.237000,13.0,4.0,0 days 01:04:12.270000,,0 days 00:00:46.578000,0 days 00:00:39.992000,0 days 00:00:39.667000,0 days 01:04:56.249000,0 days 01:05:36.241000,0 days 01:06:15.908000,165.0,224.0,310.0,188.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:04:09.671000,2021-11-20 14:49:09.681,1,,False,,False,False
