Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:26.061000,VER,33,0 days 00:01:37.292000,1.0,1.0,,,,0 days 00:00:30.461000,0 days 00:00:30.451000,,0 days 01:03:55.689000,0 days 01:04:26.246000,224.0,278.0,297.0,253.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 01:02:48.573000,2021-11-21 14:03:48.583,1,4.0,False,,False,False
0 days 01:05:56.633000,VER,33,0 days 00:01:30.572000,2.0,1.0,,,0 days 00:00:29.910000,0 days 00:00:30.080000,0 days 00:00:30.582000,0 days 01:04:55.986000,0 days 01:05:26.066000,0 days 01:05:56.648000,230.0,273.0,299.0,302.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 01:04:26.061000,2021-11-21 14:05:26.071,1,4.0,False,,False,True
0 days 01:07:26.713000,VER,33,0 days 00:01:30.080000,3.0,1.0,,,0 days 00:00:29.863000,0 days 00:00:30.053000,0 days 00:00:30.164000,0 days 01:06:26.511000,0 days 01:06:56.564000,0 days 01:07:26.728000,,273.0,310.0,306.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 01:05:56.633000,2021-11-21 14:06:56.643,1,3.0,False,,False,True
0 days 01:08:56.549000,VER,33,0 days 00:01:29.836000,4.0,1.0,,,0 days 00:00:29.236000,0 days 00:00:30.190000,0 days 00:00:30.410000,0 days 01:07:55.964000,0 days 01:08:26.154000,0 days 01:08:56.564000,232.0,273.0,317.0,317.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 01:07:26.713000,2021-11-21 14:08:26.723,1,3.0,False,,False,True
0 days 01:10:24.715000,VER,33,0 days 00:01:28.166000,5.0,1.0,,,0 days 00:00:28.745000,0 days 00:00:29.525000,0 days 00:00:29.896000,0 days 01:09:25.309000,0 days 01:09:54.834000,0 days 01:10:24.730000,233.0,266.0,293.0,322.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 01:08:56.549000,2021-11-21 14:09:56.559,1,2.0,False,,False,True
0 days 01:11:53.112000,VER,33,0 days 00:01:28.397000,6.0,1.0,,,0 days 00:00:29.176000,0 days 00:00:29.413000,0 days 00:00:29.808000,0 days 01:10:53.906000,0 days 01:11:23.319000,0 days 01:11:53.127000,232.0,268.0,293.0,297.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:10:24.715000,2021-11-21 14:11:24.725,1,2.0,False,,False,True
0 days 01:13:22.181000,VER,33,0 days 00:01:29.069000,7.0,1.0,,,0 days 00:00:29.724000,0 days 00:00:29.477000,0 days 00:00:29.868000,0 days 01:12:22.851000,0 days 01:12:52.328000,0 days 01:13:22.196000,231.0,269.0,293.0,299.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:11:53.112000,2021-11-21 14:12:53.122,1,2.0,False,,False,True
0 days 01:14:50.520000,VER,33,0 days 00:01:28.339000,8.0,1.0,,,0 days 00:00:28.989000,0 days 00:00:29.490000,0 days 00:00:29.860000,0 days 01:13:51.185000,0 days 01:14:20.675000,0 days 01:14:50.535000,234.0,267.0,294.0,,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:13:22.181000,2021-11-21 14:14:22.191,1,2.0,False,,False,True
0 days 01:16:18.978000,VER,33,0 days 00:01:28.458000,9.0,1.0,,,0 days 00:00:28.933000,0 days 00:00:29.555000,0 days 00:00:29.970000,0 days 01:15:19.468000,0 days 01:15:49.023000,0 days 01:16:18.993000,,268.0,293.0,300.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:14:50.520000,2021-11-21 14:15:50.530,1,2.0,False,,False,True
0 days 01:17:47.360000,VER,33,0 days 00:01:28.382000,10.0,1.0,,,0 days 00:00:28.954000,0 days 00:00:29.516000,0 days 00:00:29.912000,0 days 01:16:47.947000,0 days 01:17:17.463000,0 days 01:17:47.375000,233.0,268.0,293.0,299.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:16:18.978000,2021-11-21 14:17:18.988,1,2.0,False,,False,True
