Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:43:02.827000,VER,33,,1.0,1.0,0 days 00:41:35.754000,,,0 days 00:00:38.980000,0 days 00:00:32.049000,,0 days 00:42:30.859000,0 days 00:43:03.010000,262.0,183.0,284.0,276.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:41:35.754000,2021-07-03 10:28:55.818,1,,False,,False,False
0 days 00:44:07.768000,VER,33,0 days 00:01:04.941000,2.0,1.0,,,0 days 00:00:16.471000,0 days 00:00:28.804000,0 days 00:00:19.666000,0 days 00:43:19.298000,0 days 00:43:48.102000,0 days 00:44:07.768000,311.0,247.0,287.0,304.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:43:02.827000,2021-07-03 10:30:22.891,12,,False,,False,True
0 days 00:46:01.391000,VER,33,0 days 00:01:53.623000,3.0,1.0,,,0 days 00:00:26.194000,0 days 00:00:51.672000,0 days 00:00:35.757000,0 days 00:44:33.962000,0 days 00:45:25.634000,0 days 00:46:01.391000,168.0,125.0,172.0,150.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:44:07.768000,2021-07-03 10:31:27.832,1,,False,,False,True
0 days 00:47:45.928000,VER,33,0 days 00:01:44.537000,4.0,1.0,,,0 days 00:00:27.439000,0 days 00:00:48.784000,0 days 00:00:28.314000,0 days 00:46:28.830000,0 days 00:47:17.614000,0 days 00:47:45.928000,160.0,115.0,283.0,256.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:46:01.391000,2021-07-03 10:33:21.455,1,,False,,False,True
0 days 00:48:51.019000,VER,33,0 days 00:01:05.091000,5.0,1.0,,,0 days 00:00:16.521000,0 days 00:00:28.829000,0 days 00:00:19.741000,0 days 00:48:02.449000,0 days 00:48:31.278000,0 days 00:48:51.019000,307.0,243.0,283.0,309.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:47:45.928000,2021-07-03 10:35:05.992,1,,False,,False,True
0 days 00:50:08.616000,VER,33,0 days 00:01:17.597000,6.0,1.0,,0 days 00:50:05.344000,0 days 00:00:19.305000,0 days 00:00:32.390000,0 days 00:00:25.902000,0 days 00:49:10.324000,0 days 00:49:42.714000,0 days 00:50:08.616000,265.0,210.0,,252.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:48:51.019000,2021-07-03 10:36:11.083,1,,False,,False,False
0 days 01:04:08.509000,VER,33,,7.0,2.0,0 days 01:02:33.108000,,,0 days 00:00:44.252000,0 days 00:00:32.348000,,0 days 01:03:36.256000,0 days 01:04:08.704000,219.0,127.0,286.0,253.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:50:08.616000,2021-07-03 10:37:28.680,1,,False,,False,False
0 days 01:05:13.100000,VER,33,0 days 00:01:04.591000,8.0,2.0,,,0 days 00:00:16.488000,0 days 00:00:28.609000,0 days 00:00:19.494000,0 days 01:04:24.997000,0 days 01:04:53.606000,0 days 01:05:13.100000,308.0,245.0,286.0,309.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:04:08.509000,2021-07-03 10:51:28.573,1,,False,,False,True
0 days 01:06:34.411000,VER,33,0 days 00:01:21.311000,9.0,2.0,,0 days 01:06:31.134000,0 days 00:00:19.255000,0 days 00:00:33.394000,0 days 00:00:28.662000,0 days 01:05:32.355000,0 days 01:06:05.749000,0 days 01:06:34.411000,240.0,208.0,,261.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:05:13.100000,2021-07-03 10:52:33.164,1,,False,,False,False
0 days 01:08:43.770000,VER,33,0 days 00:02:09.359000,10.0,3.0,0 days 01:07:11.936000,,0 days 00:00:56.603000,0 days 00:00:43.705000,0 days 00:00:29.051000,0 days 01:07:31.014000,0 days 01:08:14.719000,0 days 01:08:43.770000,217.0,137.0,280.0,190.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:06:34.411000,2021-07-03 10:53:54.475,1,,False,,False,False
0 days 01:09:49.248000,VER,33,0 days 00:01:05.478000,11.0,3.0,,,0 days 00:00:16.729000,0 days 00:00:28.951000,0 days 00:00:19.798000,0 days 01:09:00.499000,0 days 01:09:29.450000,0 days 01:09:49.248000,306.0,244.0,282.0,305.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:08:43.770000,2021-07-03 10:56:03.834,1,,False,,False,True
0 days 01:11:09.471000,VER,33,0 days 00:01:20.223000,12.0,3.0,,0 days 01:11:06.444000,0 days 00:00:19.187000,0 days 00:00:34.220000,0 days 00:00:26.816000,0 days 01:10:08.435000,0 days 01:10:42.655000,0 days 01:11:09.471000,237.0,213.0,,235.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:09:49.248000,2021-07-03 10:57:09.312,1,,False,,False,False
0 days 01:12:56.650000,VER,33,0 days 00:01:47.179000,13.0,4.0,0 days 01:11:31.877000,,0 days 00:00:40.374000,0 days 00:00:38.902000,0 days 00:00:27.903000,0 days 01:11:49.845000,0 days 01:12:28.747000,0 days 01:12:56.650000,225.0,216.0,204.0,227.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:11:09.471000,2021-07-03 10:58:29.535,1,,False,,False,False
0 days 01:14:45.841000,VER,33,0 days 00:01:49.191000,14.0,4.0,,,0 days 00:00:21.904000,0 days 00:00:38.437000,0 days 00:00:48.850000,0 days 01:13:18.554000,0 days 01:13:56.991000,0 days 01:14:45.841000,268.0,153.0,46.0,212.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:12:56.650000,2021-07-03 11:00:16.714,1,,False,,False,True
0 days 01:16:43.758000,VER,33,0 days 00:01:57.917000,15.0,4.0,,0 days 01:16:42.309000,0 days 00:00:57.683000,0 days 00:00:34.024000,0 days 00:00:26.210000,0 days 01:15:43.524000,0 days 01:16:17.548000,0 days 01:16:43.758000,292.0,225.0,,183.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:14:45.841000,2021-07-03 11:02:05.905,1,,False,,False,False
