Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:23.451000,VER,33,0 days 00:01:27.835000,1.0,1.0,,,,0 days 00:00:30.727000,0 days 00:00:37.013000,,0 days 01:02:46.483000,0 days 01:03:23.665000,291.0,229.0,184.0,285.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 01:01:55.477000,2021-07-04 13:02:55.489,14,1.0,False,,False,False
0 days 01:05:15.780000,VER,33,0 days 00:01:52.329000,2.0,1.0,,,0 days 00:00:21.835000,0 days 00:00:54.595000,0 days 00:00:35.899000,0 days 01:03:45.295000,0 days 01:04:39.890000,0 days 01:05:15.789000,142.0,120.0,206.0,143.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 01:03:23.451000,2021-07-04 13:04:23.463,4,1.0,False,,False,False
0 days 01:07:12.344000,VER,33,0 days 00:01:56.564000,3.0,1.0,,,0 days 00:00:26.061000,0 days 00:00:43.423000,0 days 00:00:47.080000,0 days 01:05:41.850000,0 days 01:06:25.273000,0 days 01:07:12.353000,162.0,171.0,233.0,235.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 01:05:15.780000,2021-07-04 13:06:15.792,41,1.0,False,,False,False
0 days 01:08:22.143000,VER,33,0 days 00:01:09.799000,4.0,1.0,,,0 days 00:00:17.802000,0 days 00:00:30.663000,0 days 00:00:21.334000,0 days 01:07:30.155000,0 days 01:08:00.818000,0 days 01:08:22.152000,290.0,229.0,269.0,290.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 01:07:12.344000,2021-07-04 13:08:12.356,1,1.0,False,,False,True
0 days 01:09:31.878000,VER,33,0 days 00:01:09.735000,5.0,1.0,,,0 days 00:00:17.619000,0 days 00:00:30.770000,0 days 00:00:21.346000,0 days 01:08:39.771000,0 days 01:09:10.541000,0 days 01:09:31.887000,,231.0,269.0,287.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 01:08:22.143000,2021-07-04 13:09:22.155,1,1.0,False,,False,True
0 days 01:10:41.329000,VER,33,0 days 00:01:09.451000,6.0,1.0,,,0 days 00:00:17.586000,0 days 00:00:30.629000,0 days 00:00:21.236000,0 days 01:09:49.473000,0 days 01:10:20.102000,0 days 01:10:41.338000,291.0,230.0,270.0,286.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 01:09:31.878000,2021-07-04 13:10:31.890,1,1.0,False,,False,True
0 days 01:11:50.611000,VER,33,0 days 00:01:09.282000,7.0,1.0,,,0 days 00:00:17.447000,0 days 00:00:30.707000,0 days 00:00:21.128000,0 days 01:10:58.785000,0 days 01:11:29.492000,0 days 01:11:50.620000,292.0,230.0,269.0,284.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 01:10:41.329000,2021-07-04 13:11:41.341,1,1.0,False,,False,True
0 days 01:12:59.938000,VER,33,0 days 00:01:09.327000,8.0,1.0,,,0 days 00:00:17.465000,0 days 00:00:30.746000,0 days 00:00:21.116000,0 days 01:12:08.085000,0 days 01:12:38.831000,0 days 01:12:59.947000,,229.0,270.0,287.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:11:50.611000,2021-07-04 13:12:50.623,1,1.0,False,,False,True
0 days 01:14:09.156000,VER,33,0 days 00:01:09.218000,9.0,1.0,,,0 days 00:00:17.536000,0 days 00:00:30.618000,0 days 00:00:21.064000,0 days 01:13:17.483000,0 days 01:13:48.101000,0 days 01:14:09.165000,294.0,231.0,269.0,287.0,True,MEDIUM,12.0,False,Red Bull Racing,0 days 01:12:59.938000,2021-07-04 13:13:59.950,1,1.0,False,,False,True
0 days 01:15:18.247000,VER,33,0 days 00:01:09.091000,10.0,1.0,,,0 days 00:00:17.485000,0 days 00:00:30.604000,0 days 00:00:21.002000,0 days 01:14:26.650000,0 days 01:14:57.254000,0 days 01:15:18.256000,296.0,230.0,270.0,289.0,True,MEDIUM,13.0,False,Red Bull Racing,0 days 01:14:09.156000,2021-07-04 13:15:09.168,1,1.0,False,,False,True
0 days 01:16:27.379000,VER,33,0 days 00:01:09.132000,11.0,1.0,,,0 days 00:00:17.589000,0 days 00:00:30.525000,0 days 00:00:21.018000,0 days 01:15:35.845000,0 days 01:16:06.370000,0 days 01:16:27.388000,,232.0,271.0,291.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:15:18.247000,2021-07-04 13:16:18.259,1,1.0,False,,False,True
0 days 01:17:36.524000,VER,33,0 days 00:01:09.145000,12.0,1.0,,,0 days 00:00:17.522000,0 days 00:00:30.618000,0 days 00:00:21.005000,0 days 01:16:44.910000,0 days 01:17:15.528000,0 days 01:17:36.533000,295.0,232.0,271.0,291.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:16:27.379000,2021-07-04 13:17:27.391,1,1.0,False,,False,True
0 days 01:18:45.650000,VER,33,0 days 00:01:09.126000,13.0,1.0,,,0 days 00:00:17.514000,0 days 00:00:30.618000,0 days 00:00:20.994000,0 days 01:17:54.047000,0 days 01:18:24.665000,0 days 01:18:45.659000,296.0,232.0,273.0,289.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:17:36.524000,2021-07-04 13:18:36.536,1,1.0,False,,False,True
0 days 01:19:54.750000,VER,33,0 days 00:01:09.100000,14.0,1.0,,,0 days 00:00:17.466000,0 days 00:00:30.676000,0 days 00:00:20.958000,0 days 01:19:03.125000,0 days 01:19:33.801000,0 days 01:19:54.759000,297.0,231.0,273.0,289.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:18:45.650000,2021-07-04 13:19:45.662,1,1.0,False,,False,True
0 days 01:21:03.824000,VER,33,0 days 00:01:09.074000,15.0,1.0,,,0 days 00:00:17.480000,0 days 00:00:30.560000,0 days 00:00:21.034000,0 days 01:20:12.239000,0 days 01:20:42.799000,0 days 01:21:03.833000,296.0,232.0,272.0,290.0,True,MEDIUM,18.0,False,Red Bull Racing,0 days 01:19:54.750000,2021-07-04 13:20:54.762,1,1.0,False,,False,True
0 days 01:22:12.894000,VER,33,0 days 00:01:09.070000,16.0,1.0,,,0 days 00:00:17.401000,0 days 00:00:30.697000,0 days 00:00:20.972000,0 days 01:21:21.234000,0 days 01:21:51.931000,0 days 01:22:12.903000,,232.0,272.0,288.0,True,MEDIUM,19.0,False,Red Bull Racing,0 days 01:21:03.824000,2021-07-04 13:22:03.836,1,1.0,False,,False,True
0 days 01:23:21.965000,VER,33,0 days 00:01:09.071000,17.0,1.0,,,0 days 00:00:17.447000,0 days 00:00:30.592000,0 days 00:00:21.032000,0 days 01:22:30.350000,0 days 01:23:00.942000,0 days 01:23:21.974000,297.0,235.0,272.0,290.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:22:12.894000,2021-07-04 13:23:12.906,1,1.0,False,,False,True
0 days 01:24:31.171000,VER,33,0 days 00:01:09.206000,18.0,1.0,,,0 days 00:00:17.457000,0 days 00:00:30.638000,0 days 00:00:21.111000,0 days 01:23:39.431000,0 days 01:24:10.069000,0 days 01:24:31.180000,298.0,232.0,272.0,289.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 01:23:21.965000,2021-07-04 13:24:21.977,1,1.0,False,,False,True
0 days 01:25:40.445000,VER,33,0 days 00:01:09.274000,19.0,1.0,,,0 days 00:00:17.450000,0 days 00:00:30.696000,0 days 00:00:21.128000,0 days 01:24:48.630000,0 days 01:25:19.326000,0 days 01:25:40.454000,297.0,232.0,273.0,290.0,False,MEDIUM,22.0,False,Red Bull Racing,0 days 01:24:31.171000,2021-07-04 13:25:31.183,1,1.0,False,,False,True
0 days 01:26:49.800000,VER,33,0 days 00:01:09.355000,20.0,1.0,,,0 days 00:00:17.473000,0 days 00:00:30.775000,0 days 00:00:21.107000,0 days 01:25:57.927000,0 days 01:26:28.702000,0 days 01:26:49.809000,295.0,233.0,272.0,290.0,False,MEDIUM,23.0,False,Red Bull Racing,0 days 01:25:40.445000,2021-07-04 13:26:40.457,1,1.0,False,,False,True
0 days 01:27:59.052000,VER,33,0 days 00:01:09.252000,21.0,1.0,,,0 days 00:00:17.427000,0 days 00:00:30.722000,0 days 00:00:21.103000,0 days 01:27:07.236000,0 days 01:27:37.958000,0 days 01:27:59.061000,296.0,231.0,271.0,291.0,False,MEDIUM,24.0,False,Red Bull Racing,0 days 01:26:49.800000,2021-07-04 13:27:49.812,1,1.0,False,,False,True
