Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:22:43.156000,VER,33,,1.0,1.0,0 days 00:20:09.398000,,,0 days 00:01:02.236000,0 days 00:00:43.819000,,0 days 00:21:59.412000,0 days 00:22:43.293000,285.0,144.0,217.0,256.0,False,INTERMEDIATE,2.0,False,Red Bull Racing,0 days 00:20:09.398000,2021-08-28 10:07:38.620,1,,False,,False,False
0 days 00:24:43.242000,VER,33,0 days 00:02:00.086000,2.0,1.0,,,0 days 00:00:33.255000,0 days 00:00:55.505000,0 days 00:00:31.326000,0 days 00:23:16.411000,0 days 00:24:11.916000,0 days 00:24:43.242000,314.0,185.0,216.0,287.0,True,INTERMEDIATE,3.0,False,Red Bull Racing,0 days 00:22:43.156000,2021-08-28 10:10:12.378,1,,False,,False,True
0 days 00:26:48.742000,VER,33,0 days 00:02:05.500000,3.0,1.0,,,0 days 00:00:35.480000,0 days 00:00:56.588000,0 days 00:00:33.432000,0 days 00:25:18.722000,0 days 00:26:15.310000,0 days 00:26:48.742000,289.0,180.0,222.0,262.0,False,INTERMEDIATE,4.0,False,Red Bull Racing,0 days 00:24:43.242000,2021-08-28 10:12:12.464,1,,False,,False,True
0 days 00:29:03.320000,VER,33,0 days 00:02:14.578000,4.0,1.0,,,0 days 00:00:32.468000,0 days 00:01:04.360000,0 days 00:00:37.750000,0 days 00:27:21.210000,0 days 00:28:25.570000,0 days 00:29:03.320000,318.0,169.0,219.0,292.0,False,INTERMEDIATE,5.0,False,Red Bull Racing,0 days 00:26:48.742000,2021-08-28 10:14:17.964,1,,False,,False,True
0 days 00:31:00.244000,VER,33,0 days 00:01:56.924000,5.0,1.0,,,0 days 00:00:32.289000,0 days 00:00:53.611000,0 days 00:00:31.024000,0 days 00:29:35.609000,0 days 00:30:29.220000,0 days 00:31:00.244000,317.0,190.0,214.0,299.0,True,INTERMEDIATE,6.0,False,Red Bull Racing,0 days 00:29:03.320000,2021-08-28 10:16:32.542,1,,False,,False,True
0 days 00:33:11.452000,VER,33,0 days 00:02:11.208000,6.0,1.0,,,0 days 00:00:35.889000,0 days 00:00:56.781000,0 days 00:00:38.538000,0 days 00:31:36.133000,0 days 00:32:32.914000,0 days 00:33:11.452000,282.0,179.0,220.0,263.0,False,INTERMEDIATE,7.0,False,Red Bull Racing,0 days 00:31:00.244000,2021-08-28 10:18:29.466,1,,False,,False,True
0 days 00:35:08.590000,VER,33,0 days 00:01:57.138000,7.0,1.0,,,0 days 00:00:32.503000,0 days 00:00:53.165000,0 days 00:00:31.470000,0 days 00:33:43.955000,0 days 00:34:37.120000,0 days 00:35:08.590000,313.0,185.0,209.0,302.0,False,INTERMEDIATE,8.0,False,Red Bull Racing,0 days 00:33:11.452000,2021-08-28 10:20:40.674,1,,False,,False,True
0 days 00:37:24.013000,VER,33,0 days 00:02:15.423000,8.0,1.0,,0 days 00:37:20.375000,0 days 00:00:36.214000,0 days 00:00:59.903000,0 days 00:00:39.306000,0 days 00:35:44.804000,0 days 00:36:44.707000,0 days 00:37:24.013000,270.0,174.0,,261.0,False,INTERMEDIATE,9.0,False,Red Bull Racing,0 days 00:35:08.590000,2021-08-28 10:22:37.812,1,,False,,False,False
0 days 00:46:56.286000,VER,33,,9.0,2.0,0 days 00:44:37.482000,0 days 00:46:52.536000,,0 days 00:00:57.523000,0 days 00:00:37.667000,,0 days 00:46:18.619000,0 days 00:46:56.377000,287.0,183.0,,268.0,False,INTERMEDIATE,10.0,False,Red Bull Racing,0 days 00:37:24.013000,2021-08-28 10:24:53.235,1,,False,,False,False
0 days 00:49:31.266000,VER,33,,10.0,3.0,0 days 00:47:11.784000,0 days 00:49:27.568000,0 days 00:00:58.466000,0 days 00:00:57.075000,0 days 00:00:39.447000,0 days 00:47:54.744000,0 days 00:48:51.869000,0 days 00:49:31.374000,272.0,182.0,,254.0,False,INTERMEDIATE,11.0,False,Red Bull Racing,0 days 00:46:56.286000,2021-08-28 10:34:25.508,1,,False,,False,False
