Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:31:36.687000,VER,33,,1.0,1.0,0 days 00:28:37.153000,,,0 days 00:01:13.742000,0 days 00:01:09.771000,,0 days 00:30:26.916000,0 days 00:31:36.931000,202.0,167.0,205.0,211.0,False,WET,1.0,True,Red Bull Racing,0 days 00:28:37.153000,2021-08-28 13:13:39.126,12,,False,,False,False
0 days 00:33:44.261000,VER,33,0 days 00:02:07.574000,2.0,1.0,,,0 days 00:00:34.872000,0 days 00:00:59.113000,0 days 00:00:33.589000,0 days 00:32:11.559000,0 days 00:33:10.672000,0 days 00:33:44.261000,292.0,156.0,203.0,270.0,True,WET,2.0,True,Red Bull Racing,0 days 00:31:36.687000,2021-08-28 13:16:38.660,1,,False,,False,True
0 days 00:35:57.705000,VER,33,0 days 00:02:13.444000,3.0,1.0,,0 days 00:35:53.896000,0 days 00:00:34.422000,0 days 00:00:59.745000,0 days 00:00:39.277000,0 days 00:34:18.683000,0 days 00:35:18.428000,0 days 00:35:57.705000,295.0,164.0,,273.0,False,WET,3.0,True,Red Bull Racing,0 days 00:33:44.261000,2021-08-28 13:18:46.234,1,,False,,False,False
0 days 00:38:41.352000,VER,33,,4.0,2.0,0 days 00:36:19.196000,,0 days 00:00:51.544000,0 days 00:01:00.513000,0 days 00:00:51.614000,0 days 00:36:49.225000,0 days 00:37:49.795000,0 days 00:38:41.626000,273.0,177.0,214.0,255.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:35:57.705000,2021-08-28 13:20:59.678,1,,False,,False,False
0 days 00:40:40.958000,VER,33,0 days 00:01:59.606000,5.0,2.0,,,0 days 00:00:33.337000,0 days 00:00:54.775000,0 days 00:00:31.494000,0 days 00:39:14.689000,0 days 00:40:09.464000,0 days 00:40:40.958000,309.0,179.0,214.0,279.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:38:41.352000,2021-08-28 13:23:43.325,1,,False,,False,True
0 days 00:43:12.754000,VER,33,,6.0,2.0,,,0 days 00:00:36.329000,0 days 00:01:05.642000,0 days 00:00:49.869000,0 days 00:41:17.335000,0 days 00:42:22.885000,0 days 00:43:13.027000,262.0,175.0,215.0,247.0,False,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:40:40.958000,2021-08-28 13:25:42.931,1,,False,,False,False
0 days 00:45:11.471000,VER,33,0 days 00:01:58.717000,7.0,2.0,,,0 days 00:00:33.113000,0 days 00:00:54.063000,0 days 00:00:31.541000,0 days 00:43:45.867000,0 days 00:44:39.930000,0 days 00:45:11.471000,309.0,167.0,214.0,291.0,True,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:43:12.754000,2021-08-28 13:28:14.727,1,,False,,False,True
0 days 00:47:32.134000,VER,33,0 days 00:02:20.663000,8.0,2.0,,0 days 00:47:28.399000,0 days 00:00:38.041000,0 days 00:01:00.358000,0 days 00:00:42.264000,0 days 00:45:49.512000,0 days 00:46:49.870000,0 days 00:47:32.134000,257.0,157.0,,230.0,False,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 00:45:11.471000,2021-08-28 13:30:13.444,1,,False,,False,False
0 days 00:55:50.111000,VER,33,,9.0,3.0,0 days 00:53:17.001000,,,0 days 00:01:00.900000,0 days 00:00:55.573000,,0 days 00:54:54.571000,0 days 00:55:50.129000,264.0,117.0,219.0,263.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:47:32.134000,2021-08-28 13:32:34.107,1,,False,,False,False
0 days 00:57:47.482000,VER,33,0 days 00:01:57.371000,10.0,3.0,,,0 days 00:00:32.756000,0 days 00:00:53.646000,0 days 00:00:30.969000,0 days 00:56:22.867000,0 days 00:57:16.513000,0 days 00:57:47.482000,309.0,179.0,215.0,299.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:55:50.111000,2021-08-28 13:40:52.084,1,,False,,False,True
0 days 01:00:31.824000,VER,33,,11.0,3.0,,,0 days 00:00:43.772000,0 days 00:01:13.565000,0 days 00:00:47.024000,0 days 00:58:31.272000,0 days 00:59:44.800000,0 days 01:00:31.857000,218.0,129.0,215.0,178.0,False,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:57:47.482000,2021-08-28 13:42:49.455,1,,False,,False,False
0 days 01:02:28.383000,VER,33,0 days 00:01:56.559000,12.0,3.0,,,0 days 00:00:32.796000,0 days 00:00:52.662000,0 days 00:00:31.101000,0 days 01:01:04.620000,0 days 01:01:57.282000,0 days 01:02:28.383000,310.0,182.0,214.0,301.0,True,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 01:00:31.824000,2021-08-28 13:45:33.797,1,,False,,False,True
0 days 01:05:06.921000,VER,33,,13.0,3.0,,,0 days 00:00:41.217000,0 days 00:01:14.056000,0 days 00:00:43.249000,0 days 01:03:09.630000,0 days 01:04:23.757000,0 days 01:05:06.967000,206.0,159.0,219.0,205.0,False,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 01:02:28.383000,2021-08-28 13:47:30.356,1,,False,,False,False
0 days 01:07:14.064000,VER,33,0 days 00:02:07.143000,14.0,3.0,,0 days 01:07:10.208000,0 days 00:00:32.880000,0 days 00:00:54.049000,0 days 00:00:40.214000,0 days 01:05:39.801000,0 days 01:06:33.850000,0 days 01:07:14.064000,310.0,150.0,,300.0,False,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 01:05:06.921000,2021-08-28 13:50:08.894,1,,False,,False,False
0 days 02:01:18.696000,VER,33,,15.0,4.0,0 days 01:16:51.688000,0 days 01:19:26.472000,,,,,,,227.0,,,214.0,False,WET,1.0,True,Red Bull Racing,0 days 01:07:14.064000,2021-08-28 13:52:16.037,125,,False,,False,False
0 days 02:03:34.845000,VER,33,,16.0,5.0,0 days 02:01:18.696000,,,0 days 00:01:00.793000,0 days 00:00:42.313000,,0 days 02:02:52.602000,0 days 02:03:34.880000,262.0,98.0,209.0,225.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 02:01:18.696000,2021-08-28 14:46:20.669,1,,False,,False,False
0 days 02:05:37.370000,VER,33,0 days 00:02:02.525000,17.0,5.0,,,0 days 00:00:33.754000,0 days 00:00:56.925000,0 days 00:00:31.846000,0 days 02:04:08.599000,0 days 02:05:05.524000,0 days 02:05:37.370000,300.0,174.0,213.0,276.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 02:03:34.845000,2021-08-28 14:48:36.818,1,,False,,False,True
