Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:13.510000,RIC,3,,1.0,1.0,0 days 00:15:36.167000,,,0 days 00:00:33.761000,0 days 00:00:30.046000,,0 days 00:16:43.464000,0 days 00:17:13.675000,254.0,230.0,254.0,,False,HARD,1.0,True,McLaren,0 days 00:15:36.167000,2021-07-30 09:30:36.175,1,,False,,False,False
0 days 00:18:34.827000,RIC,3,0 days 00:01:21.317000,2.0,1.0,,,0 days 00:00:29.175000,0 days 00:00:29.148000,0 days 00:00:22.994000,0 days 00:17:42.685000,0 days 00:18:11.833000,0 days 00:18:34.827000,277.0,242.0,255.0,302.0,True,HARD,2.0,True,McLaren,0 days 00:17:13.510000,2021-07-30 09:32:13.518,1,,False,,False,True
0 days 00:20:24.463000,RIC,3,0 days 00:01:49.636000,3.0,1.0,,,0 days 00:00:37.586000,0 days 00:00:39.371000,0 days 00:00:32.679000,0 days 00:19:12.413000,0 days 00:19:51.784000,0 days 00:20:24.463000,154.0,217.0,254.0,295.0,False,HARD,3.0,True,McLaren,0 days 00:18:34.827000,2021-07-30 09:33:34.835,1,,False,,False,True
0 days 00:21:45.339000,RIC,3,0 days 00:01:20.876000,4.0,1.0,,,0 days 00:00:28.949000,0 days 00:00:28.802000,0 days 00:00:23.125000,0 days 00:20:53.412000,0 days 00:21:22.214000,0 days 00:21:45.339000,277.0,245.0,256.0,305.0,True,HARD,4.0,True,McLaren,0 days 00:20:24.463000,2021-07-30 09:35:24.471,1,,False,,False,True
0 days 00:23:42.452000,RIC,3,0 days 00:01:57.113000,5.0,1.0,,,0 days 00:00:44.888000,0 days 00:00:42.648000,0 days 00:00:29.577000,0 days 00:22:30.227000,0 days 00:23:12.875000,0 days 00:23:42.452000,96.0,204.0,253.0,296.0,False,HARD,5.0,True,McLaren,0 days 00:21:45.339000,2021-07-30 09:36:45.347,1,,False,,False,True
0 days 00:25:02.994000,RIC,3,0 days 00:01:20.542000,6.0,1.0,,,0 days 00:00:28.967000,0 days 00:00:28.769000,0 days 00:00:22.806000,0 days 00:24:11.419000,0 days 00:24:40.188000,0 days 00:25:02.994000,276.0,245.0,255.0,302.0,True,HARD,6.0,True,McLaren,0 days 00:23:42.452000,2021-07-30 09:38:42.460,1,,False,,False,True
0 days 00:26:42.773000,RIC,3,0 days 00:01:39.779000,7.0,1.0,,0 days 00:26:41.387000,0 days 00:00:33.410000,0 days 00:00:35.598000,0 days 00:00:30.771000,0 days 00:25:36.404000,0 days 00:26:12.002000,0 days 00:26:42.773000,232.0,211.0,,292.0,False,HARD,7.0,True,McLaren,0 days 00:25:02.994000,2021-07-30 09:40:03.002,1,,False,,False,False
0 days 00:29:23.399000,RIC,3,,8.0,2.0,0 days 00:27:16.813000,,0 days 00:01:10.962000,0 days 00:00:42.150000,0 days 00:00:47.547000,0 days 00:27:53.759000,0 days 00:28:35.852000,0 days 00:29:24.487000,255.0,217.0,254.0,,False,HARD,8.0,False,McLaren,0 days 00:26:42.773000,2021-07-30 09:41:42.781,1,,False,,False,False
0 days 00:30:44.406000,RIC,3,0 days 00:01:21.007000,9.0,2.0,,,0 days 00:00:29.055000,0 days 00:00:29.033000,0 days 00:00:22.919000,0 days 00:29:52.454000,0 days 00:30:21.487000,0 days 00:30:44.406000,278.0,237.0,255.0,303.0,False,HARD,9.0,False,McLaren,0 days 00:29:23.399000,2021-07-30 09:44:23.407,12,,False,,False,True
0 days 00:32:33.220000,RIC,3,0 days 00:01:48.814000,10.0,2.0,,,0 days 00:00:41.260000,0 days 00:00:40.751000,0 days 00:00:26.803000,0 days 00:31:25.666000,0 days 00:32:06.417000,0 days 00:32:33.220000,228.0,213.0,253.0,287.0,False,HARD,10.0,False,McLaren,0 days 00:30:44.406000,2021-07-30 09:45:44.414,12,,False,,False,True
0 days 00:33:53.926000,RIC,3,0 days 00:01:20.706000,11.0,2.0,,,0 days 00:00:28.959000,0 days 00:00:29,0 days 00:00:22.747000,0 days 00:33:02.179000,0 days 00:33:31.179000,0 days 00:33:53.926000,281.0,241.0,254.0,299.0,False,HARD,11.0,False,McLaren,0 days 00:32:33.220000,2021-07-30 09:47:33.228,1,,False,,False,True
0 days 00:35:21.471000,RIC,3,0 days 00:01:27.545000,12.0,2.0,,0 days 00:35:19.830000,0 days 00:00:30.290000,0 days 00:00:30.676000,0 days 00:00:26.579000,0 days 00:34:24.216000,0 days 00:34:54.892000,0 days 00:35:21.471000,260.0,228.0,,286.0,False,HARD,12.0,False,McLaren,0 days 00:33:53.926000,2021-07-30 09:48:53.934,1,,False,,False,False
0 days 00:46:59.483000,RIC,3,,13.0,3.0,0 days 00:45:02.725000,,,0 days 00:00:42.002000,0 days 00:00:27.087000,,0 days 00:46:32.400000,0 days 00:46:59.907000,80.0,195.0,254.0,,False,SOFT,1.0,True,McLaren,0 days 00:35:21.471000,2021-07-30 09:50:21.479,1,,False,,False,False
0 days 00:48:18.748000,RIC,3,0 days 00:01:19.265000,14.0,3.0,,,0 days 00:00:28.551000,0 days 00:00:28.279000,0 days 00:00:22.435000,0 days 00:47:28.034000,0 days 00:47:56.313000,0 days 00:48:18.748000,281.0,245.0,255.0,299.0,True,SOFT,2.0,True,McLaren,0 days 00:46:59.483000,2021-07-30 10:01:59.491,1,,False,,False,True
0 days 00:50:22.649000,RIC,3,0 days 00:02:03.901000,15.0,3.0,,,0 days 00:00:43.014000,0 days 00:00:48.196000,0 days 00:00:32.691000,0 days 00:49:01.762000,0 days 00:49:49.958000,0 days 00:50:22.649000,161.0,160.0,253.0,288.0,False,SOFT,3.0,True,McLaren,0 days 00:48:18.748000,2021-07-30 10:03:18.756,1,,False,,False,True
0 days 00:51:42.072000,RIC,3,0 days 00:01:19.423000,16.0,3.0,,,0 days 00:00:28.568000,0 days 00:00:28.268000,0 days 00:00:22.587000,0 days 00:50:51.217000,0 days 00:51:19.485000,0 days 00:51:42.072000,280.0,247.0,256.0,302.0,False,SOFT,4.0,True,McLaren,0 days 00:50:22.649000,2021-07-30 10:05:22.657,1,,False,,False,True
0 days 00:53:29.689000,RIC,3,0 days 00:01:47.617000,17.0,3.0,,0 days 00:53:29.491000,0 days 00:00:32.286000,0 days 00:00:39.888000,0 days 00:00:35.443000,0 days 00:52:14.358000,0 days 00:52:54.246000,0 days 00:53:29.689000,252.0,196.0,,295.0,False,SOFT,5.0,True,McLaren,0 days 00:51:42.072000,2021-07-30 10:06:42.080,1,,False,,False,False
0 days 00:55:42.369000,RIC,3,0 days 00:02:12.680000,18.0,4.0,0 days 00:54:02.348000,,0 days 00:01:08.550000,0 days 00:00:37.204000,0 days 00:00:26.926000,0 days 00:54:38.239000,0 days 00:55:15.443000,0 days 00:55:42.369000,212.0,200.0,253.0,,False,SOFT,6.0,False,McLaren,0 days 00:53:29.689000,2021-07-30 10:08:29.697,12,,False,,False,False
0 days 01:05:55.360000,RIC,3,,19.0,4.0,,0 days 00:57:27.517000,,,,,,,,,,302.0,False,SOFT,7.0,False,McLaren,0 days 00:55:42.369000,2021-07-30 10:10:42.377,251,,False,,False,False
0 days 01:07:39.743000,RIC,3,,20.0,5.0,0 days 01:05:55.360000,,,0 days 00:00:36.316000,0 days 00:00:24.217000,,0 days 01:07:15.529000,0 days 01:07:40.408000,266.0,224.0,244.0,,False,SOFT,8.0,False,McLaren,0 days 01:05:55.360000,2021-07-30 10:20:55.368,1,,False,,False,False
0 days 01:09:02.881000,RIC,3,0 days 00:01:23.138000,21.0,5.0,,,0 days 00:00:29.644000,0 days 00:00:30.009000,0 days 00:00:23.485000,0 days 01:08:09.387000,0 days 01:08:39.396000,0 days 01:09:02.881000,280.0,235.0,247.0,283.0,False,SOFT,9.0,False,McLaren,0 days 01:07:39.743000,2021-07-30 10:22:39.751,1,,False,,False,True
0 days 01:10:27.192000,RIC,3,0 days 00:01:24.311000,22.0,5.0,,,0 days 00:00:29.858000,0 days 00:00:30.440000,0 days 00:00:24.013000,0 days 01:09:32.739000,0 days 01:10:03.179000,0 days 01:10:27.192000,274.0,230.0,245.0,287.0,False,SOFT,10.0,False,McLaren,0 days 01:09:02.881000,2021-07-30 10:24:02.889,1,,False,,False,True
0 days 01:11:52.803000,RIC,3,0 days 00:01:25.611000,23.0,5.0,,,0 days 00:00:30.333000,0 days 00:00:30.961000,0 days 00:00:24.317000,0 days 01:10:57.525000,0 days 01:11:28.486000,0 days 01:11:52.803000,269.0,232.0,250.0,,False,SOFT,11.0,False,McLaren,0 days 01:10:27.192000,2021-07-30 10:25:27.200,1,,False,,False,True
0 days 01:13:20.882000,RIC,3,0 days 00:01:28.079000,24.0,5.0,,,0 days 00:00:31.560000,0 days 00:00:32.391000,0 days 00:00:24.128000,0 days 01:12:24.363000,0 days 01:12:56.754000,0 days 01:13:20.882000,260.0,233.0,250.0,306.0,False,SOFT,12.0,False,McLaren,0 days 01:11:52.803000,2021-07-30 10:26:52.811,1,,False,,False,True
0 days 01:14:45.150000,RIC,3,0 days 00:01:24.268000,25.0,5.0,,,0 days 00:00:30.240000,0 days 00:00:30.306000,0 days 00:00:23.722000,0 days 01:13:51.122000,0 days 01:14:21.428000,0 days 01:14:45.150000,265.0,238.0,245.0,,False,SOFT,13.0,False,McLaren,0 days 01:13:20.882000,2021-07-30 10:28:20.890,1,,False,,False,True
0 days 01:16:09.280000,RIC,3,0 days 00:01:24.130000,26.0,5.0,,,0 days 00:00:30.145000,0 days 00:00:30.261000,0 days 00:00:23.724000,0 days 01:15:15.295000,0 days 01:15:45.556000,0 days 01:16:09.280000,273.0,238.0,244.0,289.0,False,SOFT,14.0,False,McLaren,0 days 01:14:45.150000,2021-07-30 10:29:45.158,1,,False,,False,True
0 days 01:17:51.640000,RIC,3,0 days 00:01:42.360000,27.0,5.0,,0 days 01:17:49.936000,0 days 00:00:30.441000,0 days 00:00:38.720000,0 days 00:00:33.199000,0 days 01:16:39.721000,0 days 01:17:18.441000,0 days 01:17:51.640000,252.0,177.0,,282.0,False,SOFT,15.0,False,McLaren,0 days 01:16:09.280000,2021-07-30 10:31:09.288,1,,False,,False,False
0 days 00:18:07.088000,NOR,4,,1.0,1.0,0 days 00:16:10.441000,,,0 days 00:00:36.143000,0 days 00:00:34.865000,,0 days 00:17:32.235000,0 days 00:18:07.226000,245.0,215.0,249.0,,False,MEDIUM,1.0,True,McLaren,0 days 00:16:10.441000,2021-07-30 09:31:10.449,1,,False,,False,False
0 days 00:19:28.238000,NOR,4,0 days 00:01:21.150000,2.0,1.0,,,0 days 00:00:29.130000,0 days 00:00:29.070000,0 days 00:00:22.950000,0 days 00:18:36.218000,0 days 00:19:05.288000,0 days 00:19:28.238000,273.0,240.0,251.0,296.0,True,MEDIUM,2.0,True,McLaren,0 days 00:18:07.088000,2021-07-30 09:33:07.096,1,,False,,False,True
0 days 00:21:29.451000,NOR,4,0 days 00:02:01.213000,3.0,1.0,,,0 days 00:00:41.549000,0 days 00:00:43.982000,0 days 00:00:35.682000,0 days 00:20:09.787000,0 days 00:20:53.769000,0 days 00:21:29.451000,231.0,213.0,254.0,277.0,False,MEDIUM,3.0,True,McLaren,0 days 00:19:28.238000,2021-07-30 09:34:28.246,1,,False,,False,True
0 days 00:22:49.914000,NOR,4,0 days 00:01:20.463000,4.0,1.0,,,0 days 00:00:28.815000,0 days 00:00:28.674000,0 days 00:00:22.974000,0 days 00:21:58.266000,0 days 00:22:26.940000,0 days 00:22:49.914000,277.0,242.0,252.0,300.0,True,MEDIUM,4.0,True,McLaren,0 days 00:21:29.451000,2021-07-30 09:36:29.459,1,,False,,False,True
0 days 00:24:46.023000,NOR,4,0 days 00:01:56.109000,5.0,1.0,,,0 days 00:00:38.628000,0 days 00:00:44.227000,0 days 00:00:33.254000,0 days 00:23:28.542000,0 days 00:24:12.769000,0 days 00:24:46.023000,226.0,161.0,253.0,279.0,False,MEDIUM,5.0,True,McLaren,0 days 00:22:49.914000,2021-07-30 09:37:49.922,1,,False,,False,True
0 days 00:26:06.498000,NOR,4,0 days 00:01:20.475000,6.0,1.0,,,0 days 00:00:28.865000,0 days 00:00:28.848000,0 days 00:00:22.762000,0 days 00:25:14.888000,0 days 00:25:43.736000,0 days 00:26:06.498000,274.0,233.0,252.0,301.0,False,MEDIUM,6.0,True,McLaren,0 days 00:24:46.023000,2021-07-30 09:39:46.031,1,,False,,False,True
0 days 00:28:05.187000,NOR,4,0 days 00:01:58.689000,7.0,1.0,,,0 days 00:00:45.106000,0 days 00:00:45.517000,0 days 00:00:28.066000,0 days 00:26:51.604000,0 days 00:27:37.121000,0 days 00:28:05.187000,165.0,201.0,252.0,290.0,False,MEDIUM,7.0,True,McLaren,0 days 00:26:06.498000,2021-07-30 09:41:06.506,1,,False,,False,True
0 days 00:29:25.053000,NOR,4,0 days 00:01:19.866000,8.0,1.0,,,0 days 00:00:28.807000,0 days 00:00:28.375000,0 days 00:00:22.684000,0 days 00:28:33.994000,0 days 00:29:02.369000,0 days 00:29:25.053000,276.0,244.0,255.0,298.0,True,MEDIUM,8.0,True,McLaren,0 days 00:28:05.187000,2021-07-30 09:43:05.195,1,,False,,False,True
0 days 00:30:59.405000,NOR,4,0 days 00:01:34.352000,9.0,1.0,,0 days 00:30:59.450000,0 days 00:00:32.678000,0 days 00:00:34.665000,0 days 00:00:27.009000,0 days 00:29:57.731000,0 days 00:30:32.396000,0 days 00:30:59.405000,174.0,230.0,,286.0,False,MEDIUM,9.0,True,McLaren,0 days 00:29:25.053000,2021-07-30 09:44:25.061,12,,False,,False,False
0 days 00:46:18.873000,NOR,4,,10.0,2.0,0 days 00:44:29.160000,,,0 days 00:00:38.652000,0 days 00:00:36.968000,,0 days 00:45:41.937000,0 days 00:46:19.048000,189.0,205.0,253.0,,False,SOFT,1.0,True,McLaren,0 days 00:30:59.405000,2021-07-30 09:45:59.413,12,,False,,False,False
0 days 00:47:37.522000,NOR,4,0 days 00:01:18.649000,11.0,2.0,,,0 days 00:00:28.440000,0 days 00:00:27.952000,0 days 00:00:22.257000,0 days 00:46:47.313000,0 days 00:47:15.265000,0 days 00:47:37.522000,276.0,247.0,254.0,298.0,True,SOFT,2.0,True,McLaren,0 days 00:46:18.873000,2021-07-30 10:01:18.881,1,,False,,False,True
0 days 00:49:42.217000,NOR,4,0 days 00:02:04.695000,12.0,2.0,,,0 days 00:00:42.157000,0 days 00:00:45.446000,0 days 00:00:37.092000,0 days 00:48:19.679000,0 days 00:49:05.125000,0 days 00:49:42.217000,175.0,202.0,225.0,279.0,False,SOFT,3.0,True,McLaren,0 days 00:47:37.522000,2021-07-30 10:02:37.530,1,,False,,False,True
0 days 00:51:48.623000,NOR,4,0 days 00:02:06.406000,13.0,2.0,,,0 days 00:00:44.445000,0 days 00:00:47.799000,0 days 00:00:34.162000,0 days 00:50:26.662000,0 days 00:51:14.461000,0 days 00:51:48.623000,171.0,208.0,251.0,269.0,False,SOFT,4.0,True,McLaren,0 days 00:49:42.217000,2021-07-30 10:04:42.225,1,,False,,False,True
0 days 00:53:11.337000,NOR,4,0 days 00:01:22.714000,14.0,2.0,,,0 days 00:00:28.833000,0 days 00:00:28.202000,0 days 00:00:25.679000,0 days 00:52:17.456000,0 days 00:52:45.658000,0 days 00:53:11.337000,273.0,245.0,223.0,298.0,False,SOFT,5.0,True,McLaren,0 days 00:51:48.623000,2021-07-30 10:06:48.631,1,,False,,False,True
0 days 00:54:39.661000,NOR,4,0 days 00:01:28.324000,15.0,2.0,,0 days 00:54:38.041000,0 days 00:00:32.771000,0 days 00:00:29.913000,0 days 00:00:25.640000,0 days 00:53:44.108000,0 days 00:54:14.021000,0 days 00:54:39.661000,259.0,231.0,,261.0,False,SOFT,6.0,True,McLaren,0 days 00:53:11.337000,2021-07-30 10:08:11.345,1,,False,,False,False
0 days 01:03:18.699000,NOR,4,,16.0,3.0,0 days 01:01:44.317000,,,0 days 00:00:30.247000,0 days 00:00:23.532000,,0 days 01:02:55.188000,0 days 01:03:20.040000,262.0,233.0,241.0,,False,SOFT,7.0,False,McLaren,0 days 01:01:44.317000,2021-07-30 10:16:44.325,1,,False,,False,False
