Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:20:28.731000,VER,33,,1.0,1.0,0 days 00:18:47.365000,,,0 days 00:00:33.585000,0 days 00:00:36.472000,,0 days 00:19:52.266000,0 days 00:20:28.877000,258.0,223.0,248.0,,False,HARD,1.0,True,Red Bull Racing,0 days 00:18:47.365000,2021-07-30 09:33:47.373,1,,False,,False,False
0 days 00:21:48.456000,VER,33,0 days 00:01:19.725000,2.0,1.0,,,0 days 00:00:28.596000,0 days 00:00:28.555000,0 days 00:00:22.574000,0 days 00:20:57.327000,0 days 00:21:25.882000,0 days 00:21:48.456000,273.0,242.0,252.0,295.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:20:28.731000,2021-07-30 09:35:28.739,1,,False,,False,True
0 days 00:23:37.623000,VER,33,0 days 00:01:49.167000,3.0,1.0,,,0 days 00:00:40.195000,0 days 00:00:43.067000,0 days 00:00:25.905000,0 days 00:22:28.651000,0 days 00:23:11.718000,0 days 00:23:37.623000,158.0,195.0,253.0,288.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:21:48.456000,2021-07-30 09:36:48.464,1,,False,,False,True
0 days 00:24:56.989000,VER,33,0 days 00:01:19.366000,4.0,1.0,,,0 days 00:00:28.750000,0 days 00:00:28.274000,0 days 00:00:22.342000,0 days 00:24:06.373000,0 days 00:24:34.647000,0 days 00:24:56.989000,270.0,244.0,250.0,295.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:23:37.623000,2021-07-30 09:38:37.631,1,,False,,False,True
0 days 00:26:52.916000,VER,33,0 days 00:01:55.927000,5.0,1.0,,,0 days 00:00:38.383000,0 days 00:00:48.936000,0 days 00:00:28.608000,0 days 00:25:35.372000,0 days 00:26:24.308000,0 days 00:26:52.916000,155.0,130.0,253.0,283.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:24:56.989000,2021-07-30 09:39:56.997,1,,False,,False,True
0 days 00:28:11.985000,VER,33,0 days 00:01:19.069000,6.0,1.0,,,0 days 00:00:28.659000,0 days 00:00:28.105000,0 days 00:00:22.305000,0 days 00:27:21.575000,0 days 00:27:49.680000,0 days 00:28:11.985000,274.0,243.0,245.0,297.0,True,HARD,6.0,True,Red Bull Racing,0 days 00:26:52.916000,2021-07-30 09:41:52.924,1,,False,,False,True
0 days 00:30:12.116000,VER,33,0 days 00:02:00.131000,7.0,1.0,,,0 days 00:00:39.575000,0 days 00:00:50.728000,0 days 00:00:29.828000,0 days 00:28:51.560000,0 days 00:29:42.288000,0 days 00:30:12.116000,108.0,132.0,253.0,278.0,False,HARD,7.0,True,Red Bull Racing,0 days 00:28:11.985000,2021-07-30 09:43:11.993,12,,False,,False,True
0 days 00:31:31.141000,VER,33,0 days 00:01:19.025000,8.0,1.0,,,0 days 00:00:28.682000,0 days 00:00:28.055000,0 days 00:00:22.288000,0 days 00:30:40.798000,0 days 00:31:08.853000,0 days 00:31:31.141000,272.0,242.0,252.0,295.0,True,HARD,8.0,True,Red Bull Racing,0 days 00:30:12.116000,2021-07-30 09:45:12.124,12,,False,,False,True
0 days 00:33:08.949000,VER,33,0 days 00:01:37.808000,9.0,1.0,,0 days 00:33:07.188000,0 days 00:00:37.070000,0 days 00:00:33.625000,0 days 00:00:27.113000,0 days 00:32:08.211000,0 days 00:32:41.836000,0 days 00:33:08.949000,214.0,217.0,,287.0,False,HARD,9.0,True,Red Bull Racing,0 days 00:31:31.141000,2021-07-30 09:46:31.149,21,,False,,False,False
0 days 00:48:06.043000,VER,33,,10.0,2.0,0 days 00:46:37.143000,,,0 days 00:00:33.504000,0 days 00:00:24.783000,,0 days 00:47:41.278000,0 days 00:48:07.703000,269.0,218.0,253.0,,False,HARD,10.0,False,Red Bull Racing,0 days 00:33:08.949000,2021-07-30 09:48:08.957,1,,False,,False,False
