Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:23.703000,VER,33,0 days 00:02:10.591000,1.0,1.0,,0 days 01:04:21.951000,,0 days 00:00:49.222000,0 days 00:00:36.335000,,0 days 01:03:48.332000,0 days 01:04:23.716000,211.0,118.0,,246.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 01:02:12.824000,2021-08-01 13:03:12.833,124,9.0,False,,False,False
0 days 01:07:37.736000,VER,33,,2.0,2.0,0 days 01:04:44.493000,0 days 01:07:33.666000,0 days 00:01:07.070000,0 days 00:01:02.222000,0 days 00:01:04.812000,0 days 01:05:30.836000,0 days 01:06:32.937000,0 days 01:07:37.886000,136.0,86.0,,,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 01:04:23.703000,2021-08-01 13:05:23.712,45,13.0,False,,False,False
0 days 01:33:46.787000,VER,33,,3.0,3.0,0 days 01:31:48.263000,0 days 01:33:45.120000,,0 days 00:00:48.649000,0 days 00:00:37.428000,,0 days 01:33:09.465000,0 days 01:33:46.970000,231.0,160.0,,,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 01:31:00.096000,2021-08-01 13:32:00.105,1,12.0,False,,False,False
0 days 01:35:47.005000,VER,33,0 days 00:02:00.218000,4.0,4.0,0 days 01:34:20.365000,,0 days 00:01:03.481000,0 days 00:00:32.276000,0 days 00:00:24.461000,0 days 01:34:50.281000,0 days 01:35:22.557000,0 days 01:35:47.018000,266.0,227.0,247.0,,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:33:46.787000,2021-08-01 13:34:46.796,1,12.0,False,,False,False
0 days 01:37:14.178000,VER,33,0 days 00:01:27.173000,5.0,4.0,,,0 days 00:00:30.875000,0 days 00:00:31.790000,0 days 00:00:24.508000,0 days 01:36:17.893000,0 days 01:36:49.683000,0 days 01:37:14.191000,277.0,231.0,247.0,296.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:35:47.005000,2021-08-01 13:36:47.014,1,11.0,False,,False,True
0 days 01:38:40.592000,VER,33,0 days 00:01:26.414000,6.0,4.0,,,0 days 00:00:30.746000,0 days 00:00:31.453000,0 days 00:00:24.215000,0 days 01:37:44.937000,0 days 01:38:16.390000,0 days 01:38:40.605000,280.0,233.0,247.0,300.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:37:14.178000,2021-08-01 13:38:14.187,1,11.0,False,,False,True
0 days 01:40:06.658000,VER,33,0 days 00:01:26.066000,7.0,4.0,,,0 days 00:00:30.761000,0 days 00:00:31.110000,0 days 00:00:24.195000,0 days 01:39:11.366000,0 days 01:39:42.476000,0 days 01:40:06.671000,,230.0,252.0,297.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:38:40.592000,2021-08-01 13:39:40.601,1,11.0,False,,False,True
0 days 01:41:32.512000,VER,33,0 days 00:01:25.854000,8.0,4.0,,,0 days 00:00:30.341000,0 days 00:00:31.235000,0 days 00:00:24.278000,0 days 01:40:37.012000,0 days 01:41:08.247000,0 days 01:41:32.525000,273.0,234.0,250.0,314.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:40:06.658000,2021-08-01 13:41:06.667,1,11.0,False,,False,True
0 days 01:42:58.419000,VER,33,0 days 00:01:25.907000,9.0,4.0,,,0 days 00:00:30.389000,0 days 00:00:31.314000,0 days 00:00:24.204000,0 days 01:42:02.914000,0 days 01:42:34.228000,0 days 01:42:58.432000,281.0,233.0,250.0,309.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:41:32.512000,2021-08-01 13:42:32.521,1,11.0,False,,False,True
0 days 01:44:24.225000,VER,33,0 days 00:01:25.806000,10.0,4.0,,,0 days 00:00:30.554000,0 days 00:00:31.246000,0 days 00:00:24.006000,0 days 01:43:28.986000,0 days 01:44:00.232000,0 days 01:44:24.238000,264.0,234.0,250.0,,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:42:58.419000,2021-08-01 13:43:58.428,1,11.0,False,,False,True
0 days 01:45:49.612000,VER,33,0 days 00:01:25.387000,11.0,4.0,,,0 days 00:00:30.053000,0 days 00:00:31.091000,0 days 00:00:24.243000,0 days 01:44:54.291000,0 days 01:45:25.382000,0 days 01:45:49.625000,281.0,234.0,249.0,308.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:44:24.225000,2021-08-01 13:45:24.234,1,11.0,False,,False,True
0 days 01:47:15.081000,VER,33,0 days 00:01:25.469000,12.0,4.0,,,0 days 00:00:30.256000,0 days 00:00:30.976000,0 days 00:00:24.237000,0 days 01:46:19.881000,0 days 01:46:50.857000,0 days 01:47:15.094000,276.0,234.0,249.0,,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:45:49.612000,2021-08-01 13:46:49.621,1,11.0,False,,False,True
0 days 01:48:40.224000,VER,33,0 days 00:01:25.143000,13.0,4.0,,,0 days 00:00:30.003000,0 days 00:00:30.799000,0 days 00:00:24.341000,0 days 01:47:45.097000,0 days 01:48:15.896000,0 days 01:48:40.237000,280.0,230.0,250.0,307.0,True,MEDIUM,10.0,True,Red Bull Racing,0 days 01:47:15.081000,2021-08-01 13:48:15.090,1,11.0,False,,False,True
0 days 01:50:05.265000,VER,33,0 days 00:01:25.041000,14.0,4.0,,,0 days 00:00:30.427000,0 days 00:00:30.628000,0 days 00:00:23.986000,0 days 01:49:10.664000,0 days 01:49:41.292000,0 days 01:50:05.278000,277.0,234.0,248.0,312.0,True,MEDIUM,11.0,True,Red Bull Racing,0 days 01:48:40.224000,2021-08-01 13:49:40.233,1,10.0,False,,False,True
0 days 01:51:29.744000,VER,33,0 days 00:01:24.479000,15.0,4.0,,,0 days 00:00:30.055000,0 days 00:00:30.458000,0 days 00:00:23.966000,0 days 01:50:35.333000,0 days 01:51:05.791000,0 days 01:51:29.757000,280.0,235.0,248.0,296.0,True,MEDIUM,12.0,True,Red Bull Racing,0 days 01:50:05.265000,2021-08-01 13:51:05.274,1,10.0,False,,False,True
0 days 01:52:53.576000,VER,33,0 days 00:01:23.832000,16.0,4.0,,,0 days 00:00:29.770000,0 days 00:00:30.192000,0 days 00:00:23.870000,0 days 01:51:59.527000,0 days 01:52:29.719000,0 days 01:52:53.589000,281.0,235.0,247.0,295.0,True,MEDIUM,13.0,True,Red Bull Racing,0 days 01:51:29.744000,2021-08-01 13:52:29.753,1,9.0,False,,False,True
0 days 01:54:17.711000,VER,33,0 days 00:01:24.135000,17.0,4.0,,,0 days 00:00:29.925000,0 days 00:00:30.138000,0 days 00:00:24.072000,0 days 01:53:23.514000,0 days 01:53:53.652000,0 days 01:54:17.724000,280.0,232.0,247.0,296.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:52:53.576000,2021-08-01 13:53:53.585,1,9.0,False,,False,True
0 days 01:55:41.982000,VER,33,0 days 00:01:24.271000,18.0,4.0,,,0 days 00:00:29.995000,0 days 00:00:30.091000,0 days 00:00:24.185000,0 days 01:54:47.719000,0 days 01:55:17.810000,0 days 01:55:41.995000,,235.0,247.0,295.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:54:17.711000,2021-08-01 13:55:17.720,1,9.0,False,,False,True
0 days 01:57:06.304000,VER,33,0 days 00:01:24.322000,19.0,4.0,,,0 days 00:00:30.022000,0 days 00:00:30.089000,0 days 00:00:24.211000,0 days 01:56:12.017000,0 days 01:56:42.106000,0 days 01:57:06.317000,,231.0,246.0,293.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:55:41.982000,2021-08-01 13:56:41.991,1,9.0,False,,False,True
0 days 01:58:33.310000,VER,33,0 days 00:01:27.006000,20.0,4.0,,0 days 01:58:31.693000,0 days 00:00:30.148000,0 days 00:00:30.165000,0 days 00:00:26.693000,0 days 01:57:36.465000,0 days 01:58:06.630000,0 days 01:58:33.323000,279.0,232.0,,294.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:57:06.304000,2021-08-01 13:58:06.313,1,10.0,False,,False,False
0 days 02:00:14.841000,VER,33,0 days 00:01:41.531000,21.0,5.0,0 days 01:58:52.710000,,0 days 00:00:48.031000,0 days 00:00:30.049000,0 days 00:00:23.451000,0 days 01:59:21.354000,0 days 01:59:51.403000,0 days 02:00:14.854000,282.0,239.0,250.0,,False,HARD,1.0,True,Red Bull Racing,0 days 01:58:33.310000,2021-08-01 13:59:33.319,1,12.0,False,,False,False
0 days 02:01:38.974000,VER,33,0 days 00:01:24.133000,22.0,5.0,,,0 days 00:00:29.675000,0 days 00:00:30.631000,0 days 00:00:23.827000,0 days 02:00:44.529000,0 days 02:01:15.160000,0 days 02:01:38.987000,,237.0,253.0,295.0,False,HARD,2.0,True,Red Bull Racing,0 days 02:00:14.841000,2021-08-01 14:01:14.850,1,12.0,False,,False,True
0 days 02:03:02.519000,VER,33,0 days 00:01:23.545000,23.0,5.0,,,0 days 00:00:29.686000,0 days 00:00:30.139000,0 days 00:00:23.720000,0 days 02:02:08.673000,0 days 02:02:38.812000,0 days 02:03:02.532000,286.0,235.0,253.0,309.0,True,HARD,3.0,True,Red Bull Racing,0 days 02:01:38.974000,2021-08-01 14:02:38.983,1,12.0,False,,False,True
0 days 02:04:26.258000,VER,33,0 days 00:01:23.739000,24.0,5.0,,,0 days 00:00:29.764000,0 days 00:00:30.199000,0 days 00:00:23.776000,0 days 02:03:32.296000,0 days 02:04:02.495000,0 days 02:04:26.271000,284.0,237.0,253.0,310.0,False,HARD,4.0,True,Red Bull Racing,0 days 02:03:02.519000,2021-08-01 14:04:02.528,1,12.0,False,,False,True
0 days 02:05:50.268000,VER,33,0 days 00:01:24.010000,25.0,5.0,,,0 days 00:00:29.850000,0 days 00:00:30.318000,0 days 00:00:23.842000,0 days 02:04:56.121000,0 days 02:05:26.439000,0 days 02:05:50.281000,283.0,234.0,252.0,314.0,False,HARD,5.0,True,Red Bull Racing,0 days 02:04:26.258000,2021-08-01 14:05:26.267,1,12.0,False,,False,True
0 days 02:07:14.262000,VER,33,0 days 00:01:23.994000,26.0,5.0,,,0 days 00:00:29.684000,0 days 00:00:30.365000,0 days 00:00:23.945000,0 days 02:06:19.965000,0 days 02:06:50.330000,0 days 02:07:14.275000,286.0,236.0,252.0,310.0,False,HARD,6.0,True,Red Bull Racing,0 days 02:05:50.268000,2021-08-01 14:06:50.277,1,12.0,False,,False,True
0 days 02:08:38.676000,VER,33,0 days 00:01:24.414000,27.0,5.0,,,0 days 00:00:29.764000,0 days 00:00:30.537000,0 days 00:00:24.113000,0 days 02:07:44.039000,0 days 02:08:14.576000,0 days 02:08:38.689000,284.0,233.0,253.0,311.0,False,HARD,7.0,True,Red Bull Racing,0 days 02:07:14.262000,2021-08-01 14:08:14.271,1,12.0,False,,False,True
0 days 02:10:03.204000,VER,33,0 days 00:01:24.528000,28.0,5.0,,,0 days 00:00:29.819000,0 days 00:00:30.698000,0 days 00:00:24.011000,0 days 02:09:08.508000,0 days 02:09:39.206000,0 days 02:10:03.217000,285.0,235.0,253.0,315.0,False,HARD,8.0,True,Red Bull Racing,0 days 02:08:38.676000,2021-08-01 14:09:38.685,1,12.0,False,,False,True
0 days 02:11:28.109000,VER,33,0 days 00:01:24.905000,29.0,5.0,,,0 days 00:00:29.721000,0 days 00:00:31.009000,0 days 00:00:24.175000,0 days 02:10:32.938000,0 days 02:11:03.947000,0 days 02:11:28.122000,283.0,234.0,254.0,313.0,False,HARD,9.0,True,Red Bull Racing,0 days 02:10:03.204000,2021-08-01 14:11:03.213,1,12.0,False,,False,True
0 days 02:12:52.843000,VER,33,0 days 00:01:24.734000,30.0,5.0,,,0 days 00:00:29.783000,0 days 00:00:30.842000,0 days 00:00:24.109000,0 days 02:11:57.905000,0 days 02:12:28.747000,0 days 02:12:52.856000,,234.0,251.0,311.0,False,HARD,10.0,True,Red Bull Racing,0 days 02:11:28.109000,2021-08-01 14:12:28.118,1,12.0,False,,False,True
0 days 02:14:17.360000,VER,33,0 days 00:01:24.517000,31.0,5.0,,,0 days 00:00:29.471000,0 days 00:00:30.884000,0 days 00:00:24.162000,0 days 02:13:22.327000,0 days 02:13:53.211000,0 days 02:14:17.373000,287.0,235.0,253.0,315.0,False,HARD,11.0,True,Red Bull Racing,0 days 02:12:52.843000,2021-08-01 14:13:52.852,1,12.0,False,,False,True
0 days 02:15:41.987000,VER,33,0 days 00:01:24.627000,32.0,5.0,,,0 days 00:00:29.598000,0 days 00:00:30.779000,0 days 00:00:24.250000,0 days 02:14:46.971000,0 days 02:15:17.750000,0 days 02:15:42,286.0,235.0,252.0,,False,HARD,12.0,True,Red Bull Racing,0 days 02:14:17.360000,2021-08-01 14:15:17.369,1,12.0,False,,False,True
0 days 02:17:07.466000,VER,33,0 days 00:01:25.479000,33.0,5.0,,,0 days 00:00:29.781000,0 days 00:00:31.311000,0 days 00:00:24.387000,0 days 02:16:11.781000,0 days 02:16:43.092000,0 days 02:17:07.479000,283.0,234.0,255.0,314.0,False,HARD,13.0,True,Red Bull Racing,0 days 02:15:41.987000,2021-08-01 14:16:41.996,1,12.0,False,,False,True
0 days 02:18:31.392000,VER,33,0 days 00:01:23.926000,34.0,5.0,,,0 days 00:00:29.619000,0 days 00:00:30.370000,0 days 00:00:23.937000,0 days 02:17:37.098000,0 days 02:18:07.468000,0 days 02:18:31.405000,282.0,237.0,248.0,,False,HARD,14.0,True,Red Bull Racing,0 days 02:17:07.466000,2021-08-01 14:18:07.475,1,11.0,False,,False,True
0 days 02:19:54.647000,VER,33,0 days 00:01:23.255000,35.0,5.0,,,0 days 00:00:29.792000,0 days 00:00:29.844000,0 days 00:00:23.619000,0 days 02:19:01.197000,0 days 02:19:31.041000,0 days 02:19:54.660000,283.0,237.0,249.0,296.0,True,HARD,15.0,True,Red Bull Racing,0 days 02:18:31.392000,2021-08-01 14:19:31.401,1,11.0,False,,False,True
0 days 02:21:17.411000,VER,33,0 days 00:01:22.764000,36.0,5.0,,,0 days 00:00:29.645000,0 days 00:00:29.706000,0 days 00:00:23.413000,0 days 02:20:24.305000,0 days 02:20:54.011000,0 days 02:21:17.424000,284.0,238.0,251.0,297.0,True,HARD,16.0,True,Red Bull Racing,0 days 02:19:54.647000,2021-08-01 14:20:54.656,1,11.0,False,,False,True
0 days 02:22:40.888000,VER,33,0 days 00:01:23.477000,37.0,5.0,,,0 days 00:00:30.013000,0 days 00:00:29.923000,0 days 00:00:23.541000,0 days 02:21:47.437000,0 days 02:22:17.360000,0 days 02:22:40.901000,285.0,237.0,250.0,298.0,False,HARD,17.0,True,Red Bull Racing,0 days 02:21:17.411000,2021-08-01 14:22:17.420,1,11.0,False,,False,True
