Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:26.523000,VER,33,,1.0,1.0,0 days 00:16:23.130000,,,0 days 00:00:37.800000,0 days 00:00:47.324000,,0 days 00:17:39.232000,0 days 00:18:26.633000,272.0,206.0,299.0,133.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:16:23.130000,2021-12-03 17:01:23.672,1,,False,,False,False
0 days 00:20:33.032000,VER,33,0 days 00:02:06.509000,2.0,1.0,,,0 days 00:00:37.215000,0 days 00:00:47.176000,0 days 00:00:42.118000,0 days 00:19:03.738000,0 days 00:19:50.914000,0 days 00:20:33.032000,226.0,235.0,297.0,135.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:18:26.523000,2021-12-03 17:03:27.065,1,,False,,False,True
0 days 00:22:03.136000,VER,33,0 days 00:01:30.104000,3.0,1.0,,,0 days 00:00:33.017000,0 days 00:00:28.736000,0 days 00:00:28.351000,0 days 00:21:06.049000,0 days 00:21:34.785000,0 days 00:22:03.136000,289.0,315.0,305.0,318.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:20:33.032000,2021-12-03 17:05:33.574,1,,False,,False,True
0 days 00:24:35.186000,VER,33,,4.0,1.0,,,0 days 00:00:51.366000,0 days 00:01:00.827000,0 days 00:00:39.824000,0 days 00:22:54.945000,0 days 00:23:55.371000,0 days 00:24:35.307000,103.0,162.0,296.0,274.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:22:03.136000,2021-12-03 17:07:03.678,1,,False,,False,False
0 days 00:26:04.892000,VER,33,0 days 00:01:29.706000,5.0,1.0,,,0 days 00:00:32.727000,0 days 00:00:28.696000,0 days 00:00:28.283000,0 days 00:25:07.913000,0 days 00:25:36.609000,0 days 00:26:04.892000,288.0,312.0,308.0,318.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:24:35.186000,2021-12-03 17:09:35.728,1,,False,,False,True
0 days 00:28:55.942000,VER,33,,6.0,1.0,,,0 days 00:01:01.726000,0 days 00:01:03.227000,0 days 00:00:46.156000,0 days 00:27:06.624000,0 days 00:28:09.835000,0 days 00:28:56.102000,118.0,113.0,297.0,198.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:26:04.892000,2021-12-03 17:11:05.434,1,,False,,False,False
0 days 00:30:25.232000,VER,33,0 days 00:01:29.290000,7.0,1.0,,,0 days 00:00:32.753000,0 days 00:00:28.547000,0 days 00:00:27.990000,0 days 00:29:28.695000,0 days 00:29:57.242000,0 days 00:30:25.232000,289.0,316.0,301.0,320.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 00:28:55.942000,2021-12-03 17:13:56.484,1,,False,,False,True
0 days 00:32:18.521000,VER,33,0 days 00:01:53.289000,8.0,1.0,,0 days 00:32:17.321000,0 days 00:00:44.846000,0 days 00:00:32.665000,0 days 00:00:35.778000,0 days 00:31:10.078000,0 days 00:31:42.743000,0 days 00:32:18.521000,262.0,270.0,,245.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:30:25.232000,2021-12-03 17:15:25.774,1,,False,,False,False
0 days 00:43:38.530000,VER,33,,9.0,2.0,0 days 00:41:12.527000,,,0 days 00:00:47.785000,0 days 00:00:52.945000,,0 days 00:42:45.624000,0 days 00:43:39.664000,273.0,156.0,300.0,110.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:32:18.521000,2021-12-03 17:17:19.063,12,,False,,False,False
0 days 00:45:59.960000,VER,33,0 days 00:02:21.430000,10.0,2.0,,,0 days 00:00:47.896000,0 days 00:00:46.115000,0 days 00:00:47.419000,0 days 00:44:26.426000,0 days 00:45:12.541000,0 days 00:45:59.960000,198.0,260.0,299.0,73.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:43:38.530000,2021-12-03 17:28:39.072,1,,False,,False,True
