Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:17.220000,VER,33,,1.0,1.0,0 days 00:15:41.716000,,,0 days 00:00:34.820000,0 days 00:01:03.914000,,0 days 00:17:13.306000,0 days 00:18:17.546000,280.0,184.0,306.0,52.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:15:41.716000,2021-12-04 17:00:41.728,1,,False,,False,False
0 days 00:19:45.879000,VER,33,0 days 00:01:28.659000,2.0,1.0,,,0 days 00:00:32.484000,0 days 00:00:28.198000,0 days 00:00:27.977000,0 days 00:18:49.704000,0 days 00:19:17.902000,0 days 00:19:45.879000,294.0,317.0,311.0,322.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:18:17.220000,2021-12-04 17:03:17.232,1,,False,,False,True
0 days 00:22:25.716000,VER,33,,3.0,1.0,,,0 days 00:00:56.376000,0 days 00:00:50.243000,0 days 00:00:53.228000,0 days 00:20:42.358000,0 days 00:21:32.540000,0 days 00:22:25.987000,130.0,152.0,218.0,111.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:19:45.879000,2021-12-04 17:04:45.891,1,,False,,False,False
0 days 00:24:49.206000,VER,33,0 days 00:02:23.490000,4.0,1.0,,,0 days 00:01:00.725000,0 days 00:00:48.142000,0 days 00:00:34.623000,0 days 00:23:26.441000,0 days 00:24:14.583000,0 days 00:24:49.206000,178.0,186.0,305.0,269.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:22:25.716000,2021-12-04 17:07:25.728,1,,False,,False,True
0 days 00:26:17.491000,VER,33,0 days 00:01:28.285000,5.0,1.0,,,0 days 00:00:32.419000,0 days 00:00:28.157000,0 days 00:00:27.709000,0 days 00:25:21.625000,0 days 00:25:49.782000,0 days 00:26:17.491000,295.0,311.0,307.0,316.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:24:49.206000,2021-12-04 17:09:49.218,1,,False,,False,True
0 days 00:28:56.116000,VER,33,,6.0,1.0,,,0 days 00:00:40.301000,0 days 00:01:01.992000,0 days 00:00:56.287000,0 days 00:26:57.845000,0 days 00:27:59.954000,0 days 00:28:56.339000,178.0,135.0,196.0,151.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:26:17.491000,2021-12-04 17:11:17.503,1,,False,,False,False
0 days 00:31:18.181000,VER,33,0 days 00:02:22.065000,7.0,1.0,,,0 days 00:00:57.109000,0 days 00:00:49.575000,0 days 00:00:35.381000,0 days 00:29:53.225000,0 days 00:30:42.800000,0 days 00:31:18.181000,141.0,211.0,307.0,220.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:28:56.116000,2021-12-04 17:13:56.128,1,,False,,False,True
0 days 00:32:55.317000,VER,33,0 days 00:01:37.136000,8.0,1.0,,0 days 00:32:54.027000,0 days 00:00:31.925000,0 days 00:00:28.059000,0 days 00:00:37.152000,0 days 00:31:50.106000,0 days 00:32:18.165000,0 days 00:32:55.317000,297.0,312.0,,316.0,False,SOFT,8.0,True,Red Bull Racing,0 days 00:31:18.181000,2021-12-04 17:16:18.193,1,,False,,False,False
0 days 00:41:57.513000,VER,33,,9.0,2.0,0 days 00:40:09.948000,,,0 days 00:00:30.937000,0 days 00:00:36.098000,,0 days 00:41:21.568000,0 days 00:41:57.566000,281.0,286.0,308.0,222.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:32:55.317000,2021-12-04 17:17:55.329,1,,False,,False,False
0 days 00:43:25.466000,VER,33,0 days 00:01:27.953000,10.0,2.0,,,0 days 00:00:32.289000,0 days 00:00:28.041000,0 days 00:00:27.623000,0 days 00:42:29.802000,0 days 00:42:57.843000,0 days 00:43:25.466000,296.0,317.0,310.0,323.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:41:57.513000,2021-12-04 17:26:57.525,1,,False,,False,True
0 days 00:45:48.784000,VER,33,0 days 00:02:23.318000,11.0,2.0,,,0 days 00:00:50.692000,0 days 00:00:55.586000,0 days 00:00:37.040000,0 days 00:44:16.158000,0 days 00:45:11.744000,0 days 00:45:48.784000,189.0,240.0,306.0,203.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:43:25.466000,2021-12-04 17:28:25.478,1,,False,,False,True
