Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:14.583000,VER,33,0 days 00:01:36.916000,1.0,1.0,,,,0 days 00:00:29.971000,0 days 00:00:29.298000,,0 days 01:02:45.419000,0 days 01:03:14.749000,284.0,314.0,299.0,320.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 01:01:37.514000,2021-12-05 17:33:44.732,1,3.0,False,,False,False
0 days 01:04:48.921000,VER,33,0 days 00:01:34.338000,2.0,1.0,,,0 days 00:00:35.067000,0 days 00:00:29.861000,0 days 00:00:29.410000,0 days 01:03:49.687000,0 days 01:04:19.548000,0 days 01:04:48.958000,287.0,304.0,298.0,307.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 01:03:14.583000,2021-12-05 17:35:21.801,1,3.0,False,,False,True
0 days 01:06:23.304000,VER,33,0 days 00:01:34.383000,3.0,1.0,,,0 days 00:00:35.349000,0 days 00:00:29.733000,0 days 00:00:29.301000,0 days 01:05:24.307000,0 days 01:05:54.040000,0 days 01:06:23.341000,,302.0,297.0,307.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 01:04:48.921000,2021-12-05 17:36:56.139,1,3.0,False,,False,True
0 days 01:07:56.958000,VER,33,0 days 00:01:33.654000,4.0,1.0,,,0 days 00:00:34.738000,0 days 00:00:29.674000,0 days 00:00:29.242000,0 days 01:06:58.079000,0 days 01:07:27.753000,0 days 01:07:56.995000,289.0,302.0,297.0,307.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 01:06:23.304000,2021-12-05 17:38:30.522,1,3.0,False,,False,True
0 days 01:09:30.681000,VER,33,0 days 00:01:33.723000,5.0,1.0,,,0 days 00:00:34.746000,0 days 00:00:29.779000,0 days 00:00:29.198000,0 days 01:08:31.741000,0 days 01:09:01.520000,0 days 01:09:30.718000,287.0,301.0,298.0,305.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:07:56.958000,2021-12-05 17:40:04.176,1,3.0,False,,False,True
0 days 01:11:04.359000,VER,33,0 days 00:01:33.678000,6.0,1.0,,,0 days 00:00:34.800000,0 days 00:00:29.715000,0 days 00:00:29.163000,0 days 01:10:05.518000,0 days 01:10:35.233000,0 days 01:11:04.396000,284.0,302.0,298.0,305.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:09:30.681000,2021-12-05 17:41:37.899,1,3.0,False,,False,True
0 days 01:12:37.959000,VER,33,0 days 00:01:33.600000,7.0,1.0,,,0 days 00:00:34.745000,0 days 00:00:29.751000,0 days 00:00:29.104000,0 days 01:11:39.141000,0 days 01:12:08.892000,0 days 01:12:37.996000,286.0,302.0,297.0,307.0,True,MEDIUM,11.0,False,Red Bull Racing,0 days 01:11:04.359000,2021-12-05 17:43:11.577,1,3.0,False,,False,True
0 days 01:14:11.562000,VER,33,0 days 00:01:33.603000,8.0,1.0,,,0 days 00:00:34.701000,0 days 00:00:29.704000,0 days 00:00:29.198000,0 days 01:13:12.697000,0 days 01:13:42.401000,0 days 01:14:11.599000,288.0,303.0,298.0,304.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:12:37.959000,2021-12-05 17:44:45.177,1,3.0,False,,False,True
0 days 01:15:45.135000,VER,33,0 days 00:01:33.573000,9.0,1.0,,,0 days 00:00:34.700000,0 days 00:00:29.649000,0 days 00:00:29.224000,0 days 01:14:46.299000,0 days 01:15:15.948000,0 days 01:15:45.172000,,303.0,297.0,309.0,True,MEDIUM,13.0,False,Red Bull Racing,0 days 01:14:11.562000,2021-12-05 17:46:18.780,1,3.0,False,,False,True
0 days 01:17:49.365000,VER,33,0 days 00:02:04.230000,10.0,1.0,,,0 days 00:00:40.446000,0 days 00:00:41.792000,0 days 00:00:41.992000,0 days 01:16:25.618000,0 days 01:17:07.410000,0 days 01:17:49.402000,182.0,220.0,254.0,248.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:15:45.135000,2021-12-05 17:47:52.353,124,2.0,False,,False,False
