LapNumber,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,improve_LapTime,improve_Sector1Time,improve_Sector2Time,improve_Sector3Time,did_pit,Position
1.0,0.06386608578357367,-0.2258203770664812,-0.0822804498375912,-1.5645662901479611,1.0,0.0,4.0,1.0,1,0,0,0,0,1.0
2.0,-0.002683448982502523,-0.5570235967639884,-0.0822804498375912,-0.28567452431576346,0.0,0.0,5.0,1.0,1,0,1,1,0,1.0
3.0,0.030591318400535573,-0.41507935975077104,-0.04238689840118334,-0.22477491641899214,0.0,0.0,6.0,1.0,1,0,0,1,0,1.0
4.0,,-0.36776461407969857,-0.0024933469647754904,-0.16387530852222082,0.0,0.0,7.0,1.0,1,1,0,0,0,1.0
5.0,-0.13578251851465492,-0.17850563139540876,-0.0024933469647754904,-0.042076092728678176,0.0,0.0,8.0,1.0,0,0,1,0,0,1.0
6.0,,-0.2258203770664812,0.03740020447163236,0.018823515168093143,1.0,0.0,9.0,1.0,1,0,1,1,0,1.0
7.0,-0.10250775113161681,-0.41507935975077104,0.03740020447163236,,0.0,0.0,10.0,1.0,0,0,0,0,0,1.0
8.0,-0.20233205328073112,-1.7398922385407998,-7.223226156954596,0.07972312306486447,1.0,0.0,11.0,1.0,0,0,0,0,0,1.0
9.0,-5.393195765034674,-5.525071892226596,-2.755148396076917,-3.2697553112575584,1.0,0.0,12.0,1.0,0,1,0,0,0,1.0
10.0,-5.29337146288556,-4.578776978805148,0.03740020447163236,-4.0614502139155855,1.0,0.0,13.0,1.0,1,1,1,1,0,1.0
11.0,-0.002683448982502523,-0.08387614005326384,0.03740020447163236,-0.1029757006254495,1.0,0.0,14.0,1.0,0,1,0,0,0,1.0
12.0,-0.20233205328073112,-0.17850563139540876,0.03740020447163236,-0.16387530852222082,1.0,0.0,15.0,1.0,1,1,1,1,0,1.0
13.0,0.030591318400535573,0.010753351288881082,0.03740020447163236,0.018823515168093143,0.0,0.0,16.0,1.0,0,0,0,0,0,1.0
14.0,-0.03595821636554062,-0.1311908857243363,0.03740020447163236,-0.042076092728678176,1.0,0.0,17.0,1.0,1,1,0,0,0,1.0
15.0,0.030591318400535573,-0.08387614005326384,0.03740020447163236,0.018823515168093143,1.0,0.0,18.0,1.0,0,0,0,0,0,1.0
16.0,-0.03595821636554062,-0.2731351227375537,0.03740020447163236,,1.0,0.0,19.0,1.0,1,0,1,1,0,1.0
17.0,-0.10250775113161681,-0.08387614005326384,0.03740020447163236,0.07972312306486447,1.0,0.0,20.0,1.0,0,1,0,0,0,1.0
18.0,-0.03595821636554062,-0.17850563139540876,0.0772937559080402,,1.0,0.0,21.0,1.0,0,0,1,0,0,1.0
