LapNumber,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,improve_LapTime,improve_Sector1Time,improve_Sector2Time,improve_Sector3Time,did_pit
1.0,0.2578285154801892,-0.2373984542316911,-0.769686339758849,-2.1017831161423084,1.0,1.0,1.0,0.0,0,0,1,1,0
2.0,0.7845749449558449,0.884950106384801,1.693309947469468,0.7804012092110999,0.0,1.0,2.0,0.0,0,0,0,0,0
3.0,-1.252177915683357,-0.8303373164441775,-0.2770870823131857,-0.08772659963028816,1.0,1.0,3.0,0.0,1,1,1,1,0
4.0,0.8021331592717,1.0543612098740829,0.21551217513247775,0.8151263215647554,0.0,1.0,4.0,0.0,0,0,0,0,0
5.0,-0.971246486629674,0.24965846829999414,0.21551217513247775,-0.9905795208253317,1.0,1.0,5.0,0.0,1,1,1,1,0
6.0,0.8021331592717,1.0967139857464032,0.7081114325781411,0.8498514339184109,0.0,1.0,6.0,0.0,0,0,0,0,0
7.0,-0.005544699257638638,-1.253865075167382,,0.01644873743067841,1.0,1.0,7.0,0.0,1,1,0,1,1
8.0,0.11736280095334768,0.05907097687455209,-0.2770870823131857,-1.9281575543740308,1.0,1.0,8.0,1.0,0,0,1,1,0
9.0,0.7845749449558449,1.0543612098740829,-0.2770870823131857,0.8151263215647554,1.0,1.0,9.0,1.0,0,0,0,0,0
10.0,-0.19868505673204573,-1.1479831354865808,1.2007106900238045,-0.19190193669125472,1.0,1.0,10.0,1.0,1,1,1,1,0
11.0,-1.3048525586309225,-0.6609262129548956,-0.2770870823131857,1.0929272203939995,1.0,1.0,11.0,1.0,1,1,1,1,0
12.0,0.8372495879034104,0.9696556581294419,1.2007106900238045,0.8498514339184109,0.0,1.0,12.0,1.0,0,0,0,0,0
13.0,0.240270301164334,0.2073056924276737,,-0.1571768243375992,1.0,1.0,13.0,1.0,1,1,0,0,1
14.0,-0.14601041378448015,0.5249515114700771,-0.2770870823131857,-1.6503566555447866,1.0,0.0,1.0,0.0,0,0,1,1,0
15.0,0.9074824451668312,-1.423276178656664,0.7081114325781411,0.9540267709793775,1.0,0.0,2.0,0.0,1,1,1,1,0
16.0,0.8723660165351208,1.160243149554884,-2.7400833695415026,0.8498514339184109,0.0,0.0,3.0,0.0,0,0,0,0,0
17.0,-2.9904411329530207,-2.0373914288053103,-0.769686339758849,-0.22662704904491024,1.0,0.0,4.0,0.0,1,1,1,1,0
18.0,0.8372495879034104,1.1178903736825634,-0.2770870823131857,0.7804012092110999,1.0,0.0,5.0,0.0,0,0,0,0,0
19.0,-0.3742671998905976,-0.7879845405718571,,-0.4697028355204989,1.0,0.0,6.0,0.0,0,0,0,0,1
1.0,0.4335958602649323,-0.2016190865144238,0.4327684806756403,-1.3210709240069256,1.0,1.0,1.0,0.0,0,0,1,1,0
2.0,0.9585303157914844,1.130042460705842,0.5644806269682268,0.7707887730979303,0.0,1.0,2.0,0.0,0,0,0,0,0
3.0,-1.3249345657490172,-1.1950808757104951,,0.1801460350918533,1.0,1.0,3.0,0.0,0,0,1,1,1
4.0,-1.0099738924330859,-0.41299393527954537,0.6083846757324223,-0.927309098669541,1.0,1.0,4.0,1.0,1,1,0,0,0
5.0,-2.4272969223547767,-0.1593441167613995,0.4766725294398358,0.893839343515863,1.0,1.0,5.0,1.0,1,1,1,1,0
6.0,0.9585303157914844,1.1723174304588662,0.5205765782040312,0.7953988871815169,0.0,1.0,6.0,1.0,0,0,0,0,0
