Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:22.138000,21.0,63.6,1003.4,False,41.2,192,0.4
0 days 00:01:22.139000,21.1,63.4,1003.3,False,41.2,225,0.4
0 days 00:02:22.140000,21.2,62.6,1003.5,False,41.2,245,0.5
0 days 00:03:22.138000,21.2,62.4,1003.3,False,41.3,232,0.4
0 days 00:04:22.139000,21.2,62.5,1003.4,False,41.3,234,0.5
0 days 00:05:22.138000,21.2,62.5,1003.3,False,41.2,208,0.6
0 days 00:06:22.138000,21.0,63.0,1003.4,False,41.2,211,0.6
0 days 00:07:22.141000,21.0,63.3,1003.4,False,40.4,199,0.6
0 days 00:08:22.138000,20.8,64.2,1003.4,False,40.4,224,0.5
0 days 00:09:22.139000,20.8,64.8,1003.4,False,40.2,229,0.5
0 days 00:10:22.137000,20.9,64.5,1003.5,False,40.4,110,0.3
0 days 00:11:22.145000,20.9,63.5,1003.4,False,40.9,199,0.3
0 days 00:12:22.130000,21.1,62.2,1003.4,False,40.9,240,0.3
0 days 00:13:22.138000,21.1,61.5,1003.4,False,40.9,242,0.3
0 days 00:14:22.154000,20.9,63.1,1003.3,False,40.9,322,0.5
0 days 00:15:22.171000,20.9,62.8,1003.5,False,40.7,217,0.2
0 days 00:16:22.185000,21.1,62.7,1003.4,False,40.7,240,0.3
0 days 00:17:22.186000,21.2,61.4,1003.4,False,40.8,2,0.3
0 days 00:18:22.190000,21.2,61.3,1003.2,False,40.9,77,0.3
0 days 00:19:22.186000,21.2,61.2,1003.3,False,40.9,66,0.2
0 days 00:20:22.186000,21.1,61.9,1003.3,False,40.5,7,0.5
0 days 00:21:22.197000,21.1,62.4,1003.4,False,40.3,153,0.2
0 days 00:22:22.185000,21.1,62.4,1003.2,False,40.3,91,0.5
0 days 00:23:22.186000,21.1,62.7,1003.3,False,40.3,342,0.4
0 days 00:24:22.195000,21.0,61.9,1003.3,False,40.0,342,0.3
0 days 00:25:22.184000,21.0,61.6,1003.3,False,39.8,97,0.4
0 days 00:26:22.186000,21.0,62.4,1003.3,False,39.8,66,0.5
0 days 00:27:22.184000,21.0,61.7,1003.3,False,40.6,93,0.4
0 days 00:28:22.185000,21.1,61.2,1003.3,False,40.6,226,0.3
0 days 00:29:22.185000,21.0,62.7,1003.3,False,40.7,67,0.5
0 days 00:30:22.189000,20.9,62.3,1003.3,False,40.7,74,0.3
0 days 00:31:22.189000,21.0,61.6,1003.4,False,40.5,284,0.3
0 days 00:32:22.192000,20.9,62.3,1003.4,False,40.0,286,0.3
