Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:27.059000,25.2,46.2,1002.7,False,44.7,217,0.7
0 days 00:01:27.059000,25.2,47.3,1002.8,False,44.6,189,0.7
0 days 00:02:27.076000,25.2,47.4,1002.7,False,44.6,221,0.6
0 days 00:03:27.075000,25.2,48.2,1002.7,False,44.7,226,0.8
0 days 00:04:27.076000,25.3,47.9,1002.7,False,44.7,238,0.6
0 days 00:05:27.075000,25.2,49.8,1002.7,False,44.2,164,0.4
0 days 00:06:27.074000,25.2,48.1,1002.7,False,45.0,211,0.5
0 days 00:07:27.074000,25.5,46.8,1002.6,False,45.1,189,0.6
0 days 00:08:27.075000,25.3,47.7,1002.7,False,44.8,197,0.8
0 days 00:09:27.089000,25.3,48.1,1002.7,False,44.7,235,0.5
0 days 00:10:27.088000,25.4,48.6,1002.7,False,44.5,196,0.4
0 days 00:11:27.106000,25.3,47.4,1002.6,False,44.9,205,0.5
0 days 00:12:27.123000,25.3,46.2,1002.6,False,44.9,226,0.5
0 days 00:13:27.120000,25.2,47.8,1002.7,False,44.9,188,0.2
0 days 00:14:27.123000,25.2,47.2,1002.6,False,44.8,219,0.3
0 days 00:15:27.121000,25.2,46.1,1002.6,False,45.7,195,0.4
0 days 00:16:27.122000,25.2,46.9,1002.6,False,44.7,207,0.7
0 days 00:17:27.120000,25.0,47.2,1002.6,False,44.7,220,0.7
0 days 00:18:27.137000,25.0,47.7,1002.6,False,44.7,232,0.7
0 days 00:19:27.154000,25.3,47.2,1002.6,False,45.2,216,0.6
0 days 00:20:27.154000,25.4,46.6,1002.5,False,45.0,189,0.3
0 days 00:21:27.155000,25.3,46.9,1002.6,False,45.0,221,0.5
0 days 00:22:27.153000,25.3,47.4,1002.6,False,44.7,224,0.6
0 days 00:23:27.156000,25.3,45.9,1002.5,False,45.0,219,0.7
0 days 00:24:27.155000,25.3,45.9,1002.4,False,44.5,210,0.7
0 days 00:25:27.171000,25.2,47.7,1002.5,False,44.2,216,0.4
0 days 00:26:27.185000,25.2,47.7,1002.5,False,44.2,216,0.4
0 days 00:27:27.199000,25.2,47.1,1002.4,False,44.9,198,0.5
0 days 00:28:27.226000,25.2,48.1,1002.4,False,45.1,193,0.3
0 days 00:29:27.305000,25.3,46.0,1002.5,False,45.4,205,0.6
0 days 00:30:27.248000,25.3,46.9,1002.5,False,45.4,195,0.6
0 days 00:31:27.263000,25.2,47.7,1002.6,False,44.9,210,0.4
