Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:10.482000,26.5,44.3,1020.3,False,39.3,258,0.4
0 days 00:01:10.487000,26.4,44.9,1020.3,False,39.0,252,0.5
0 days 00:02:10.485000,26.5,44.8,1020.3,False,39.0,235,0.6
0 days 00:03:10.485000,26.5,44.8,1020.2,False,38.9,230,0.5
0 days 00:04:10.495000,26.6,45.1,1020.2,False,38.8,234,0.5
0 days 00:05:10.484000,26.6,45.2,1020.0,False,38.9,226,0.6
0 days 00:06:10.484000,26.7,45.4,1020.1,False,38.9,239,0.5
0 days 00:07:10.484000,26.7,45.5,1020.1,False,38.9,264,0.5
0 days 00:08:10.484000,26.7,44.6,1020.0,False,38.9,257,0.5
0 days 00:09:10.499000,26.7,43.5,1020.0,False,39.0,229,0.4
0 days 00:10:10.515000,26.6,44.0,1020.1,False,39.1,254,0.4
0 days 00:11:10.527000,26.6,44.0,1020.0,False,38.9,264,0.4
0 days 00:12:10.547000,26.7,44.7,1020.0,False,38.8,259,0.3
0 days 00:13:10.544000,26.7,43.1,1020.1,False,38.8,262,0.4
0 days 00:14:10.557000,26.8,42.9,1020.0,False,38.9,242,0.3
0 days 00:15:10.556000,26.9,43.6,1020.0,False,38.9,236,0.3
0 days 00:16:10.577000,27.0,44.4,1020.0,False,39.0,292,0.4
0 days 00:17:10.575000,27.0,44.8,1020.0,False,39.1,272,0.2
0 days 00:18:10.602000,27.1,43.7,1020.0,False,39.1,288,0.3
0 days 00:19:10.589000,27.1,43.1,1020.0,False,39.7,236,0.3
0 days 00:20:10.605000,27.1,44.3,1020.0,False,39.7,228,0.4
0 days 00:21:10.606000,27.1,45.0,1019.9,False,39.3,259,0.4
0 days 00:22:10.603000,27.0,45.7,1020.0,False,39.1,267,0.5
0 days 00:23:10.594000,27.0,44.7,1019.9,False,39.3,243,0.5
0 days 00:24:10.605000,27.0,45.0,1019.9,False,39.2,249,0.5
0 days 00:25:10.605000,27.0,45.4,1019.8,False,39.1,257,0.5
0 days 00:26:10.603000,26.9,45.2,1019.8,False,39.0,245,0.5
