Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:53.010000,26.1,43.2,1017.5,False,47.0,247,0.3
0 days 00:01:52.995000,26.0,43.0,1017.3,False,47.1,341,0.4
0 days 00:02:52.999000,26.2,42.3,1017.5,False,47.2,320,0.1
0 days 00:03:52.998000,26.2,43.0,1017.4,False,47.6,90,0.2
0 days 00:04:53.013000,26.2,42.7,1017.4,False,47.6,276,0.2
0 days 00:05:53.030000,26.2,43.1,1017.4,False,47.5,223,0.3
0 days 00:06:53.031000,26.3,43.0,1017.6,False,47.5,59,0.3
0 days 00:07:53.029000,26.3,43.0,1017.4,False,48.0,0,0.5
0 days 00:08:53.030000,26.4,42.5,1017.4,False,48.1,158,0.3
0 days 00:09:53.045000,26.5,42.3,1017.5,False,47.6,97,0.3
0 days 00:10:53.060000,26.5,42.2,1017.4,False,48.2,76,0.3
0 days 00:11:53.059000,26.5,41.5,1017.4,False,48.2,0,0.4
0 days 00:12:53.078000,26.3,41.5,1017.4,False,48.2,107,0.6
0 days 00:13:53.092000,26.5,42.5,1017.4,False,48.3,52,0.3
0 days 00:14:53.107000,26.6,42.3,1017.3,False,48.3,258,0.3
0 days 00:15:53.107000,26.6,42.4,1017.3,False,48.3,332,0.5
0 days 00:16:53.108000,26.3,42.9,1017.3,False,48.2,273,0.4
0 days 00:17:53.122000,26.2,43.0,1017.3,False,48.3,250,0.2
0 days 00:18:53.129000,26.3,43.0,1017.3,False,48.2,331,0.5
0 days 00:19:53.123000,26.3,42.9,1017.3,False,48.2,265,0.1
0 days 00:20:53.124000,26.7,41.9,1017.3,False,48.7,228,0.2
0 days 00:21:53.122000,26.9,41.6,1017.2,False,48.9,227,0.6
0 days 00:22:53.122000,27.1,41.2,1017.3,False,49.4,245,0.5
0 days 00:23:53.123000,27.1,41.3,1017.3,False,49.2,276,0.5
0 days 00:24:53.139000,27.0,42.2,1017.3,False,48.7,8,0.3
0 days 00:25:53.138000,26.9,42.5,1017.2,False,48.5,215,0.1
0 days 00:26:53.155000,26.9,41.4,1017.3,False,49.3,3,0.3
0 days 00:27:53.156000,27.0,41.3,1017.2,False,49.3,217,0.2
0 days 00:28:53.156000,27.2,40.4,1017.3,False,49.6,32,0.5
0 days 00:29:53.156000,27.3,40.1,1017.3,False,49.4,63,0.2
