Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:00.318000,27.0,44.2,1013.5,False,50.7,300,0.3
0 days 00:02:00.319000,26.9,45.1,1013.5,False,51.4,148,0.3
0 days 00:03:00.318000,26.7,44.3,1013.6,False,50.6,57,0.4
0 days 00:04:00.320000,26.9,43.5,1013.5,False,50.6,29,0.6
0 days 00:05:00.322000,27.0,44.8,1013.4,False,50.6,349,0.4
0 days 00:06:00.320000,26.8,44.8,1013.6,False,50.5,37,0.3
0 days 00:07:00.319000,26.8,43.8,1013.5,False,49.8,322,0.3
0 days 00:08:00.319000,26.8,45.2,1013.5,False,49.8,187,0.3
0 days 00:09:00.318000,26.6,45.3,1013.4,False,49.8,282,0.3
0 days 00:10:00.334000,26.7,45.3,1013.4,False,49.8,282,0.3
0 days 00:11:00.331000,26.7,44.1,1013.4,False,50.9,9,0.4
0 days 00:12:00.319000,26.9,44.0,1013.4,False,50.9,24,0.4
0 days 00:13:00.320000,26.9,43.8,1013.5,False,50.7,48,0.3
0 days 00:14:00.332000,26.8,43.9,1013.4,False,50.7,252,0.4
0 days 00:15:00.346000,26.8,44.6,1013.5,False,49.8,204,0.4
0 days 00:16:00.320000,27.0,44.3,1013.4,False,49.2,89,0.3
0 days 00:17:00.324000,27.0,44.2,1013.5,False,49.2,292,0.3
0 days 00:18:00.326000,27.0,45.3,1013.6,False,48.9,247,0.3
0 days 00:19:00.327000,26.9,43.9,1013.4,False,49.6,214,0.2
0 days 00:20:00.323000,26.9,43.9,1013.4,False,49.6,214,0.2
0 days 00:21:00.322000,26.7,44.8,1013.6,False,49.8,341,0.2
0 days 00:22:00.321000,26.7,45.7,1013.5,False,49.1,206,0.3
0 days 00:23:00.319000,26.7,44.8,1013.6,False,48.9,265,0.2
0 days 00:24:00.321000,26.7,45.2,1013.4,False,49.1,132,0.5
0 days 00:25:00.319000,26.7,45.8,1013.5,False,49.6,241,0.5
0 days 00:26:00.320000,26.6,46.5,1013.6,False,49.5,38,0.3
0 days 00:27:00.319000,26.6,46.8,1013.5,False,48.4,77,0.4
0 days 00:28:00.319000,26.6,46.8,1013.5,False,48.4,77,0.4
0 days 00:29:00.318000,26.6,47.0,1013.4,False,48.4,311,0.3
0 days 00:30:00.319000,26.7,45.6,1013.4,False,49.6,95,0.2
0 days 00:31:00.321000,26.8,45.3,1013.4,False,49.6,47,0.1
0 days 00:32:00.325000,26.7,45.4,1013.4,False,49.4,327,0.2
0 days 00:33:00.324000,26.8,45.8,1013.4,False,49.1,265,0.1
0 days 00:34:00.321000,26.7,46.0,1013.5,False,48.7,309,0.2
0 days 00:35:00.325000,26.7,46.0,1013.3,False,48.7,254,0.3
0 days 00:36:00.322000,26.5,46.0,1013.3,False,48.7,254,0.3
0 days 00:37:00.320000,26.5,45.2,1013.5,False,48.9,223,0.3
0 days 00:38:00.321000,26.7,44.5,1013.5,False,48.9,0,0.1
0 days 00:39:00.325000,26.7,44.9,1013.4,False,48.8,228,0.1
0 days 00:40:00.319000,26.7,45.5,1013.4,False,48.0,2,0.1
0 days 00:41:00.341000,26.7,46.3,1013.5,False,47.9,61,0.3
0 days 00:42:00.322000,26.5,46.3,1013.5,False,47.9,61,0.3
0 days 00:43:00.318000,26.5,47.2,1013.4,False,47.7,200,0.4
0 days 00:44:00.324000,26.3,48.2,1013.5,False,46.7,279,0.3
0 days 00:45:00.324000,26.2,48.8,1013.5,False,46.7,351,0.1
0 days 00:46:00.332000,26.0,47.5,1013.4,False,46.7,0,0.3
0 days 00:47:00.329000,26.1,47.7,1013.4,False,47.8,276,0.3
0 days 00:48:00.325000,26.1,47.7,1013.4,False,47.8,276,0.3
0 days 00:49:00.322000,26.1,49.1,1013.5,False,46.8,348,0.4
0 days 00:50:00.319000,25.9,49.4,1013.3,False,46.6,104,0.3
0 days 00:51:00.324000,25.9,49.5,1013.4,False,46.5,329,0.3
0 days 00:52:00.316000,25.9,49.2,1013.3,False,46.5,82,0.4
0 days 00:53:00.318000,25.8,48.9,1013.3,False,46.5,357,0.1
0 days 00:54:00.322000,25.9,47.8,1013.3,False,47.1,40,0.3
0 days 00:55:00.331000,26.0,47.8,1013.3,False,47.1,40,0.3
0 days 00:56:00.326000,25.9,48.6,1013.3,False,46.9,182,0.2
0 days 00:57:00.335000,25.7,48.6,1013.3,False,46.9,182,0.2
0 days 00:58:00.337000,25.7,47.4,1013.3,False,47.3,257,0.1
0 days 00:59:00.363000,25.9,48.0,1013.4,False,47.7,204,0.2
0 days 01:00:00.366000,25.8,48.6,1013.4,False,47.1,1,0.3
0 days 01:01:00.382000,25.7,49.2,1013.3,False,46.5,271,0.5
0 days 01:02:00.398000,25.6,48.8,1013.3,False,46.6,246,0.4
0 days 01:03:00.422000,25.5,48.8,1013.3,False,46.6,246,0.4
0 days 01:04:00.410000,25.5,49.7,1013.3,False,46.4,66,0.1
0 days 01:05:00.413000,25.6,49.7,1013.3,False,46.4,66,0.1
0 days 01:06:00.418000,25.6,49.9,1013.3,False,45.6,343,0.4
0 days 01:07:00.431000,25.5,49.4,1013.3,False,45.8,271,0.3
0 days 01:08:00.449000,25.6,49.7,1013.3,False,45.8,181,0.3
0 days 01:09:00.458000,25.6,49.2,1013.4,False,45.3,178,0.1
0 days 01:10:00.460000,25.6,49.5,1013.3,False,46.1,114,0.3
0 days 01:11:00.459000,25.6,49.5,1013.3,False,46.1,114,0.3
0 days 01:12:00.476000,25.6,49.6,1013.2,False,45.4,322,0.4
0 days 01:13:00.477000,25.4,49.5,1013.2,False,45.2,288,0.5
0 days 01:14:00.490000,25.4,49.3,1013.2,False,45.1,0,0.3
0 days 01:15:00.485000,25.5,49.3,1013.2,False,45.1,0,0.3
0 days 01:16:00.496000,25.4,50.1,1013.1,False,45.5,280,0.5
0 days 01:17:00.490000,25.4,49.9,1013.1,False,45.3,141,0.6
0 days 01:18:00.490000,25.3,49.5,1013.2,False,45.3,271,0.3
0 days 01:19:00.490000,25.3,50.0,1013.1,False,45.3,0,0.4
0 days 01:20:00.491000,25.2,49.9,1013.4,False,45.0,39,0.3
0 days 01:21:00.480000,25.2,49.9,1013.4,False,45.0,39,0.3
0 days 01:22:00.491000,25.1,50.7,1013.1,False,45.3,36,0.4
0 days 01:23:00.490000,25.0,50.1,1013.1,False,44.4,40,0.2
0 days 01:24:00.491000,25.0,49.3,1013.1,False,44.3,67,0.2
0 days 01:25:00.513000,25.0,49.6,1013.1,False,44.4,0,0.3
0 days 01:26:00.509000,25.0,49.9,1013.1,False,44.4,44,0.3
0 days 01:27:00.525000,25.0,50.4,1013.0,False,44.4,327,0.2
0 days 01:28:00.532000,25.0,50.7,1013.0,False,44.2,218,0.3
0 days 01:29:00.561000,25.0,50.7,1013.0,False,44.2,218,0.3
0 days 01:30:00.574000,25.0,50.4,1013.0,False,43.9,340,0.2
0 days 01:31:00.572000,25.1,50.3,1013.1,False,43.9,336,0.5
0 days 01:32:00.574000,25.0,51.0,1013.1,False,43.7,231,0.3
0 days 01:33:00.579000,25.0,50.5,1012.9,False,43.7,237,0.2
0 days 01:34:00.571000,25.0,50.1,1013.0,False,44.5,2,0.2
0 days 01:35:00.570000,25.1,50.3,1012.9,False,44.5,185,0.2
0 days 01:36:00.572000,25.1,50.2,1012.9,False,43.9,92,0.1
0 days 01:37:00.573000,25.2,49.6,1012.9,False,43.9,94,0.2
0 days 01:38:00.573000,25.2,49.8,1013.0,False,43.9,235,0.2
0 days 01:39:00.573000,25.1,49.5,1012.9,False,44.0,0,0.3
