Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:20.914000,22.6,53.6,938.3,False,43.6,27,0.3
0 days 00:01:20.914000,22.6,52.9,938.2,False,45.2,93,0.4
0 days 00:02:20.915000,22.6,52.2,938.2,False,45.3,73,0.5
0 days 00:03:20.930000,22.6,52.9,938.2,True,45.5,82,0.8
0 days 00:04:20.915000,22.6,52.2,938.2,True,45.5,99,0.6
0 days 00:05:20.913000,22.6,53.2,938.3,True,45.4,103,0.5
0 days 00:06:20.923000,22.6,55.2,938.3,True,44.1,77,0.6
0 days 00:07:20.914000,22.5,55.1,938.2,True,44.1,74,0.6
0 days 00:08:20.922000,22.4,55.5,938.3,True,44.1,72,0.4
0 days 00:09:20.913000,22.4,55.1,938.2,True,43.6,96,0.8
0 days 00:10:20.913000,22.4,54.2,938.3,True,43.6,49,0.7
0 days 00:11:20.914000,22.4,54.1,938.2,True,43.1,69,0.9
0 days 00:12:20.923000,22.3,53.7,938.3,True,42.7,75,0.8
0 days 00:13:20.914000,22.2,53.8,938.2,True,42.5,90,0.7
0 days 00:14:20.913000,22.0,55.6,938.2,False,42.0,67,0.5
0 days 00:15:20.914000,22.0,55.4,938.2,False,41.9,84,1.0
0 days 00:16:20.914000,22.1,55.9,938.1,False,42.0,71,0.6
0 days 00:17:20.917000,22.1,55.5,938.1,True,42.2,54,0.8
0 days 00:18:20.915000,22.2,55.1,938.2,True,43.2,59,0.6
0 days 00:19:20.914000,22.3,55.4,938.0,True,44.5,57,0.7
0 days 00:20:20.913000,22.3,56.0,938.0,True,44.5,63,0.9
0 days 00:21:20.914000,22.5,56.2,938.0,True,44.1,74,0.6
0 days 00:22:20.914000,22.6,56.8,938.0,True,43.6,59,1.0
0 days 00:23:20.913000,22.5,56.1,938.1,True,43.6,97,0.8
0 days 00:24:20.913000,22.3,58.0,938.1,True,43.3,61,0.8
0 days 00:25:20.916000,22.1,57.7,938.1,True,42.9,77,0.5
0 days 00:26:20.913000,22.1,57.3,938.2,True,42.5,84,0.7
0 days 00:27:20.914000,22.0,57.2,938.2,True,42.3,77,0.8
0 days 00:28:20.915000,21.9,57.4,938.3,True,42.2,82,0.8
0 days 00:29:20.915000,21.7,57.4,938.1,False,42.2,83,0.5
0 days 00:30:20.914000,21.7,56.6,938.3,False,42.2,66,0.9
0 days 00:31:20.920000,21.5,56.3,938.3,False,42.0,57,1.1
0 days 00:32:20.924000,21.4,57.0,938.2,False,42.2,50,0.7
0 days 00:33:20.914000,21.4,57.6,938.1,False,42.2,76,0.7
0 days 00:34:20.921000,21.4,57.0,938.2,True,43.6,77,0.8
0 days 00:35:20.914000,21.6,56.3,938.2,True,44.2,60,0.6
0 days 00:36:20.904000,21.7,56.3,938.0,True,45.0,69,0.7
0 days 00:37:20.914000,21.6,56.0,938.0,True,45.0,77,0.6
0 days 00:38:20.914000,21.6,55.5,938.0,False,45.2,62,0.8
0 days 00:39:20.915000,21.6,55.8,937.9,False,45.4,79,0.8
