Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:24.314000,25.3,32.9,939.0,False,54.7,279,0.1
0 days 00:01:24.334000,25.4,30.7,939.0,False,54.6,289,0.3
0 days 00:02:24.309000,25.3,31.3,939.0,False,54.6,241,0.3
0 days 00:03:24.314000,25.2,31.3,939.0,False,54.5,242,0.0
0 days 00:04:24.310000,25.2,31.2,939.0,False,54.6,192,0.1
0 days 00:05:24.310000,25.4,30.3,938.9,False,54.6,24,0.1
0 days 00:06:24.312000,25.4,28.6,939.0,False,54.8,259,0.1
0 days 00:07:24.309000,25.4,28.3,938.9,False,54.7,84,0.1
0 days 00:08:24.309000,25.3,29.4,939.0,False,54.6,269,0.3
0 days 00:09:24.310000,25.5,28.2,938.9,False,54.6,296,0.3
0 days 00:10:24.310000,25.4,28.1,938.9,False,54.8,246,0.5
0 days 00:11:24.309000,25.3,28.3,939.0,False,54.8,292,0.4
0 days 00:12:24.309000,25.1,28.9,939.0,False,54.7,295,0.3
0 days 00:13:24.310000,25.0,29.0,938.9,False,54.7,0,0.1
0 days 00:14:24.310000,25.0,29.5,938.9,False,55.0,315,0.0
0 days 00:15:24.318000,25.2,29.0,938.9,False,55.0,253,0.1
0 days 00:16:24.309000,25.4,29.6,938.8,False,55.2,216,0.2
0 days 00:17:24.310000,25.5,29.4,938.8,False,55.2,213,0.1
0 days 00:18:24.311000,25.6,29.5,938.8,False,55.3,271,0.2
0 days 00:19:24.309000,25.7,27.3,938.8,False,55.3,238,0.3
0 days 00:20:24.309000,25.7,27.6,938.7,False,55.3,0,0.2
0 days 00:21:24.309000,25.6,28.2,938.7,False,55.0,0,0.0
0 days 00:22:24.318000,25.6,27.9,938.7,False,55.2,243,0.1
0 days 00:23:24.328000,25.7,29.1,938.8,False,55.3,0,0.3
0 days 00:24:24.310000,25.8,28.7,938.8,False,56.0,103,0.1
0 days 00:25:24.309000,25.9,27.8,938.7,False,56.2,48,0.3
0 days 00:26:24.308000,25.7,29.0,938.6,False,56.0,68,0.3
0 days 00:27:24.329000,25.8,29.8,938.7,False,56.0,93,0.2
0 days 00:28:24.311000,26.0,29.5,938.6,False,55.5,82,0.4
0 days 00:29:24.308000,25.9,29.0,938.6,False,53.8,84,0.4
0 days 00:30:24.309000,25.8,28.5,938.8,False,53.5,336,0.2
0 days 00:31:24.311000,25.8,27.9,938.7,False,52.0,268,0.1
0 days 00:32:24.312000,25.8,28.2,938.6,False,50.4,228,0.1
0 days 00:33:24.312000,25.7,28.8,938.7,False,50.4,138,0.2
0 days 00:34:24.310000,25.7,30.2,938.6,False,50.2,87,0.2
0 days 00:35:24.331000,25.8,30.1,938.6,False,50.6,94,0.6
0 days 00:36:24.369000,25.9,29.0,938.6,False,52.2,104,0.5
0 days 00:37:24.340000,26.0,28.1,938.5,False,53.0,144,0.2
0 days 00:38:24.356000,26.0,28.4,938.7,False,53.0,34,0.1
0 days 00:39:24.359000,25.9,27.8,938.6,False,53.6,91,0.2
0 days 00:40:24.358000,26.0,28.6,938.6,False,53.6,226,0.1
0 days 00:41:24.361000,26.1,29.6,938.6,False,53.8,183,0.1
0 days 00:42:24.357000,26.1,27.8,938.5,False,54.2,216,0.1
0 days 00:43:24.357000,26.1,28.0,938.5,False,54.0,251,0.1
0 days 00:44:24.358000,26.1,27.8,938.5,False,54.0,193,0.2
0 days 00:45:24.356000,26.0,28.7,938.5,False,54.0,101,0.2
0 days 00:46:24.355000,25.9,28.8,938.6,False,53.9,21,0.1
0 days 00:47:24.359000,26.0,27.7,938.6,False,53.5,315,0.0
0 days 00:48:24.358000,26.0,27.6,938.5,False,53.5,0,0.1
0 days 00:49:24.358000,26.1,27.3,938.5,False,53.5,107,0.1
0 days 00:50:24.376000,26.3,27.5,938.5,False,53.8,195,0.1
0 days 00:51:24.385000,26.3,28.3,938.5,False,53.9,97,0.1
0 days 00:52:24.404000,26.2,27.6,938.6,False,54.2,102,0.4
0 days 00:53:24.407000,26.1,27.9,938.4,False,54.2,0,0.2
0 days 00:54:24.403000,26.0,27.9,938.5,False,54.1,175,0.1
0 days 00:55:24.405000,26.0,26.9,938.5,False,54.1,73,0.1
0 days 00:56:24.420000,26.0,26.8,938.5,False,54.3,50,0.3
0 days 00:57:24.437000,26.0,26.6,938.4,False,54.9,65,0.4
0 days 00:58:24.434000,26.0,26.6,938.4,False,54.9,48,0.5
0 days 00:59:24.449000,25.9,27.0,938.5,False,54.7,49,0.3
0 days 01:00:24.435000,25.9,26.6,938.4,False,53.9,108,0.1
0 days 01:01:24.434000,25.9,26.9,938.4,False,53.0,352,0.3
0 days 01:02:24.454000,25.6,26.4,938.5,False,53.0,61,0.3
0 days 01:03:24.451000,25.6,26.8,938.3,False,53.2,11,0.0
0 days 01:04:24.467000,25.6,26.6,938.4,False,52.7,56,0.3
0 days 01:05:24.490000,25.7,27.3,938.5,False,52.7,76,0.4
0 days 01:06:24.499000,26.0,28.8,938.5,False,53.2,84,0.3
0 days 01:07:24.515000,26.3,28.9,938.4,False,53.5,72,0.5
0 days 01:08:24.528000,26.5,28.2,938.5,False,53.2,84,0.4
0 days 01:09:24.529000,26.3,28.3,938.5,False,53.2,86,0.8
0 days 01:10:24.528000,26.1,29.4,938.5,False,53.1,82,0.7
0 days 01:11:24.528000,26.1,30.5,938.4,False,53.2,88,0.7
0 days 01:12:24.530000,26.2,28.0,938.4,False,53.5,81,0.6
0 days 01:13:24.531000,26.1,28.3,938.4,False,52.2,76,0.6
0 days 01:14:24.534000,26.0,27.4,938.4,False,52.2,80,0.4
0 days 01:15:24.547000,26.1,28.2,938.4,False,51.3,75,0.6
0 days 01:16:24.546000,26.0,26.6,938.4,False,51.6,85,0.4
0 days 01:17:24.559000,25.8,27.7,938.4,False,51.6,89,0.6
