Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:31.964000,26.6,34.1,938.7,False,54.1,245,0.4
0 days 00:01:31.966000,26.5,34.5,938.6,False,53.8,355,0.2
0 days 00:02:31.966000,26.4,35.5,938.7,False,53.4,330,0.1
0 days 00:03:31.966000,26.4,34.6,938.7,False,53.7,245,0.1
0 days 00:04:31.966000,26.3,34.9,938.6,False,54.4,245,0.4
0 days 00:05:31.966000,26.3,34.9,938.7,False,53.8,266,0.4
0 days 00:06:31.973000,26.2,35.0,938.6,False,53.7,262,0.3
0 days 00:07:31.981000,26.0,35.6,938.5,False,53.7,282,0.1
0 days 00:08:31.995000,26.2,36.0,938.6,False,53.6,248,0.3
0 days 00:09:32.012000,26.5,35.1,938.6,False,53.6,252,0.6
0 days 00:10:32.012000,26.5,32.9,938.6,False,53.7,238,0.5
0 days 00:11:32.011000,26.4,33.6,938.6,False,53.2,283,0.2
0 days 00:12:32.027000,26.3,33.7,938.6,False,53.4,0,0.3
0 days 00:13:32.044000,26.1,34.0,938.6,False,53.4,337,0.0
0 days 00:14:32.045000,26.2,34.1,938.5,False,53.4,250,0.1
0 days 00:15:32.042000,26.3,34.1,938.6,False,53.4,263,0.4
0 days 00:16:32.048000,26.2,34.1,938.6,False,53.4,213,0.2
0 days 00:17:32.044000,26.3,34.2,938.6,False,53.4,222,0.2
0 days 00:18:32.044000,26.4,34.2,938.6,False,53.5,292,0.1
0 days 00:19:32.043000,26.4,33.1,938.6,False,53.7,237,0.2
0 days 00:20:32.045000,26.6,31.6,938.6,False,53.0,178,0.1
0 days 00:21:32.048000,26.4,31.6,938.5,False,52.6,9,0.1
0 days 00:22:32.043000,26.4,32.6,938.6,False,52.7,0,0.1
0 days 00:23:32.045000,26.5,33.2,938.6,False,52.9,358,0.0
0 days 00:24:32.044000,26.5,32.8,938.6,False,53.5,17,0.2
0 days 00:25:32.043000,26.7,32.5,938.5,False,54.0,270,0.3
0 days 00:26:32.042000,26.8,32.5,938.6,False,54.4,236,0.2
0 days 00:27:32.052000,26.8,32.3,938.6,False,53.9,249,0.3
0 days 00:28:32.043000,26.6,32.3,938.6,False,53.7,250,0.4
0 days 00:29:32.042000,26.5,33.2,938.5,False,53.3,242,0.4
0 days 00:30:32.051000,26.5,33.2,938.6,False,52.2,310,0.5
0 days 00:31:32.044000,26.4,34.7,938.5,False,52.1,288,0.2
0 days 00:32:32.047000,26.4,34.8,938.4,False,51.7,111,0.1
0 days 00:33:32.043000,26.5,35.0,938.5,False,51.5,161,0.0
0 days 00:34:32.044000,26.5,35.5,938.5,False,51.5,279,0.2
0 days 00:35:32.044000,26.7,34.7,938.6,False,52.5,273,0.4
0 days 00:36:32.044000,26.6,34.4,938.6,False,52.3,34,0.4
0 days 00:37:32.044000,26.6,34.4,938.6,False,51.8,108,0.2
0 days 00:38:32.053000,26.6,32.3,938.6,False,51.8,265,0.4
0 days 00:39:32.045000,26.6,32.3,938.6,False,52.2,345,0.2
0 days 00:40:32.045000,26.5,33.3,938.5,False,52.5,226,0.1
0 days 00:41:32.045000,26.5,33.5,938.5,False,52.2,190,0.3
0 days 00:42:32.046000,26.6,32.7,938.5,False,52.3,38,0.3
0 days 00:43:32.044000,26.7,33.6,938.6,False,52.3,114,0.3
0 days 00:44:32.047000,26.7,32.8,938.5,False,53.1,0,0.3
0 days 00:45:32.044000,26.9,31.9,938.5,False,53.3,0,0.0
0 days 00:46:32.045000,26.9,31.5,938.6,False,53.2,2,0.3
0 days 00:47:32.044000,27.0,31.7,938.6,False,53.2,287,0.2
0 days 00:48:32.045000,27.1,30.8,938.5,False,53.7,125,0.3
0 days 00:49:32.042000,26.9,31.7,938.6,False,53.7,89,0.2
0 days 00:50:32.042000,26.8,32.6,938.5,False,53.4,35,0.7
0 days 00:51:32.050000,26.9,32.3,938.4,False,53.9,150,0.3
0 days 00:52:32.044000,27.1,32.0,938.5,False,53.9,164,0.3
0 days 00:53:32.043000,27.1,32.0,938.5,False,54.4,240,0.5
0 days 00:54:32.044000,27.3,31.3,938.5,False,54.4,69,0.2
0 days 00:55:32.045000,27.2,31.5,938.5,False,54.2,106,0.2
0 days 00:56:32.049000,27.1,32.1,938.5,False,54.4,53,0.4
0 days 00:57:32.045000,27.0,31.8,938.5,False,54.3,29,0.3
0 days 00:58:32.044000,27.0,31.1,938.5,False,54.2,28,0.2
0 days 00:59:32.043000,26.8,32.3,938.5,False,53.8,48,0.3
0 days 01:00:32.049000,26.5,32.6,938.5,False,53.5,74,0.2
0 days 01:01:32.059000,26.6,32.2,938.5,False,54.1,95,0.5
0 days 01:02:32.079000,26.4,32.1,938.5,False,54.1,82,0.4
0 days 01:03:32.093000,26.7,30.9,938.5,False,54.2,96,0.3
0 days 01:04:32.106000,26.8,30.5,938.6,False,54.2,97,0.5
0 days 01:05:32.119000,27.0,30.7,938.4,False,53.5,11,0.2
0 days 01:06:32.108000,27.0,31.3,938.5,False,53.2,142,0.4
0 days 01:07:32.107000,27.1,32.0,938.6,False,53.2,71,0.2
0 days 01:08:32.123000,27.1,32.0,938.5,False,53.7,96,0.2
0 days 01:09:32.138000,27.2,32.0,938.5,False,53.9,27,0.3
0 days 01:10:32.154000,27.2,32.0,938.5,False,53.9,102,0.3
0 days 01:11:32.153000,27.2,31.1,938.5,False,53.9,69,0.5
0 days 01:12:32.173000,27.2,31.0,938.5,False,53.1,92,0.5
0 days 01:13:32.159000,27.2,31.0,938.5,False,52.7,69,0.4
0 days 01:14:32.168000,26.9,31.9,938.5,False,52.0,64,0.3
0 days 01:15:32.178000,26.9,32.3,938.5,False,51.1,20,0.3
0 days 01:16:32.186000,26.9,32.4,938.3,False,50.5,98,0.1
0 days 01:17:32.178000,26.7,32.6,938.3,False,49.8,24,0.5
0 days 01:18:32.170000,26.7,32.6,938.3,False,49.2,287,0.3
0 days 01:19:32.169000,26.6,33.3,938.5,False,48.7,23,0.2
0 days 01:20:32.179000,26.3,34.6,938.4,False,48.7,246,0.1
0 days 01:21:32.176000,26.3,33.9,938.4,False,48.1,15,0.3
0 days 01:22:32.171000,26.2,33.4,938.5,False,48.2,73,0.2
0 days 01:23:32.158000,26.2,33.4,938.3,False,48.1,72,0.4
0 days 01:24:32.171000,26.2,33.4,938.3,False,48.1,64,0.3
0 days 01:25:32.173000,26.3,33.2,938.4,False,48.1,70,0.4
0 days 01:26:32.169000,26.4,33.0,938.4,False,48.2,84,0.5
0 days 01:27:32.176000,26.5,32.7,938.4,False,48.3,88,0.5
0 days 01:28:32.170000,26.8,32.9,938.4,False,48.5,109,0.6
0 days 01:29:32.170000,27.0,31.6,938.4,False,48.5,139,0.6
0 days 01:30:32.170000,27.1,31.6,938.4,False,49.7,92,0.5
0 days 01:31:32.171000,27.1,32.2,938.4,False,50.4,94,0.2
0 days 01:32:32.175000,27.2,32.2,938.4,False,51.2,37,0.5
0 days 01:33:32.169000,27.2,32.3,938.4,False,51.5,71,0.4
0 days 01:34:32.170000,27.3,30.6,938.4,False,53.1,312,0.3
0 days 01:35:32.170000,27.3,30.0,938.4,False,53.0,319,0.3
0 days 01:36:32.176000,27.0,30.0,938.3,False,53.0,40,0.1
0 days 01:37:32.171000,26.9,30.6,938.2,False,53.4,104,0.5
0 days 01:38:32.175000,27.1,30.6,938.2,False,53.9,99,1.2
0 days 01:39:32.170000,27.1,30.8,938.3,False,53.9,65,0.4
0 days 01:40:32.171000,26.9,30.9,938.3,False,53.0,85,0.5
0 days 01:41:32.171000,27.0,30.8,938.3,False,52.9,80,0.7
0 days 01:42:32.178000,27.1,31.2,938.4,False,52.9,82,0.8
0 days 01:43:32.169000,27.2,31.4,938.4,False,53.1,72,0.7
0 days 01:44:32.171000,27.1,30.6,938.4,False,52.9,80,0.8
0 days 01:45:32.171000,27.0,30.2,938.3,False,52.8,85,0.8
0 days 01:46:32.176000,26.9,31.5,938.3,False,52.4,88,0.5
0 days 01:47:32.170000,26.8,34.9,938.4,False,51.7,82,0.5
0 days 01:48:32.162000,26.7,36.4,938.3,False,50.6,78,0.8
0 days 01:49:32.185000,26.7,36.7,938.3,False,50.3,85,0.7
0 days 01:50:32.169000,26.7,38.2,938.2,False,49.6,80,0.8
0 days 01:51:32.172000,26.5,38.8,938.3,False,49.6,69,0.8
0 days 01:52:32.172000,26.5,39.2,938.4,False,49.7,77,0.8
0 days 01:53:32.188000,26.4,39.5,938.3,False,50.6,45,0.8
0 days 01:54:32.180000,26.3,40.8,938.2,False,51.1,85,0.8
0 days 01:55:32.172000,26.2,42.3,938.3,False,51.2,83,0.7
0 days 01:56:32.171000,26.3,41.7,938.3,False,50.4,90,0.9
0 days 01:57:32.171000,26.2,41.9,938.4,False,48.1,71,0.6
